num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
377999,2009,Volkswagen,Jetta,TDI,Sedan,automatic,3vwrl71k89m033715,pa,4.4,98228.0,gray,black,adcock brothers inc,8050,7800,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378000,2009,Volvo,XC70,T6,Wagon,automatic,yv4bz992691060893,pa,4.6,89720.0,black,beige,adcock brothers inc,12050,14400,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378001,2008,BMW,3 Series,328i,Convertible,automatic,wbawr33598p151430,pa,4.1,60704.0,—,brown,r hollenshead auto sales inc,15300,15750,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378002,2008,Acura,MDX,Base,SUV,automatic,2hnyd28368h511361,fl,3.4,85999.0,silver,black,remarketing by ge/sw1 remarketing,16300,15000,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
378003,2008,Audi,A6,4.2 quattro,Sedan,automatic,waudv74f58n041990,pa,2.6,159333.0,—,brown,r hollenshead auto sales inc,7250,7000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378004,2008,BMW,3 Series,335i,Coupe,automatic,wbawb73588p042792,tx,1.9,75019.0,blue,black,td auto finance,13550,6900,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
378005,2008,BMW,M6,Base,Convertible,automatic,wbsek93588cy79116,nj,3.7,63385.0,black,gray,bmw of mount laurel,27900,32000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
378006,2009,Toyota,Yaris,Base,Sedan,automatic,jtdbt903194043735,fl,2.7,90794.0,black,gray,world omni financial corporation,5700,6800,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
378007,2008,BMW,3 Series,335i,Coupe,manual,wbawb73598p156607,tx,1.9,66362.0,blue,tan,wells fargo dealer services,14200,11500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
378008,2009,Volkswagen,Jetta,TDI,Sedan,automatic,3vwrl71k39m155902,mo,1.9,78555.0,silver,black,exeter finance corp,9075,7100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
378009,2008,Acura,MDX,Base,SUV,automatic,2hnyd28668h549988,mo,3.5,90520.0,red,black,imagine motorcars llc,15900,16100,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
378010,2008,BMW,5 Series,528xi,Sedan,automatic,wbanv13588cz57827,pa,2.6,122278.0,gray,black,r hollenshead auto sales inc,7875,8500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378011,2008,BMW,3 Series,335xi,Sedan,automatic,wbavd53578a010719,pa,2.6,114027.0,silver,black,bmw of annapolis/mini of annapolis,8850,7800,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
378012,2009,Volkswagen,Tiguan,SE,SUV,automatic,wvgav75n69w004336,tx,3.4,49707.0,gray,black,santander consumer,11400,10800,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
378013,2008,Chevrolet,Silverado 1500,LS,Extended Cab,automatic,1gcek19078z261514,il,3.7,90605.0,red,gray,wells fargo dealer services,15750,15100,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
378014,2008,Chevrolet,Cobalt,LT,Coupe,automatic,1g1al18f887264959,mn,3.6,44833.0,silver,black,santander consumer,5425,4800,Thu Mar 05 2015 02:45:00 GMT-0800 (PST)
378015,2008,Cadillac,Escalade EXT,Base,Crew Cab,automatic,3gyfk62898g281713,pa,3.5,41292.0,black,black,r hollenshead auto sales inc,27400,27200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378016,2008,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnec12028g187093,pa,3.7,51033.0,black,black,big tree auto brokers,16400,18600,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
378017,2008,Chevrolet,Silverado 1500,Work Truck,Regular Cab,automatic,1gcek14c98z267395,co,3.7,85409.0,white,gray,ge fleet services for itself/servicer,9700,10100,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
378018,2008,Chevrolet,Express,LS 3500,Van,automatic,1gahg35k481234151,ca,4.2,37645.0,white,gray,ge fleet services for itself/servicer,8375,12800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
378019,2008,Chevrolet,Equinox,LS,SUV,automatic,2cndl13f986349753,tn,1.9,181275.0,blue,gray,westlake financial services,2975,2400,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
378020,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfc16078g197522,tx,3.4,166380.0,black,black,tdaf remarketing,10500,10600,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
378021,2008,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ak58f087250919,va,1.0,96772.0,white,gray,fiserv,3475,1300,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
378022,2008,Buick,Enclave,CXL,SUV,automatic,5gaev23748j249999,il,2.5,83567.0,brown,tan,remarketing by ge/nextgear capital,14350,14700,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
378023,2008,Chevrolet,Cobalt,LS,Sedan,automatic,1g1ak58f087306549,tx,1.9,107682.0,silver,gray,dt credit corporation,3275,3000,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
378024,2008,Cadillac,Escalade ESV,Base,SUV,automatic,1gyfk66818r276581,fl,3.9,93445.0,blue,black,universal motors of miami inc,21200,21950,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
378025,2008,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnfk12328g168383,pa,4.2,103015.0,white,black,adcock brothers inc,15450,18000,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378026,2008,Buick,Lucerne,CXL,Sedan,automatic,1g4hd57288u105607,tn,2.7,115470.0,white,beige,dt inventory,6200,5600,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
378027,2008,Chevrolet,Cobalt,LT,Coupe,automatic,1g1al18f787269506,fl,4.3,63458.0,gray,gray,santander consumer,5250,5800,Wed Mar 04 2015 01:05:00 GMT-0800 (PST)
378028,2008,Chevrolet,HHR,LT,Wagon,automatic,3gnca53p38s676874,ga,3.7,113083.0,blue,beige,lexus of greenville,4375,5100,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
378029,2008,Cadillac,DTS,Base,Sedan,automatic,1g6kd57yx8u210036,mo,3.5,56257.0,black,black,1st source bank,10450,11100,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
378030,2008,Cadillac,CTS,Base,Sedan,automatic,1g6df577x80160952,ca,1.9,102077.0,gray,black,consumer portfolio services,9525,9500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
378031,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,1gnfk16338j208625,pa,3.0,96744.0,black,beige,r hollenshead auto sales inc,17300,17600,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378032,2008,Chevrolet,Equinox,Sport,SUV,automatic,2cndl037086338336,mi,1.9,87856.0,black,black,"jpmorgan chase bank,n.a.",9200,7800,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
378033,2008,Buick,Lucerne,CX,Sedan,automatic,1g4hp57238u107496,tx,3.9,46007.0,burgundy,silver,hopper motorplex inc,8525,9200,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
378034,2008,Ford,Altima,Base,Sedan,automatic,2g1ws583181252154,fl,2.0,127083.0,blue,black,palm beach county sheriff's office,2650,3700,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
378035,2008,Cadillac,CTS,Base,Sedan,automatic,1g6dp57v880111017,tx,4.2,120125.0,gray,gray,hopper motorplex inc,10050,11900,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
378036,2008,Chevrolet,Suburban,1500 LS,SUV,automatic,3gnfk16318g104927,pa,3.4,157637.0,black,black,sands chry jeep dodge,12650,13300,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378037,2008,Chevrolet,Silverado 1500,Work Truck,Crew Cab,automatic,2gcec13j881188676,ga,3.6,95034.0,black,gray,carl black chevrolet buick gmc,15750,16600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
378038,2008,BMW,X5,3.0si,SUV,automatic,5uxfe43578l028588,pa,4.1,90382.0,blue,beige,kelemen carrs,14650,15200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
378039,2008,Cadillac,Escalade EXT,Base,Crew Cab,automatic,3gyfk62818g228942,nv,3.5,87665.0,black,black,unique autos,23000,25250,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
378040,2008,Chevrolet,Colorado,LT,Crew Cab,automatic,1gcds13e688123629,ca,2.8,121694.0,white,black,ge fleet services for itself/servicer,9300,10100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
378041,2008,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k281246015,il,2.0,78799.0,beige,black,wells fargo dealer services,6375,5900,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
378042,2008,Chevrolet,Equinox,LS,SUV,automatic,2cndl23f486309862,fl,2.2,109908.0,blue,gray,santander consumer,5450,4300,Wed Mar 04 2015 01:05:00 GMT-0800 (PST)
378043,2008,Chevrolet,Cobalt,LS,Coupe,automatic,1g1ak18fx87135088,nj,3.9,70996.0,silver,gray,holman ford lincoln,3925,4700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
378044,2008,Ford,Altima,Base,Sedan,automatic,1gyee637780102517,mi,4.8,131991.0,white,tan,kevins marysville auto sales inc,6375,7700,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
378045,2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zh57b58f171672,il,2.0,54258.0,silver,black,wells fargo dealer services,8425,8200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
378046,2008,Chevrolet,Malibu,LT,Sedan,automatic,1g1zh57b28f271681,ga,1.9,104902.0,silver,black,santander consumer,6500,4900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
378047,2008,Chrysler,300,C HEMI,Sedan,automatic,2c3ka63h08h118281,oh,4.1,70733.0,black,black,159191 canada inc,12000,11400,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
378048,2008,Dodge,Avenger,SE,Sedan,automatic,1b3lc46r28n231435,tx,1.9,92080.0,gray,gray,dt inventory,4925,4200,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
378049,2008,Chrysler,Pacifica,Touring,Wagon,automatic,2a8gf68x18r143969,pa,3.9,146927.0,beige,beige,curry toyota scion,1950,4100,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
