num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
378999,2004,Ford,F-150,XLT,SuperCab,automatic,1ftrx12w34nc06321,oh,2.6,112808.0,blue,gray,pat o'brien chevrolet west,5850,6000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
379000,2004,Ford,F-150,FX4,SuperCab,automatic,1ftpx14564nc66931,mo,2.3,82692.0,blue,tan,ed napleton honda,9125,12000,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
379001,2004,Ford,F-150,FX4,SuperCrew,automatic,1ftpw14514ka09065,tn,1.9,140563.0,gray,gray,dt inventory,7100,7800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379002,2004,Ford,Altima,Base,Sedan,automatic,1fmyu92124ka88458,oh,2.3,114808.0,white,tan,cnac corporate office/columbus,2900,3400,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
379003,2004,Dodge,Sprinter Cargo,2500 140 WB,Van,automatic,wd2pd644245707353,ca,4.1,210490.0,white,gray,ge fleet services for itself/servicer,5425,6800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
379004,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k84w122492,tn,1.9,138739.0,silver,gray,wells fargo dealer services,3150,3100,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
379005,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48s54c250954,oh,2.9,121298.0,gray,gray,cnac corporate office/columbus,3625,4400,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
379006,2004,Hyundai,Accent,GL,Sedan,automatic,kmhcg45c54u504329,nv,2.0,113921.0,silver,—,titlemax of decatur blvd. - nv 14,1800,750,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
379007,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k04w157592,pa,2.6,53969.0,red,black,"jpmorgan chase bank,n.a.",5050,3800,Fri Mar 06 2015 00:29:00 GMT-0800 (PST)
379008,2004,Infiniti,FX35,Base,SUV,automatic,jnras08u84x100317,nv,2.1,134129.0,gold,beige,las vegas motorcars llc,7325,7200,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
379009,2004,Jeep,Grand Cherokee,Limited,SUV,automatic,1j4gw58n14c228792,ca,2.8,103847.0,black,gray,toms truck center inc,4600,5250,Fri Feb 27 2015 07:00:00 GMT-0800 (PST)
379010,2004,Infiniti,I35,Base,Sedan,automatic,jnkda31a04t202217,nj,1.9,103969.0,gray,black,santander consumer,4125,3300,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
379011,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48s24c330695,nv,2.7,63703.0,gray,black,sti remarketing,5050,7100,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
379012,2004,Infiniti,G35,Base,Sedan,automatic,jnkcv51f44m704715,wi,1.9,179420.0,red,black,car outlet,3400,2350,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
379013,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48n44c416245,in,1.9,108988.0,blue,gray,santander consumer,3775,900,Thu Mar 05 2015 04:30:00 GMT-0800 (PST)
379014,2004,Ford,Altima,Base,Sedan,automatic,2hkyf18564h554272,tn,1.9,177425.0,gold,beige,dt inventory,3875,2800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379015,2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajea71c94sg03130,tn,1.0,135816.0,silver,—,westlake financial services,2725,1000,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
379016,2004,Honda,Accord,LX V-6,Sedan,automatic,1hgcm66334a047661,nj,2.8,184881.0,silver,black,holman automotive grp inc,3025,2800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
379017,2004,Infiniti,G35,Base,Sedan,automatic,jnkcv51e34m615578,tn,1.9,134371.0,white,gray,wells fargo dealer services,3975,4000,Tue Jun 30 2015 06:15:00 GMT-0700 (PDT)
379018,2004,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66554a010239,fl,2.7,94926.0,white,tan,d&a fine cars,5400,4800,Tue Mar 03 2015 01:20:00 GMT-0800 (PST)
379019,2004,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66594a048072,pa,3.6,137827.0,white,beige,car sense incorporated,4500,5000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
379020,2004,Jaguar,XJ-Series,XJ8,Sedan,automatic,sajea71c14sg10704,ca,2.0,152705.0,gray,black,lobel financial corp,1950,1200,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
379021,2004,Infiniti,G35,Base,Coupe,automatic,jnkcv54e14m304257,nv,3.8,51291.0,silver,—,imperial rides,9200,11000,Fri Feb 27 2015 04:00:00 GMT-0800 (PST)
379022,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gw48s34c347928,ny,2.6,125355.0,red,tan,broadway garage of columbia county inc,3525,4250,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
379023,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k74w161817,il,3.1,161545.0,silver,gray,wells fargo dealer services,2600,2400,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
379024,2004,Honda,Civic,Value Package,Coupe,automatic,1hgem22114l047250,pa,2.6,70852.0,black,black,hertz remarketing,4150,3800,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
379025,2004,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gx48sx4c353383,tn,1.9,145451.0,silver,gray,america's united financial llc,2975,3100,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379026,2004,Ford,Altima,Base,Sedan,automatic,jtjbt20x340049754,pa,3.4,150319.0,blue,beige,adcock brothers inc,9750,10200,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
379027,2004,Ford,Altima,Base,Sedan,automatic,jm1fe17n240140138,pa,3.0,120730.0,blue,black,west herr auto exchange inc,3125,3100,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
379028,2004,MINI,Cooper,Base,Hatchback,manual,wmwrc33414tc55081,tn,3.9,130527.0,blue,—,dt credit corporation,3200,3850,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
379029,2004,Ford,Altima,Base,Sedan,automatic,wdbrf61j94f511899,ca,2.9,149649.0,white,black,prime automart inc,3275,3400,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
379030,2004,Mercedes-Benz,CLK-Class,CLK320,Coupe,automatic,wdbtj65j24f097640,tn,2.9,83815.0,silver,tan,dt inventory,6325,4000,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379031,2004,Mercury,Mountaineer,Luxury,SUV,automatic,4m2du86w34zj08933,nj,3.3,128985.0,gold,black,holman ford lincoln,3275,3700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
379032,2004,Ford,Altima,Base,Sedan,automatic,wdbrf61jx4a615847,ca,2.7,122981.0,silver,black,a l financial corporation,3625,3700,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
379033,2004,Mercury,Mountaineer,Luxury,SUV,automatic,4m2zu86w84zj36782,wi,2.0,1.0,black,gray,total finance llc,6075,1375,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
379034,2004,Mitsubishi,Endeavor,XLS,SUV,automatic,4a4mm31s34e037553,tn,1.9,172883.0,burgundy,gray,america's united financial llc,2475,2000,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379035,2004,Kia,Spectra,EX,Sedan,automatic,knafe121945021409,tn,1.9,182199.0,black,gray,dt inventory,925,1300,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379036,2004,Mercury,Grand Marquis,LS Premium,Sedan,automatic,2mefm75w54x652168,oh,2.1,107733.0,blue,gray,cnac corporate office/columbus,3550,1650,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
379037,2004,Mercury,Monterey,Premier,Minivan,automatic,2mrda202x4bj04220,oh,3.5,104535.0,blue,gray,cnac corporate office/columbus,2775,3700,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
379038,2004,Lexus,LS 430,Base,Sedan,automatic,jthbn36f940148868,fl,2.3,153913.0,white,tan,fast/safe auto sales,9775,13200,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
379039,2004,Lexus,LS 430,Base,Sedan,automatic,jthbn36f440155727,il,2.9,144608.0,silver,gray,remarketing by ge/nextgear capital,10400,9200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
379040,2004,Mercury,Mountaineer,Luxury,SUV,automatic,4m2zu86k24zj09171,tn,1.9,175347.0,black,black,westlake financial services,1550,1500,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
379041,2004,Mercedes-Benz,S-Class,S500,Sedan,automatic,wdbng75jx4a395735,mn,4.5,88760.0,green,tan,morries minnetonka ford,8350,7300,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
379042,2004,Ford,Altima,Base,Sedan,automatic,jtjbt20x540056267,ga,2.2,198283.0,blue,beige,nalley bmw,8300,8500,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
379043,2004,Kia,Sorento,EX,SUV,automatic,kndjd733645317121,tx,2.1,157311.0,red,gray,fiserv/pelican resource group,1900,2900,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
379044,2004,Mercury,Grand Marquis,LS Premium,Sedan,automatic,2mehm75w04x665595,pa,2.9,47869.0,white,gray,melvin g rhoades auto sales llc,4500,5050,Fri Feb 27 2015 01:15:00 GMT-0800 (PST)
379045,2004,Lincoln,Town Car,Ultimate,Sedan,automatic,1lnhm83w24y639974,tx,1.3,92938.0,—,beige,wells fargo dealer services,4900,3300,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
379046,2004,Mitsubishi,Galant,ES,Sedan,automatic,4a3ab36fx4e092039,tn,2.0,154781.0,burgundy,gray,capital partners,1825,950,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
379047,2004,Lexus,RX 330,Base,SUV,automatic,jtjha31u340062370,ca,3.5,90032.0,black,black,repo remarketing/coast hills fcu,9925,11300,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
379048,2004,Nissan,350Z,Touring,Convertible,automatic,jn1az36a04t014788,tn,2.7,116816.0,silver,black,wells fargo financial acceptance,6175,5700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
379049,2004,Pontiac,Bonneville,GXP,Sedan,automatic,1g2hz54y04u226984,mn,2.0,102279.0,black,beige,"jpmorgan chase bank,n.a.",3850,2500,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
