num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
382999,2012,Jeep,Grand Cherokee,Overland,SUV,automatic,1c4rjecg9cc251449,fl,4.2,36102.0,silver,black,zimmerman auto brokers inc,28000,29000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
383000,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag1cc265192,ca,4.5,67175.0,black,black,ge fleet services for itself/servicer,20000,20800,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
383001,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjlak9cw188421,tx,4.3,65340.0,white,black,regional acceptance corporation / greensboro,11450,12200,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
383002,2012,Jeep,Compass,Sport,SUV,automatic,1c4njcba2cd605824,hi,4.0,21000.0,gray,black,ally,12800,13000,Wed Mar 04 2015 06:35:00 GMT-0800 (PST)
383003,2012,Jeep,Compass,Latitude,SUV,automatic,1c4njdeb1cd559297,pa,3.0,33658.0,red,black,fiserv/usb dealer services northstar exchange,15350,14600,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
383004,2012,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbt5cc206125,mi,4.9,39632.0,silver,tan,kevins marysville auto sales inc,27100,28100,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
383005,2012,Jeep,Grand Cherokee,Overland,SUV,automatic,1c4rjfct0cc171539,mi,2.9,67352.0,black,brown,corporate fleet services,25300,23300,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
383006,2012,Infiniti,QX,QX56,SUV,automatic,jn8az2nd5c9716558,tx,4.6,36994.0,black,black,infiniti financial services,42700,44600,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
383007,2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap2cm331083,tx,2.4,23080.0,gray,gray,nissan infiniti lt,27000,25400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
383008,2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap9cm332327,tx,3.2,30514.0,gray,black,nissan infiniti lt,26000,24000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
383009,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag5cc267835,mi,5.0,35945.0,black,black,kevins marysville auto sales inc,23000,24700,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
383010,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag8cc139668,pa,4.0,21532.0,white,beige,fiserv/usb dealer services northstar exchange,24400,23000,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
383011,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag0cc296031,mo,3.0,80818.0,black,black,automotive solutions llc,19050,17400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
383012,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar5cm670514,tx,4.2,48765.0,gray,gray,nissan infiniti lt,18150,19200,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
383013,2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a77cg031428,pa,3.9,21862.0,black,beige,foulke management corp,15800,13500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
383014,2012,Jeep,Patriot,Sport,SUV,automatic,1c4njpbbxcd639770,nv,4.0,31560.0,burgundy,black,wells fargo dealer services,12400,13700,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
383015,2012,Kia,Sorento,Base,SUV,automatic,5xykt3a10cg194049,ga,4.9,54782.0,black,gray,young motors llc,12850,15200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
383016,2012,Kia,Sedona,LX,Minivan,automatic,kndmg4c76c6438293,tx,2.3,77988.0,black,gray,regional acceptance corporation / greensboro,9350,8000,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
383017,2012,Kia,Optima,LX,Sedan,automatic,5xxgm4a76cg036817,tx,4.6,54863.0,white,gray,regional acceptance corporation / greensboro,11400,12400,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
383018,2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a74cg083664,ca,4.1,25460.0,white,gray,jnb motor inc,15550,17000,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
383019,2012,Kia,Forte,EX,Sedan,automatic,knafu4a26c5643334,tx,2.5,52548.0,gray,black,kia motors finance,8925,9000,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
383020,2012,Kia,Sedona,LX,Minivan,automatic,kndmg4c71c6419019,ga,2.5,155995.0,burgundy,beige,bmw alphera/alphera financial services,8450,4800,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
383021,2012,Kia,Forte,EX,Sedan,automatic,knafu4a2xc5476511,tx,1.9,61044.0,red,gray,regional acceptance corporation / greensboro,8600,8300,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
383022,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak1cw140613,pa,4.8,35270.0,silver,black,fiserv/usb dealer services northstar exchange,15450,16100,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
383023,2012,Kia,Optima,Hybrid,Sedan,automatic,knagm4ad3c5018721,il,2.9,65667.0,silver,black,grossinger autoplex inc,11700,11500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
383024,2012,Kia,Optima,LX,Sedan,automatic,5xxgm4a77cg015880,tn,2.7,107331.0,white,beige,gm financial,9850,8800,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
383025,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak8cw163032,pa,2.1,34448.0,black,black,fiserv/usb dealer services northstar exchange,15500,13800,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
383026,2012,Kia,Rio,SX,Sedan,automatic,knadn4a38c6075711,mi,3.5,51825.0,black,black,chrysler capital,8400,6500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
383027,2012,Kia,Sedona,EX,Minivan,automatic,kndmh4c78c6419807,il,3.2,43376.0,blue,gray,grossinger toyota north,15300,15300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
383028,2012,Kia,Optima,EX,Sedan,automatic,5xxgn4a77cg044373,pa,4.8,37419.0,gold,beige,kia motors finance,14900,14800,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
383029,2012,Kia,Sedona,LX,Minivan,automatic,kndmg4c75c6499103,pa,4.3,33688.0,red,gray,kia motors finance,12450,13900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
