num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
384999,2004,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu68h84zj31923,fl,1.9,131948.0,white,beige,autonation ford sanford,3350,4500,Tue Mar 03 2015 10:00:00 GMT-0800 (PST)
385000,2004,Lexus,RX 330,Base,SUV,automatic,jtjga31u240017108,tx,3.5,114579.0,blue,tan,dt credit corporation,8500,6700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
385001,2004,Lexus,RX 330,Base,SUV,automatic,jtjha31u240062991,mo,3.7,130872.0,—,gray,arizona auto sales inc,8975,8700,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
385002,2004,Lexus,ES 330,Base,Sedan,automatic,jthba30g540019328,ga,3.0,97461.0,off-white,tan,carworks inc,5800,7300,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
385003,2004,Jeep,Wrangler,X,SUV,automatic,1j4fa39s44p720003,sc,3.4,132713.0,burgundy,tan,rick hendrick dodge chrysler jeep ram,8425,9600,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
385004,2004,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k04w180614,mi,1.9,137082.0,red,black,jeffs motorcars inc,3175,2500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
385005,2004,Lexus,RX 330,Base,SUV,automatic,2t2ha31u34c038297,nc,3.4,250291.0,black,black,hendrick lexus northlake,6225,8700,Wed Mar 04 2015 06:00:00 GMT-0800 (PST)
385006,2004,Kia,Amanti,Base,Sedan,automatic,knald124645020816,az,1.9,103440.0,white,beige,a l financial corporation,2500,2400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
385007,2004,MINI,Cooper,Base,Hatchback,automatic,wmwrc33424tj55455,tn,3.2,97964.0,green,black,tdaf remarketing,4075,3700,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
385008,2004,Lexus,RX 330,Base,SUV,automatic,2t2ha31u24c009857,md,4.3,181155.0,black,tan,lexus of silver spring,7750,8000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
385009,2004,Lexus,RX 330,Base,SUV,automatic,jtjha31u840006361,md,3.5,150054.0,silver,beige,lexus of rockville,8550,8000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
385010,2004,Mercedes-Benz,CLK-Class,CLK320,Convertible,automatic,wdbtk65g84t020662,oh,2.5,123166.0,silver,black,dt credit corporation,4800,5700,Thu Mar 05 2015 01:00:00 GMT-0800 (PST)
