num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
385999,2013,Ford,C-Max Hybrid,SEL,Wagon,automatic,1fadp5bu1dl517618,hi,4.4,20669.0,white,black,"ford motor credit company,llc",16350,15750,Wed Mar 04 2015 06:30:00 GMT-0800 (PST)
386000,2013,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew7dda96403,pa,4.3,17243.0,white,gray,u-haul,19550,20900,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
386001,2013,Ford,Edge,SEL,SUV,automatic,2fmdk4jc8dba88632,mn,4.1,32092.0,—,black,ford-lincoln dealer program,23300,25500,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
386002,2015,Mazda,CX-5,Grand Touring,SUV,automatic,jm3ke4dyxf0431690,ga,4.6,14571.0,blue,black,mazda motors of america inc.,25300,25800,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
386003,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke2cy0f0434717,tx,4.4,27834.0,blue,tan,enterprise vehicle exchange/dfw airport,18150,18900,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
386004,2015,Mazda,Mazda6,i Touring,Sedan,automatic,jm1gj1v52f1185449,ca,4.6,15673.0,white,beige,wells fargo dealer services,19050,20700,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
386005,2015,Nissan,Altima,2.5 SL,Sedan,automatic,1n4al3ap7fn338375,tx,5.0,861.0,brown,beige,nissan-infiniti lt,23100,19800,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
386006,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7fn322869,ca,1.0,15625.0,brown,black,enterprise vehicle exchange / tra / rental / tulsa,16300,13000,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
386007,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7fc180390,tx,3.0,7884.0,silver,—,enterprise vehicle exchange / tra / rental / tulsa,16500,14300,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
386008,2015,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap4fc125928,tx,4.4,12540.0,black,black,fiserv/regions bank,16050,16000,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
386009,2015,Kia,Soul,+,Wagon,automatic,kndjp3a51f7752804,ca,4.5,7580.0,red,black,bmw alphera/alphera financial services,15250,14700,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
386010,2015,Lexus,RX 350,Base,SUV,automatic,2t2bk1baxfc276047,tn,4.7,2622.0,—,black,meridian remarketing,41600,44400,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
386011,2015,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5fn319663,ca,4.9,17044.0,white,black,enterprise vehicle exchange/orange,16250,17100,Tue Mar 03 2015 04:30:00 GMT-0800 (PST)
386012,2013,Ford,Edge,SEL,SUV,automatic,2fmdk3j91dbc30916,tn,3.7,96050.0,—,black,sullivan auto group llc,16900,14800,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
386013,2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx5dud51053,pa,4.1,31769.0,red,black,"ford motor credit company,llc",17550,18100,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
386014,2013,Ford,Edge,Sport,SUV,automatic,2fmdk4akxdba74352,wi,4.6,37235.0,white,gray,cat wholesale llc,28000,28250,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
386015,2013,Ford,Escape,SE,SUV,automatic,1fmcu9gx1dud00536,oh,4.5,23445.0,green,gray,family ford lincoln,18250,18600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
386016,2013,Ford,Escape,S,SUV,automatic,1fmcu0f76dud79957,ca,3.7,54611.0,blue,black,ge fleet services for itself/servicer,12850,13000,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
386017,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h9xdua78773,tn,4.0,70261.0,—,black,the hertz corporation,15100,14900,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
386018,2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx8duc63190,ca,4.3,44015.0,—,beige,lease plan usa,14850,15400,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
386019,2013,Ford,Escape,Titanium,SUV,automatic,1fmcu9j96duc16173,hi,3.5,23979.0,brown,black,"ford motor credit company,llc",23800,22250,Wed Mar 04 2015 06:30:00 GMT-0800 (PST)
386020,2013,Ford,Escape,SEL,SUV,automatic,1fmcu9h96dua72436,tn,3.5,65375.0,blue,black,the hertz corporation,15800,14700,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
386021,2013,Ford,Escape,S,SUV,automatic,1fmcu0f70dub81472,tn,5.0,21635.0,—,gray,"ford motor credit company,llc",14750,16500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
386022,2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx8dub94369,il,3.8,24639.0,silver,beige,"ford motor credit company,llc",16350,16000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
386023,2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx4duc48881,ca,4.3,49576.0,blue,gray,ge fleet services for itself/servicer,14400,14750,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
386024,2013,Ford,Escape,SEL,SUV,automatic,1fmcu0h9xdud23258,tn,4.5,28375.0,gray,black,"ford motor credit company,llc",18950,20000,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
386025,2013,Ford,Escape,Titanium,SUV,automatic,1fmcu0j99dub32912,mo,3.4,83778.0,black,black,automotive solutions llc,16250,15600,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
