num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
389999,2012,Nissan,Pathfinder,S,SUV,automatic,5n1ar1nb8cc640613,co,4.3,55889.0,white,brown,justus motors company inc,16550,19800,Wed Mar 04 2015 03:45:00 GMT-0800 (PST)
390000,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mt2cw261734,il,3.7,28129.0,black,black,nissan-infiniti lt,13950,14800,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390001,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv6cw382994,nj,4.4,32552.0,white,black,nissan-infiniti lt,14600,15400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
390002,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv7cw406106,nc,3.8,44777.0,black,black,t & k enterprises of mt airy inc,13800,14900,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
390003,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv0cw352387,il,4.4,39922.0,white,gray,nissan-infiniti lt,14150,14600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390004,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv5cw384512,il,4.5,22734.0,white,gray,nissan-infiniti lt,15200,16000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390005,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv7cw382728,nj,2.8,30467.0,black,black,nissan-infiniti lt,14700,13300,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
390006,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mv9cw401859,il,2.9,32854.0,gray,black,nissan-infiniti lt,14600,15000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390007,2012,Nissan,Rogue,S,SUV,automatic,jn8as5mt5cw284893,fl,3.6,34540.0,red,gray,remarketing by ge/space coast credit union,13550,13900,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
390008,2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv4cw378121,il,2.9,46586.0,black,black,nissan-infiniti lt,15400,14800,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390009,2012,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap0cl632259,fl,1.9,72832.0,black,gray,regional acceptance corporation / greenville,8100,6500,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
390010,2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv3cw386839,co,3.9,34270.0,gray,black,nissan-infiniti lt,16100,16900,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
390011,2012,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6ap5cl701205,fl,2.0,40938.0,silver,black,"jpmorgan chase bank,n.a.",9850,7500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
390012,2012,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6ap9cl715866,ga,2.8,57853.0,silver,gray,td auto finance,8750,6700,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390013,2012,Nissan,Sentra,2.0,Sedan,automatic,3n1ab6apxcl690640,la,3.6,45317.0,silver,gray,westfall auto sales,9325,10000,Wed Mar 04 2015 02:40:00 GMT-0800 (PST)
390014,2012,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6ap6cl647171,ga,2.7,66710.0,black,gray,nationwide financial inc,7975,9000,Tue Mar 03 2015 05:10:00 GMT-0800 (PST)
390015,2012,Nissan,Sentra,2.0 S,Sedan,automatic,3n1ab6ap8cl637158,ga,3.8,108080.0,black,gray,north atlanta auto superstore,6525,7900,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
390016,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap3cl610014,nc,3.6,76644.0,white,gray,town & country toyota scion,8325,8500,Tue Mar 03 2015 02:00:00 GMT-0800 (PST)
390017,2012,Nissan,Titan,SV,Crew Cab,automatic,1n6aa0ej4cn308649,oh,4.8,40113.0,black,black,exceptional motorcar llc,22900,21700,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
390018,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap9cl645351,nj,4.4,37323.0,white,gray,nissan-infiniti lt,10450,11700,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
390019,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap1cl633369,nj,4.5,40082.0,black,gray,nissan-infiniti lt,10300,10000,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
390020,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap1cl682653,il,2.9,35079.0,white,gray,nissan-infiniti lt,10600,11600,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
390021,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap4cl713099,az,1.9,56582.0,blue,gray,gm financial,9450,8700,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390022,2012,Nissan,Titan,SV,Crew Cab,automatic,1n6ba0ek3cn320370,ga,4.3,21432.0,white,gray,carl black chevrolet buick gmc,21500,20000,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
390023,2012,Nissan,Sentra,2.0 SR,Sedan,automatic,3n1ab6ap8cl701716,fl,3.4,71306.0,white,gray,regional acceptance corporation / greenville,8650,9300,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
390024,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl8cg195988,tx,2.1,71649.0,gray,gray,barco fleet services,26300,22750,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390025,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg249269,tx,2.8,48510.0,silver,black,barco fleet services,29400,26250,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390026,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap2cl943617,pr,4.4,27821.0,beige,gray,reliable financial services inc,8750,8900,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390027,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl1cg180927,tx,1.9,78891.0,gray,gray,barco fleet services,25000,23750,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390028,2012,Ram,1500,Sport,Quad Cab,automatic,1c6rd6ht0cs179380,fl,4.1,19971.0,white,black,tdaf remarketing,25000,25500,Tue Mar 03 2015 01:00:00 GMT-0800 (PST)
390029,2012,Ram,1500,SLT,Quad Cab,automatic,1c6rd7gpxcs231429,tx,3.8,73615.0,white,black,ge fleet services for itself/servicer,17550,17500,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390030,2012,Ram,1500,SLT,Crew Cab,automatic,1c6rd7lt3cs105206,wa,2.9,75672.0,white,beige,xcar inc,20500,22950,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
390031,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap3cl887879,ca,4.0,68268.0,gray,beige,ss motors llc,6925,8900,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
390032,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl2cg259491,nv,3.7,57051.0,white,gray,barco rent a truck,27800,30400,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
390033,2012,Nissan,Versa,1.6 S,Sedan,automatic,3n1cn7ap3cl835152,fl,1.9,59063.0,white,black,regional acceptance corporation / greenville,7100,7600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
390034,2012,Porsche,Cayenne,S Hybrid,SUV,automatic,wp1ae2a26cla92699,pa,3.7,24754.0,white,black,bard whls,46400,45250,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
390035,2012,Ram,1500,SLT,Crew Cab,automatic,1c6rd7lp7cs163533,tx,4.4,78708.0,white,gray,wheels lt,19100,21100,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
390036,2012,Porsche,Cayman,R,Coupe,manual,wp0ab2a81cs793168,ca,4.7,15829.0,black,beige,premier motors,60000,59000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
390037,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg296060,nv,4.3,68775.0,silver,gray,barco rent a truck,26200,29800,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
