num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
391999,2006,Ford,F-250 Super Duty,XL,SuperCab,automatic,1ftsx20p66ec17464,tx,2.0,250321.0,white,gray,ge fleet services for itself/servicer,2250,1800,Thu Mar 05 2015 06:00:00 GMT-0800 (PST)
392000,2006,Ford,Mustang,Standard,Coupe,automatic,1zvft80n165265062,fl,3.8,92405.0,yellow,black,santander consumer,6350,7900,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
392001,2006,Ford,Five Hundred,Limited,Sedan,automatic,1fahp25136g152520,tx,2.9,100891.0,gray,beige,tdaf remarketing,4875,4000,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
392002,2006,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw20p26eb05425,va,2.5,92500.0,blue,brown,c&f finance company,13450,12100,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
392003,2006,Ford,Fusion,SE,Sedan,automatic,3fahp07z26r191633,ca,1.9,93832.0,black,black,m & n financial,4400,4200,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
392004,2006,Ford,F-250 Super Duty,Lariat,Crew Cab,automatic,1ftsw21556eb63817,il,2.0,133114.0,black,gray,remarketing by ge/classic motorcars inc,12500,9000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
392005,2006,Ford,Fusion,SEL,Sedan,automatic,3fahp08156r176813,mi,4.8,101302.0,red,tan,kevins marysville auto sales inc,4725,5900,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
392006,2006,Ford,Freestar,SEL,Minivan,automatic,2fmza52256ba40934,tx,2.4,124987.0,gray,tan,del rio ford lincoln mercury ltd,2300,1800,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
392007,2006,GMC,Envoy,SLT,SUV,automatic,1gkds13s962130956,fl,3.7,100822.0,green,black,grow financial fcu,5550,6700,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
392008,2006,Ford,Ranger,XLT,SuperCab,automatic,1ftyr14u96pa85495,ca,3.6,111627.0,black,gray,billion dodge chrysler jeep,6375,8000,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
392009,2006,GMC,Envoy XL,Denali,SUV,automatic,1gkes66m466122139,ga,4.1,108597.0,gray,black,kern automotive group inc,6750,8700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
392010,2006,GMC,Yukon,Denali,SUV,automatic,1gkek63u46j121414,mi,4.3,116834.0,burgundy,tan,grace motors,10150,10500,Thu Mar 05 2015 01:30:00 GMT-0800 (PST)
392011,2006,Honda,Accord,EX V-6,Sedan,automatic,1hgcm66856a060149,nj,2.2,99205.0,silver,black,gs autoplex llc,7400,5900,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
392012,2006,Honda,Accord,LX Special Edition,Sedan,manual,1hgcm55366a140317,nj,2.1,33608.0,gray,gray,wzs auto sales inc,7150,8200,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
392013,2006,Ford,Taurus,SEL,Sedan,automatic,1fafp56u46a157049,mo,1.9,103404.0,gold,tan,primeritus remarketing/gateway affordable motors,2775,3400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
392014,2006,GMC,Yukon XL,SL 1500,SUV,automatic,1gkec16z76j121074,ca,3.3,121471.0,burgundy,beige,high bid trading co inc,5900,9100,Wed Mar 04 2015 04:15:00 GMT-0800 (PST)
392015,2006,GMC,Yukon XL,SL 1500,SUV,automatic,3gkec16z96g110076,tx,2.8,113108.0,gray,gray,lawler motor sports inc,6375,8300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
392016,2006,GMC,Envoy,SLE,SUV,automatic,1gkds13s262158338,tx,2.1,124016.0,gray,gray,westlake financial services,4825,3500,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
392017,2006,GMC,Envoy,Denali,SUV,automatic,1gkes63m462307268,az,2.7,120965.0,white,black,veros credit,6450,6300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
392018,2006,Honda,Civic,EX,Sedan,manual,2hgfa158x6h526203,ca,2.4,66915.0,silver,gray,aaero sweet corporation,6825,9200,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
392019,2006,GMC,Envoy,SLT,SUV,automatic,1gkds13s062126696,nv,1.9,150421.0,burgundy,gray,westlake financial services,3625,3300,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
392020,2006,Honda,Civic,LX,Sedan,automatic,1hgfa16526l063688,ca,1.9,141821.0,blue,beige,m & n financial,4575,4100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
392021,2006,Hyundai,Sonata,GLS,Sedan,automatic,5npeu46c96h176298,wi,3.1,85195.0,silver,gray,zimbrick eastside,4150,6000,Wed Mar 04 2015 02:00:00 GMT-0800 (PST)
392022,2006,Honda,Odyssey,EX,Minivan,automatic,5fnrl38446b031785,fl,2.9,112615.0,gold,tan,regional acceptance corporation / greenville,6325,4800,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
392023,2006,HUMMER,H3,Base,SUV,automatic,5gtdn136x68267352,fl,1.9,131911.0,blue,black,remarketing by ge/sw1 remarketing,9400,8100,Tue Mar 03 2015 03:05:00 GMT-0800 (PST)
392024,2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38736b431993,ga,3.9,111616.0,white,tan,town center nissan,6650,6400,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
392025,2006,Hyundai,Sonata,LX,Sedan,automatic,5npeu46f26h105907,ca,3.3,137061.0,black,gray,aaero sweet corporation,3475,4400,Wed Mar 04 2015 03:30:00 GMT-0800 (PST)
392026,2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl387x6b067037,ca,2.6,136210.0,silver,gray,redline remarketing,5875,7100,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
392027,2006,HUMMER,H2,Base,SUV,automatic,5grgn23u36h121642,fl,4.9,72430.0,white,black,american bank auto liquidators,24300,26800,Tue Mar 03 2015 01:15:00 GMT-0800 (PST)
392028,2006,Hyundai,Azera,Limited,Sedan,automatic,kmhfc46f96a107521,ga,3.6,112962.0,gray,beige,chase automotive,4550,4500,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
392029,2006,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38656b038147,ga,2.7,157195.0,gray,gray,gwinnett place honda,5225,4800,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
392030,2006,Hyundai,Elantra,Limited SULEV,Sedan,automatic,kmhdn46d96u258664,fl,2.6,84632.0,black,gray,d&a fine cars,3175,3600,Fri Mar 06 2015 01:40:00 GMT-0800 (PST)
392031,2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gr48k56c314889,mo,1.9,165362.0,silver,gray,daylight auto financing inc,3850,4300,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
392032,2006,Jeep,Liberty,Limited,SUV,automatic,1j4gk58k56w239331,tx,4.1,73733.0,silver,gray,tdaf remarketing,6925,8500,Wed Mar 04 2015 02:15:00 GMT-0800 (PST)
392033,2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48kx6w113036,mo,2.9,96044.0,green,gray,"magnum auto sales and service, llc",5075,6300,Tue Mar 03 2015 03:00:00 GMT-0800 (PST)
392034,2006,Infiniti,G35,Base,Sedan,automatic,jnkcv51e26m509058,ca,3.3,126420.0,gray,gray,billotti auto sales,6150,7900,Tue Mar 03 2015 04:00:00 GMT-0800 (PST)
392035,2006,Isuzu,Ascender,S 5 Passenger,SUV,automatic,4nuds13s762700257,hi,1.6,90856.0,black,gray,westlake financial services,4250,300,Tue Mar 03 2015 16:00:00 GMT-0800 (PST)
392036,2006,Jeep,Commander,Limited,SUV,automatic,1j8hg58276c219121,co,4.2,128572.0,white,tan,carfinders inc,8000,10100,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
392037,2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8hr48n56c141145,oh,2.4,137809.0,black,gray,bert wolfe ford inc,4375,4600,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
392038,2006,Jeep,Commander,Limited,SUV,automatic,1j8hg58216c338718,nj,2.8,150157.0,silver,gray,paramus ford inc,6600,6400,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
392039,2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j8gr48k56c303406,va,1.9,79214.0,silver,gray,consumer portfolio services,8325,6500,Wed Mar 04 2015 01:30:00 GMT-0800 (PST)
392040,2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4hr48n16c224105,pa,2.7,124407.0,gold,beige,car sense incorporated,5050,7200,Tue Mar 03 2015 01:30:00 GMT-0800 (PST)
392041,2006,Infiniti,QX56,Base,SUV,automatic,5n3aa08c36n810012,ca,2.3,131991.0,black,black,high bid trading co inc,10950,10600,Wed Mar 04 2015 04:15:00 GMT-0800 (PST)
392042,2006,Jeep,Liberty,Limited,SUV,automatic,1j4gk58k26w194445,fl,2.7,76846.0,black,gray,santander consumer,6800,7100,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
392043,2006,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4hs48n36c254758,ca,3.7,162237.0,white,—,first credit finance,2525,3800,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
392044,2006,Infiniti,M45,Base,Sedan,automatic,jnkby01e86m206131,ca,2.5,106337.0,gray,black,audi san diego,9775,8500,Wed Mar 04 2015 04:30:00 GMT-0800 (PST)
