num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
394999,2012,Chrysler,300,Limited,Sedan,automatic,2c3ccacg2ch232915,md,2.4,33793.0,gray,black,wells fargo dealer services,18450,14800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
395000,2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab5cn270116,oh,2.8,44999.0,black,black,wells fargo dealer services,9425,9900,Tue Mar 10 2015 05:00:00 GMT-0700 (PDT)
395001,2012,Chevrolet,Malibu,LS,Sedan,automatic,1g1zb5e09cf279062,pa,3.5,61605.0,white,brown,td auto finance,9700,8500,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
395002,2012,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg2ch110010,tx,3.3,57059.0,silver,black,metro volkswagen,14450,14600,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
395003,2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg1cr263797,oh,2.7,64151.0,red,black,"ford motor credit company,llc pd",10800,10500,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
395004,2012,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg4cr399356,fl,3.6,44301.0,gray,black,avis corporation,12100,12000,Fri Mar 06 2015 02:00:00 GMT-0800 (PST)
395005,2012,FIAT,500,Pop,Hatchback,automatic,3c3cffar2ct196580,ca,1.9,21650.0,orange,black,remarketing by ge/manheim southern california,7975,4100,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
395006,2012,Dodge,Durango,Crew,SUV,automatic,1c4rdjdg0cc163467,pa,4.7,30821.0,burgundy,black,dodge of paramus inc,24700,25600,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
395007,2012,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftns2el5cdb16807,sc,5.0,21875.0,blue,gray,dab auto world & leasing,19250,19200,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
395008,2012,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb3cn258608,fl,2.8,58565.0,gray,black,the hertz corporation,9625,9400,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
395009,2012,Dodge,Durango,Crew,SUV,automatic,1c4rdjdg7cc183005,pa,3.5,53711.0,blue,gray,ingersoll auto of danbury,21500,18600,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
395010,2012,Dodge,Caliber,SXT,Wagon,automatic,1c3cdwda2cd510424,nc,2.9,89765.0,gray,gray,santander consumer,7825,7700,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
395011,2012,Dodge,Grand Caravan,American Value Package,Minivan,automatic,2c4rdgbg5cr380137,mn,3.4,175813.0,black,gray,southgate leasing corp,5525,6500,Thu Mar 05 2015 02:45:00 GMT-0800 (PST)
395012,2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0cn242529,ga,2.5,63882.0,blue,black,nationwide financial inc,8400,9000,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
