num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
396999,2007,Dodge,Charger,Base,Sedan,automatic,2b3ka43rx7h846814,nc,4.3,95490.0,red,black,santander consumer,6950,8300,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
397000,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b77d317580,ca,2.5,177715.0,blue,gray,bhfc financial services inc,2100,2900,Thu Mar 05 2015 04:30:00 GMT-0800 (PST)
397001,2007,Dodge,Charger,Base,Sedan,automatic,2b3ka43g97h814600,md,1.9,104082.0,black,gray,"jpmorgan chase bank,n.a.",6700,6600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
397002,2007,Dodge,Magnum,SE,Wagon,automatic,2d4fv47v07h640531,ca,2.4,177608.0,gray,gray,titlemax/riverside ca1,2800,2500,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
397003,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b37d542692,ny,2.6,187334.0,silver,gray,manheim albany,1900,1250,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
397004,2007,Ford,Edge,SEL Plus,SUV,automatic,2fmdk39c07bb65352,va,2.9,157303.0,black,tan,cowles ford inc,6375,5900,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
397005,2007,Ford,Edge,SEL,SUV,automatic,2fmdk38c17bb62073,il,2.7,119429.0,white,beige,santander consumer,7425,9000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
397006,2007,Ford,Edge,SEL,SUV,automatic,2fmdk48cx7ba57005,nc,2.6,89891.0,white,tan,crown ford,8950,7800,Thu Mar 05 2015 06:30:00 GMT-0800 (PST)
397007,2007,Dodge,Charger,SRT-8,Sedan,manual,2b3ka73w37h685472,pa,4.4,27946.0,red,black,daniel thomas sales,20500,22400,Fri Mar 06 2015 01:30:00 GMT-0800 (PST)
397008,2007,Dodge,Caliber,SXT,Wagon,automatic,1b3hb48b97d565071,fl,2.5,137480.0,white,gray,courtesy kia of brandon,3050,2300,Thu Mar 05 2015 08:20:00 GMT-0800 (PST)
397009,2007,Dodge,Dakota,SLT,Quad Cab,automatic,1d7hw48k17s103821,pa,3.7,77149.0,silver,gray,auto select inc,11300,12400,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
397010,2007,Ford,Edge,SEL,SUV,automatic,2fmdk48cx7ba49566,va,2.0,183596.0,black,black,rosner motors inc,5975,2900,Thu Mar 05 2015 03:50:00 GMT-0800 (PST)
397011,2007,Dodge,Dakota,ST,Quad Cab,automatic,1d7he28k37s137007,oh,3.5,60204.0,red,gray,wells fargo dealer services,8925,8700,Tue Mar 10 2015 05:00:00 GMT-0700 (PDT)
397012,2007,Dodge,Dakota,SLT,Quad Cab,automatic,1d7hw48kx7s141581,nc,3.6,128123.0,black,black,atlantic coast remarketing inc/ia,7800,8700,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
