num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
397999,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e64c917719,va,2.7,185702.0,silver,gray,sullivan auto trading inc,2500,2700,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
398000,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e44c865622,in,1.9,147077.0,blue,gray,aa auto sales & services llc,3050,3500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
398001,2004,Mercedes-Benz,S-Class,S430 4MATIC,Sedan,automatic,wdbng83j14a430235,pa,3.4,104334.0,black,beige,r hollenshead auto sales inc,7050,8100,Fri Mar 06 2015 01:00:00 GMT-0800 (PST)
398002,2004,Ford,Altima,Base,Sedan,automatic,4a3ab36s24e075345,tx,1.9,157113.0,silver,gray,metro volkswagen,1125,2300,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
398003,2004,Lexus,LS 430,Base,Sedan,automatic,jthbn36f440170602,va,3.2,110351.0,black,beige,mercedes benz of fredericksburg,11200,12200,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
398004,2004,Mitsubishi,Lancer,ES,Sedan,automatic,ja3aj26e34u064871,va,2.6,148649.0,white,gray,hendrick honda woodbridge,1700,1700,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
398005,2004,Mercedes-Benz,E-Class,E500,Sedan,automatic,wdbuf70jx4a507312,fl,3.5,135151.0,gray,—,mercedes benz of tampa,4550,4200,Thu Mar 05 2015 08:20:00 GMT-0800 (PST)
398006,2004,Mercury,Mountaineer,Luxury,SUV,automatic,4m2zu86k54uj10053,nc,3.8,75729.0,blue,black,auction direct usa raleigh llc,3850,4700,Mon Mar 09 2015 02:00:00 GMT-0700 (PDT)
398007,2004,Volkswagen,New Beetle,GLS 1.8T,Convertible,automatic,3vwcd31y54m336332,az,2.5,104232.0,blue,gray,chapman corporate wholesale,3025,2800,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
398008,2004,Toyota,Corolla,S,Sedan,automatic,2t1br32e84c166612,fl,1.9,144746.0,black,black,new city funding,3475,3100,Thu Mar 05 2015 03:45:00 GMT-0800 (PST)
398009,2004,Toyota,Corolla,CE,Sedan,automatic,1nxbr32e74z204782,ca,2.5,229432.0,silver,gray,bob baker jeep,2575,2300,Fri Mar 06 2015 07:00:00 GMT-0800 (PST)
398010,2004,Toyota,Corolla,CE,Sedan,automatic,2t1br32e44c229527,md,2.7,174080.0,gray,gray,darcars toyota of frederick,3175,2500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
398011,2004,Subaru,Impreza,WRX,Sedan,manual,jf1gd29674g517742,fl,1.9,229578.0,silver,black,coggin toyota at the avenues,4575,4400,Thu Mar 05 2015 05:00:00 GMT-0800 (PST)
398012,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e14c913576,ca,2.8,142760.0,gold,beige,quality acceptance,3275,2800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
398013,2004,Toyota,Highlander,Base,SUV,automatic,jtedd21a840078584,il,2.0,120021.0,green,tan,prestige financial services,7025,5300,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
398014,2004,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsk69m04m015884,nc,3.1,131437.0,black,gray,primeritus remarketing / chesterfield impor,2275,2400,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
398015,2004,Volkswagen,Passat,GLS 1.8T 4Motion,Wagon,automatic,wvwvd63b34e002571,fl,1.9,120653.0,black,gray,courtesy chrysler jeep dodge,2400,1800,Thu Mar 05 2015 08:20:00 GMT-0800 (PST)
398016,2004,Porsche,Cayenne,S,SUV,automatic,wp1ab29p84la61206,fl,3.5,99351.0,silver,black,remarketing by ge/central fl sales & leasing inc,8250,9600,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
