num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
398999,2013,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d35d9234620,ca,2.8,55723.0,white,black,fox rent a car,16800,16800,Thu Mar 05 2015 04:00:00 GMT-0800 (PST)
399000,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb3d7222233,fl,4.2,47390.0,white,black,avis corporation,10600,11100,Thu Mar 05 2015 01:15:00 GMT-0800 (PST)
399001,2013,Chevrolet,Camaro,LT,Coupe,automatic,2g1fc1e3xd9125277,ga,4.1,14591.0,gray,black,young motors llc,20500,22500,Thu Mar 05 2015 02:00:00 GMT-0800 (PST)
399002,2013,Chevrolet,Captiva Sport,LTZ Fleet,SUV,automatic,3gnal4ek9ds564359,nv,3.9,28718.0,white,black,enterprise veh exchange/rental,15350,15800,Fri Mar 06 2015 04:00:00 GMT-0800 (PST)
399003,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxd7229888,il,4.3,38363.0,silver,black,avis corporation,11100,10900,Tue Mar 10 2015 04:30:00 GMT-0700 (PDT)
399004,2013,Chevrolet,Suburban,LTZ 1500,SUV,automatic,1gnskke70dr214421,nc,4.8,69473.0,white,black,the hertz corporation,29100,29400,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
399005,2013,Chevrolet,Camaro,SS,Coupe,automatic,2g1fk1ej3d9205800,tx,4.3,34300.0,white,black,j j auto sales llc,24900,25800,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
399006,2013,Chevrolet,Camaro,LT,Coupe,automatic,2g1fc1e32d9119392,ca,4.2,41167.0,white,black,skyhigh remarketing inc,18200,22250,Wed Mar 04 2015 04:00:00 GMT-0800 (PST)
399007,2013,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,3gnal2ek5ds642429,ga,2.0,46748.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,12400,10900,Thu Mar 05 2015 04:30:00 GMT-0800 (PST)
399008,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb4d7184267,fl,4.2,51758.0,white,black,beford auto,10350,10900,Thu Mar 05 2015 01:50:00 GMT-0800 (PST)
