num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
399999,2014,Chevrolet,Silverado 1500,Work Truck,Double Cab,automatic,1gcrcpeh1ez144245,ga,4.6,23400.0,black,gray,gm financial,21400,22000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400000,2014,Ford,Altima,Base,Sedan,automatic,2g4gv5ek7e9314633,fl,3.0,15700.0,black,black,gm remarketing,18350,18900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400001,2014,Buick,LaCrosse,Leather Group,Sedan,automatic,1g4gb5g35ef203777,fl,3.0,24082.0,black,brown,gm remarketing,22000,22200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400002,2014,Buick,Regal,Premium I,Sedan,automatic,2g4gn5ex2e9245751,fl,4.0,15968.0,white,black,gm remarketing,19000,19000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400003,2014,Chevrolet,Silverado 1500,High Country,Crew Cab,automatic,3gcuktec7eg443152,pa,4.9,1835.0,black,brown,big tree auto brokers,41900,41600,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
400004,2014,Cadillac,XTS,Luxury,Sedan,automatic,2g61m5s3xe9212434,nc,4.3,30761.0,gray,gray,enterprise veh exchange/rental,29700,29500,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
400005,2014,Buick,Regal,Premium I,Sedan,automatic,2g4gn5ex9e9247819,ga,5.0,21384.0,beige,gray,gm financial,18700,18800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400006,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc154686,ga,2.5,24948.0,gray,black,nissan motor acceptance corporation,13400,9800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400007,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn469123,ga,4.5,42709.0,white,black,nissan-infiniti lt,12150,12600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400008,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cc118641,ga,2.3,117332.0,gray,gray,nissan motor acceptance corporation,8900,6000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400009,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cc169644,ga,2.8,39089.0,black,black,nissan-infiniti lt,12400,10400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400010,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn459137,pa,4.0,32380.0,gray,black,j cars,12800,11750,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
400011,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap5cn509243,ga,3.1,19348.0,black,black,nissan-infiniti lt,13750,12600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400012,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap1cn414565,fl,2.0,23267.0,black,gray,regional acceptance corporation / greenville,13500,5900,Mon Mar 09 2015 02:30:00 GMT-0700 (PDT)
400013,2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap9cn493001,fl,4.0,65286.0,silver,black,the hertz corporation,10400,10000,Fri Mar 06 2015 01:15:00 GMT-0800 (PST)
400014,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc170970,ga,3.2,49807.0,black,black,gm financial,11700,10700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400015,2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep9cc172372,ga,4.3,28309.0,white,beige,nissan-infiniti lt,14250,16600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400016,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap0cc113765,ga,4.3,18484.0,—,black,nissan-infiniti lt,13850,14400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400017,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc107627,ga,4.9,32051.0,black,black,nissan-infiniti lt,12900,12100,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400018,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn424345,ga,4.5,27999.0,white,beige,nissan-infiniti lt,13200,12900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400019,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap7cn548593,ga,2.8,38265.0,—,black,nissan-infiniti lt,12450,12200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400020,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcc178929,fl,3.5,25821.0,black,black,nissan-infiniti lt,13300,11600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
400021,2012,Nissan,Altima,2.5 S,Coupe,automatic,1n4al2ep5cc213015,ga,3.4,44504.0,—,black,nissan-infiniti lt,13300,13800,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
