num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
400999,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg2er181757,ga,3.0,35999.0,black,black,avis corporation,16450,16200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401000,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg7er212422,ga,4.2,37994.0,gray,black,avis corporation,16350,16300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401001,2014,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcg9er212762,fl,4.6,30629.0,gray,black,avis corporation,16650,17800,Fri Mar 06 2015 02:00:00 GMT-0800 (PST)
401002,2014,Dodge,Journey,SXT,SUV,automatic,3c4pdcbb8et315528,ga,4.6,24482.0,white,black,easy car leasing llc dba brac of birmingham,16350,16300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401003,2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg0et143609,ga,3.8,49533.0,black,black,avis corporation,16100,15600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401004,2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabh4ez024327,ca,3.0,13464.0,—,gray,remarketing by ge/manheim riverside,12350,12750,Tue Mar 10 2015 05:00:00 GMT-0700 (PDT)
401005,2014,FIAT,500L,Easy,Wagon,automatic,zfbcfabhxez024784,ca,4.0,21304.0,black,gray,hertz corporation/gdp,11850,12600,Tue Mar 10 2015 05:30:00 GMT-0700 (PDT)
401006,2014,Dodge,Journey,SXT,SUV,automatic,3c4pddbg8et143597,mo,4.4,39789.0,silver,black,avis corporation,16350,16900,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
401007,2015,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnscckc4fr243024,fl,4.4,17785.0,black,black,enterprise veh exchange/rental,50400,49600,Fri Mar 06 2015 01:20:00 GMT-0800 (PST)
401008,2015,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnscckc4fr199574,fl,4.7,13423.0,—,tan,enterprise veh exchange/rental,51000,51000,Fri Mar 06 2015 01:20:00 GMT-0800 (PST)
401009,2015,Chevrolet,Malibu,LS,Sedan,automatic,1g11b5sl8ff241869,ga,5.0,150.0,black,gray,gm financial,16000,17500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401010,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew7eda10086,ga,3.5,11218.0,white,gray,u-haul,21200,21000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401011,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew0eda10091,ga,4.1,13732.0,white,gray,u-haul,21000,21200,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
401012,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew9eda10073,ga,2.8,11426.0,white,gray,u-haul,20100,19300,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
401013,2014,Ford,E-Series Van,E-250,E-Series Van,automatic,1ftne2ew9eda10090,ga,4.1,14030.0,white,gray,u-haul,21000,20700,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
