num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
403999,2012,Ford,Edge,SEL,SUV,automatic,2fmdk3jcxcba76474,ga,4.3,26605.0,gray,black,contemporary auto sales,20900,20900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404000,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0d70ckb57508,ga,4.3,56382.0,blue,black,contemporary auto sales,12650,13600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404001,2012,Ford,Explorer,Limited,SUV,automatic,1fmhk7f89cga11007,ga,4.6,25204.0,gray,gray,contemporary auto sales,27400,27600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404002,2012,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ct6cfa33946,ga,4.1,33055.0,white,gray,contemporary auto sales,23900,25400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404003,2012,Ford,Escape,XLT,SUV,automatic,1fmcu0dgxckb61453,pa,4.9,53966.0,silver,black,ari,13600,12900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404004,2012,Ford,F-150,Lariat,SuperCab,automatic,1ftfx1et5cfa23368,mo,4.7,36433.0,brown,beige,fred a groves motor company inc,28100,29100,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
404005,2012,Ford,F-150,XLT,SuperCab,automatic,1ftfx1ef6cfa90474,oh,2.8,36020.0,silver,gray,premium cars wholesale ltd,22600,21000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404006,2012,Ford,F-150,SVT Raptor,SuperCrew,automatic,1ftfw1r64cfb68960,mo,4.3,49627.0,red,black,fred a groves motor company inc,42800,42250,Wed Jul 01 2015 07:00:00 GMT-0700 (PDT)
404007,2012,Ford,F-150,Lariat,SuperCrew,automatic,1ftfw1ef9cfa47802,mo,5.0,74040.0,red,black,woodhouse ford inc,24900,28200,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
404008,2012,Ford,Flex,Limited,Wagon,automatic,2fmhk6dc0cbd16288,mo,4.4,20437.0,brown,black,jim butler auto plaza,27000,26200,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
404009,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0cg5cr238668,ma,3.0,78729.0,black,tan,lease plan usa,10200,10100,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404010,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha3cr304400,ma,3.4,57424.0,gray,tan,lease plan usa,10600,9900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404011,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha2cr201145,tx,3.5,54522.0,black,gray,wheels lt,11000,19700,Thu Mar 19 2015 04:00:00 GMT-0700 (PDT)
404012,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha9cr446489,ga,4.0,96623.0,blue,tan,munter motor cars,8025,8300,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404013,2012,Ford,Fusion,Hybrid,Sedan,automatic,3fadp0l38cr270851,il,4.9,33309.0,gray,gray,tdaf remarketing,14000,14500,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
404014,2012,GMC,Sierra 1500,Work Truck,Regular Cab,automatic,1gtn1tex2cz104144,ga,3.7,61843.0,white,black,xtreme automotive group inc,12450,14000,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404015,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f62ca093247,pa,2.1,25675.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",13050,11200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
404016,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f61ca157343,fl,3.9,32359.0,silver,black,jenkins hyundai,13700,14600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404017,2012,Honda,Accord,LX,Sedan,automatic,1hgcp2f36ca079308,nc,3.5,17048.0,gray,gray,t & k enterprises of mt airy inc,13350,13500,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404018,2012,Honda,Accord,EX,Sedan,automatic,1hgcp2f7xca116086,nc,3.0,18549.0,burgundy,tan,t & k enterprises of mt airy inc,14350,16000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404019,2014,Chevrolet,Silverado 1500,LT,Crew Cab,automatic,3gcukreh9eg371823,fl,1.0,11235.0,silver,black,dtag tra,28100,11000,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
404020,2012,Honda,CR-V,EX,SUV,automatic,jhlrm4h5xcc011340,nc,4.4,55282.0,blue,gray,t & k enterprises of mt airy inc,17450,18500,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404021,2012,Honda,CR-V,EX-L,SUV,automatic,jhlrm4h76cc024541,fl,3.5,15573.0,gray,gray,rick case honda,22800,22800,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
404022,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f58ce328846,pa,4.1,35995.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",11200,12200,Fri Mar 13 2015 02:00:00 GMT-0700 (PDT)
404023,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f56ce324052,nc,3.7,41396.0,gray,gray,t & k enterprises of mt airy inc,10800,11600,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404024,2012,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp3f88ca013599,nc,4.6,26593.0,white,beige,medlin buick gmc mazda,16600,18300,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
404025,2012,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl5h67cb012298,nc,2.9,39926.0,gray,brown,t & k enterprises of mt airy inc,22000,23000,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404026,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae2cu470468,ga,3.6,24210.0,blue,beige,fidelity bank,11300,10400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404027,2012,Honda,Pilot,LX,SUV,automatic,5fnyf4h28cb074478,pa,4.2,36101.0,black,gray,"ahfc/honda lease trust/hvt, inc.",10250,11200,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
404028,2012,Hyundai,Genesis Coupe,2.0T,Genesis Coupe,automatic,kmhht6kd6cu077512,fl,3.8,39994.0,silver,black,universal motors of miami inc,13550,14100,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
404029,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae3cu243676,oh,3.5,56906.0,silver,gray,superior toyota,9775,10500,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404030,2012,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad6cu077019,il,3.3,64866.0,blue,gray,tdaf remarketing,11350,11800,Tue Mar 10 2015 04:00:00 GMT-0700 (PDT)
404031,2012,Hyundai,Tucson,GLS,SUV,automatic,km8jucac6cu517962,fl,4.3,18148.0,black,gray,autonation ford sanford,16450,17600,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
404032,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac2ch386246,nc,3.3,65051.0,white,black,westfall auto sales,11750,12400,Tue Mar 10 2015 02:15:00 GMT-0700 (PDT)
404033,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag1cc213951,nc,3.7,40175.0,white,black,t & k enterprises of mt airy inc,22700,23600,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404034,2012,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfagxcc270326,oh,3.9,47715.0,black,black,wholesale inc # 2,21900,22600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404035,2012,Jeep,Liberty,Sport,SUV,automatic,1c4pjmak3cw209334,fl,3.3,65528.0,black,black,tdaf remarketing,13200,13200,Tue Mar 10 2015 02:00:00 GMT-0700 (PDT)
404036,2012,Jeep,Wrangler,Sport,SUV,automatic,1c4ajwag6cl126527,oh,4.9,28964.0,black,black,rick miller used cars & rvs,21200,21600,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404037,2012,Jeep,Wrangler,Sport,SUV,automatic,1c4ajwag4cl110567,nc,4.4,52723.0,black,gray,t & k enterprises of mt airy inc,19700,19300,Tue Mar 10 2015 03:00:00 GMT-0700 (PDT)
404038,2012,Jeep,Wrangler,Rubicon,SUV,automatic,1c4bjwcg1cl131474,ga,4.9,44303.0,blue,black,ed voyles chrysler jeep inc,25200,26100,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
404039,2012,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg3cl186734,ca,3.4,64745.0,white,black,the hertz corporation,21600,19000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
404040,2012,Kia,Optima,LX,Sedan,automatic,5xxgm4a7xcg075572,ma,4.0,34132.0,burgundy,tan,taunton fcu,12650,11900,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
