num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
404999,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab2ch414179,mn,4.1,30071.0,silver,gray,hyundai motor finance,14100,10800,Wed Mar 11 2015 03:30:00 GMT-0700 (PDT)
405000,2012,Kia,Soul,+,Wagon,automatic,kndjt2a65c7400108,mn,2.9,37740.0,green,black,kia motors finance,10550,9200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
405001,2011,Cadillac,DTS,Base,Sedan,automatic,1g6ka5e63bu141515,fl,4.3,47479.0,silver,gray,palm beach auto mall inc,12400,17400,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)
405002,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb0e7391251,il,4.0,19741.0,blue,black,gm remarketing,13650,13800,Thu Mar 19 2015 04:00:00 GMT-0700 (PDT)
405003,2009,Ford,Mustang,Deluxe,Convertible,automatic,1zvht84n095104256,mo,3.5,96534.0,silver,gray,tdaf remarketing,7750,7600,Tue Mar 10 2015 03:30:00 GMT-0700 (PDT)
405004,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e32e1127292,il,3.0,23066.0,silver,gray,gm remarketing,13500,13000,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
405005,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e34e1118531,il,3.0,20946.0,silver,gray,gm remarketing,13000,12900,Thu Apr 30 2015 04:00:00 GMT-0700 (PDT)
405006,2014,Chevrolet,Impala Limited,LT Fleet,Sedan,automatic,2g1wb5e39e1119674,il,2.0,20582.0,black,gray,gm remarketing,14000,14100,Thu Apr 30 2015 04:00:00 GMT-0700 (PDT)
405007,2006,Ford,F-150,King Ranch,SuperCrew,automatic,1ftpw14v36kd23125,ga,2.8,96979.0,brown,brown,"by the book auto brokers, inc.",15500,15750,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
405008,2004,Chevrolet,Malibu Maxx,LS,Hatchback,automatic,1g1zt62804f155499,pa,4.0,33649.0,beige,—,car sense,4100,6000,Wed Mar 11 2015 05:00:00 GMT-0700 (PDT)
405009,2004,Subaru,Impreza,WRX,Sedan,automatic,jf1gd29604h509590,co,2.2,78823.0,black,black,gaylord leasing company inc,8900,10400,Tue Mar 10 2015 05:00:00 GMT-0700 (PDT)
