num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
406999,2014,Ford,Fusion Hybrid,SE,Sedan,automatic,3fa6p0lu7er271669,fl,3.8,22848.0,—,black,ford motor credit company,19450,16500,Wed Apr 29 2015 03:00:00 GMT-0700 (PDT)
407000,2014,Ford,Fusion,SE,Sedan,automatic,1fa6p0h71e5389707,fl,4.2,30083.0,—,black,avis budget group,14300,13900,Wed Apr 29 2015 03:00:00 GMT-0700 (PDT)
407001,2015,Chevrolet,Malibu,LT,Sedan,automatic,1g11c5sl2fu103253,il,4.0,15500.0,silver,black,gm remarketing,16100,16300,Thu Jun 11 2015 04:00:00 GMT-0700 (PDT)
407002,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca6e1905129,pa,3.5,13666.0,white,gray,u-haul,19000,19000,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
407003,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca7e1905107,pa,3.3,24542.0,white,gray,u-haul,18700,18300,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
407004,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca1e1905880,pa,3.7,11668.0,white,gray,u-haul,19950,21200,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
407005,2014,Mercedes-Benz,CLS-Class,CLS550 4MATIC,Sedan,automatic,wddlj9bb3ea119486,nj,4.0,4395.0,black,black,mercedes-benz financial services,60000,52000,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
407006,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk4eu785513,tn,3.8,32339.0,—,gray,toyota financial services/avis budget group-open,14200,13600,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
407007,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk3eu423530,mn,3.7,14556.0,white,tan,toyota motor sales usa inc/program,15350,15200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
407008,2013,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c5xdt545677,nv,4.1,40120.0,silver,black,bmw mini financial services,12550,11750,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
407009,2015,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp7fl375496,sc,2.7,12462.0,white,gray,enterprise vehicle exchange / tra / rental / tulsa,10600,4400,Tue Jul 07 2015 06:10:00 GMT-0700 (PDT)
407010,2012,Honda,Accord,EX-L,Sedan,automatic,1hgcp2f80ca136646,pa,4.4,32770.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",15450,12800,Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)
407011,2012,Honda,Civic,Hybrid,Sedan,automatic,jhmfb4f22cs010105,pa,3.1,32687.0,—,gray,"ahfc/honda lease trust/hvt, inc. eot",13300,16900,Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)
407012,2012,Honda,Civic,EX,Sedan,automatic,19xfb2f85ce341709,pa,3.0,33917.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",12500,15500,Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)
407013,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f50ce347522,pa,4.3,33439.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",11300,13200,Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)
407014,2012,Honda,Civic,LX,Sedan,automatic,19xfb2f5xce358320,pa,3.8,24198.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",11650,13800,Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)
407015,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac1ch352833,tn,4.7,48362.0,burgundy,tan,wholesale inc # 2,14250,15200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
407016,2012,MINI,Cooper,Base,Hatchback,automatic,wmwsu3c56ct262174,nv,3.9,13400.0,brown,black,bmw mini financial services,12850,12000,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
407017,2012,MINI,Cooper,Base,Hatchback,manual,wmwsu3c50ct185771,nv,3.9,35265.0,green,black,bmw mini financial services,11400,11000,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
407018,2012,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb1ca652305,fl,2.9,20665.0,gray,off-white,mercedes-benz financial services,28300,24200,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
407019,2012,Nissan,Murano,S,SUV,automatic,jn8az1mu1cw104595,ca,4.3,41770.0,black,black,walters auto sales/service inc,15650,8750,Tue Apr 14 2015 05:30:00 GMT-0700 (PDT)
