num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
407999,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgdf7ce3da224875,ut,4.1,41650.0,white,black,the hertz corporation,40500,40750,Wed May 27 2015 04:30:00 GMT-0700 (PDT)
408000,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap9dc813244,fl,2.8,57008.0,gray,black,the hertz corporation,13400,12100,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
408001,2013,Toyota,Corolla,LE,Sedan,automatic,5yfbu4eexdp135748,az,2.7,50636.0,silver,gray,the hertz corporation,10450,10200,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
408002,2012,Acura,TSX,Base,Sedan,automatic,jh4cu2f41cc014384,ga,2.4,40339.0,black,black,nalley acura,15400,14400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
408003,2012,BMW,5 Series,528i,Sedan,automatic,wbaxg5c55cdw85492,ga,4.5,27110.0,white,brown,nalley bmw,27900,28400,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
408004,2015,Kia,Soul,+,Wagon,automatic,kndjp3a57f7118817,pa,2.7,12509.0,yellow,black,general american rentals,13800,11900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
408005,2012,Chevrolet,Impala,LT Fleet,Sedan,automatic,2g1wg5e32c1203818,ma,2.5,71224.0,black,black,remarketing by ge/manheim new england,8525,6300,Thu Jun 11 2015 11:30:00 GMT-0700 (PDT)
408006,2012,Chrysler,300,Base,Sedan,automatic,2c3ccaag7ch224974,pa,4.3,45204.0,gray,black,fleet street remarketing llc,14800,15000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
408007,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u61f1165333,az,3.4,31579.0,red,gray,avis corporation,15600,15200,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
408008,2015,Mazda,Mazda6,i Sport,Sedan,automatic,jm1gj1u68f1166284,az,4.0,30343.0,white,beige,avis corporation,15700,15400,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
408009,2012,Ford,Fusion,SEL,Sedan,automatic,3fahp0ja3cr334023,tx,2.7,60712.0,silver,black,the hertz corporation,10750,7500,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
408010,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae5ch140807,mn,2.6,88476.0,black,gray,hyundai motor finance,8075,5800,Tue Jun 09 2015 07:00:00 GMT-0700 (PDT)
408011,2014,BMW,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c50ed129523,az,3.8,12282.0,white,black,the hertz corporation,62000,61000,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
