num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
408999,2012,Ford,Explorer,XLT,SUV,automatic,1fmhk8d85cgb03577,ne,3.0,81887.0,brown,tan,ari,18400,17500,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
409000,2012,Ford,Fiesta,SE,Hatchback,automatic,3fadp4ej4cm151162,ca,4.2,134609.0,white,beige,symbolic motor cars,5250,5500,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
409001,2012,Ford,Fusion,SE,Sedan,automatic,3fahp0ha1cr262972,fl,2.8,144225.0,—,gray,mike albert fleet solutions,6500,5700,Wed Jun 17 2015 08:10:00 GMT-0700 (PDT)
409002,2014,Audi,A4,2.0T Premium quattro,Sedan,automatic,waubfaflxen035019,ca,4.6,5173.0,black,black,vci/audi of downtown la,28700,27000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
409003,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb3f1309749,tx,4.2,34667.0,silver,black,avis corporation,20800,20000,Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)
409004,2012,GMC,Sierra 2500HD,SLE,Crew Cab,automatic,1gt120c83cf214109,ut,2.9,141531.0,white,black,auto focus inc,27600,22100,Wed May 20 2015 04:30:00 GMT-0700 (PDT)
409005,2012,Honda,Civic,EX-L,Sedan,automatic,2hgfb2f95ch512800,ma,2.5,46768.0,black,gray,boch toyota/scion south,12100,10900,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
409006,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7ch096230,tx,2.1,73930.0,black,beige,hyundai motor finance,9275,7000,Wed Apr 29 2015 03:30:00 GMT-0700 (PDT)
409007,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae3cu358259,ga,4.8,24386.0,gray,gray,hyundai motor finance,11700,11000,Thu Apr 23 2015 03:00:00 GMT-0700 (PDT)
409008,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae3cu408562,tx,4.1,31200.0,gray,gray,hyundai motor finance,10350,10900,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
409009,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3ch074001,tx,3.5,38892.0,blue,gray,hyundai motor finance,9975,9500,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
409010,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0ch140567,ga,4.3,12058.0,blue,gray,hyundai motor finance,11550,11500,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
409011,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae3cu369326,ga,4.0,13469.0,gray,gray,hyundai motor finance,11500,11400,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
409012,2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a43ca029489,ga,4.2,35026.0,silver,gray,hyundai motor finance,13250,12800,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
409013,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac2ch431377,ga,3.0,15876.0,blue,gray,hyundai motor finance,16500,15500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
409014,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4abxch407951,ga,3.6,60500.0,silver,gray,hyundai motor finance,11850,12000,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
409015,2012,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac8ch430816,ga,4.6,24842.0,red,tan,hyundai motor finance,16100,15600,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
409016,2012,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a40ca022161,ga,5.0,37078.0,white,gray,hyundai motor finance,13250,13000,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT)
