num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
410999,2013,Mazda,Mazda2,Touring,Hatchback,automatic,jm1de1lyxd0160774,mi,3.5,61207.0,silver,black,the hertz corporation,8200,5900,Thu Apr 30 2015 02:30:00 GMT-0700 (PDT)
411000,2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,automatic,4jgdf7ce5da199252,wa,3.7,44027.0,silver,black,the hertz corporation,39500,38500,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT)
411001,2013,Mitsubishi,Outlander,SE,SUV,automatic,ja4jt3aw2du020940,il,3.3,40862.0,silver,gray,avis corporation,13900,13900,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
411002,2013,Nissan,Altima,2.5,Sedan,automatic,1n4al3ap9dn538882,fl,3.5,53261.0,red,black,the hertz corporation,11100,11500,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
411003,2015,Nissan,Versa,1.6 SL,Sedan,automatic,3n1cn7apxfl846475,ca,4.7,1991.0,gray,black,mossy nissan oceanside,11350,11500,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
411004,2015,Nissan,Versa,1.6 SL,Sedan,automatic,3n1cn7ap9fl867902,ca,4.9,2014.0,silver,black,mossy nissan oceanside,11050,11300,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
411005,2015,Nissan,Versa,1.6 SL,Sedan,automatic,3n1cn7ap1fl834070,ca,4.9,3151.0,blue,black,mossy nissan oceanside,11950,12300,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
411006,2013,Nissan,Leaf,SL,Hatchback,automatic,1n4az0cp7dc402899,tx,4.0,27874.0,white,black,nissan-infiniti lt,10550,10000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
411007,2013,Nissan,Rogue,SV,SUV,automatic,jn8as5mt5dw522159,ca,3.1,62036.0,black,black,the hertz corporation,11800,11500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
411008,2013,Subaru,Legacy,2.5i,Sedan,automatic,4s3bmca65d3035803,oh,3.7,67329.0,gray,black,lease plan usa,11800,11700,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
411009,2013,Toyota,Corolla,L,Sedan,automatic,jtdbu4ee5dj119672,ga,4.1,40256.0,white,beige,world omni financial corporation,10600,10800,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
411010,2013,Toyota,Corolla,S,Sedan,automatic,5yfbu4ee0dp108767,ca,2.6,60156.0,silver,black,the hertz corporation,11050,11700,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
411011,2013,Volvo,XC60,T6,SUV,automatic,yv4902dz1d2387886,co,4.3,40808.0,red,black,volvo na company cars/world omni,24100,26000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
411012,2013,Volvo,S60,T5,Sedan,automatic,yv1612fs4d1215337,pa,4.2,33982.0,purple,beige,volvo car financial service/world omni,15950,15500,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
411013,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb4f2310385,pa,4.3,12014.0,black,black,volvo na rep/world omni,22900,22900,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
411014,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb9f2315338,pa,4.4,14632.0,gray,black,volvo na rep/world omni,22700,22700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
411015,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb4f1314538,pa,4.3,8295.0,gray,black,volvo na rep/world omni,23400,22700,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
411016,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb5f2310377,pa,4.1,14279.0,black,—,volvo na rep/world omni,22600,22700,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
411017,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb8f2310468,pa,4.3,13079.0,silver,black,volvo na rep/world omni,22800,22700,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
411018,2015,Volvo,S60,T5,Sedan,automatic,yv1612tb3f2316001,pa,4.1,11492.0,—,beige,volvo na rep/world omni,24100,24000,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
411019,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb5f1314838,pa,4.1,16835.0,white,beige,volvo na rep/world omni,22500,22700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
411020,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb1f2310375,pa,4.2,12110.0,black,black,volvo na rep/world omni,23000,22700,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
411021,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb0f1312298,pa,3.9,11019.0,white,beige,volvo na rep/world omni,22900,22700,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
411022,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb5f1314824,pa,4.2,14814.0,silver,black,volvo na rep/world omni,22800,22700,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
411023,2015,Volvo,S60,T5 Drive-E,Sedan,automatic,yv140mfb9f1315703,pa,3.9,14095.0,gray,black,volvo na rep/world omni,22800,22700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
411024,2012,Ford,Altima,Base,Sedan,automatic,wbakc8c55cc435571,wi,3.9,29997.0,black,beige,cat wholesale llc,39900,38750,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
411025,2012,Chevrolet,Traverse,LTZ,SUV,automatic,1gnkvled0cj283884,ca,2.5,40635.0,blue,beige,the hertz corporation,22800,20100,Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)
411026,2012,Dodge,Avenger,SE,Sedan,automatic,1c3cdzabxcn194103,il,2.1,82986.0,gray,black,go financial,7475,7000,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
411027,2012,Ford,F-150,SVT Raptor,SuperCrew,automatic,1ftfw1r64cfc57069,ne,4.2,25125.0,black,black,galyen leasing inc,45000,45800,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
411028,2014,BMW,5 Series,528i,Sedan,automatic,wba5a5c58ed505109,fl,3.6,29612.0,silver,black,avis corporation,30600,31200,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
411029,2014,BMW,M5,Base,Sedan,automatic,wbsfv9c51ed593139,ca,4.3,11098.0,white,black,the hertz corporation,75000,73100,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
411030,2012,GMC,Yukon,SLT,SUV,automatic,1gks2ce01cr132668,tx,2.6,58803.0,white,black,santander consumer,26900,24750,Thu Jun 18 2015 03:30:00 GMT-0700 (PDT)
411031,2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkvred3cj354673,ca,3.4,58941.0,white,beige,the hertz corporation,22200,21400,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
411032,2012,Honda,Crosstour,EX-L,Hatchback,automatic,5j6tf3h54cl007012,tx,3.6,27484.0,white,tan,bank of the west,17150,13100,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
411033,2012,Mercedes-Benz,CL-Class,CL550 4MATIC,Coupe,automatic,wddej9eb4ca028342,ga,3.6,33665.0,—,gray,pye auto sales,51100,44250,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
411034,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cn465833,ca,3.1,46621.0,black,black,the hertz corporation,10800,10500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
411035,2012,Nissan,Leaf,SL,Hatchback,automatic,jn1az0cp5ct017109,tn,2.9,29791.0,—,gray,meridian remarketing,7425,6800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
411036,2012,Nissan,Juke,SL,Hatchback,automatic,jn8af5mv4ct120008,tx,2.1,33222.0,black,black,nissan-infiniti lt,16200,14400,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
411037,2012,Nissan,Altima,2.5,Sedan,automatic,1n4al2ap9cc188481,tx,4.3,38318.0,silver,black,nissan-infiniti lt,11450,12200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
411038,2012,Nissan,Murano,S,SUV,automatic,jn8az1mu2cw103147,tx,3.1,22568.0,gray,black,nissan-infiniti lt,15950,15400,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
411039,2012,Nissan,Rogue,SV,SUV,automatic,jn8as5mv9cw709078,tx,3.7,32430.0,silver,black,nissan-infiniti lt,15300,12400,Wed Apr 29 2015 03:30:00 GMT-0700 (PDT)
411040,2012,Ram,2500,SLT,Crew Cab,automatic,3c6ud5dl6cg269134,tx,2.8,72620.0,white,black,barco rent a truck,29800,28300,Tue Apr 28 2015 03:00:00 GMT-0700 (PDT)
411041,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0cu017699,il,3.5,8052.0,green,gray,world omni financial corporation,13500,13200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
411042,2012,Toyota,Highlander,Base,SUV,automatic,5tdza3eh4cs018832,ga,4.4,33215.0,blue,beige,world omni financial corporation,21100,21800,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
411043,2011,Audi,Q5,2.0T Premium quattro,SUV,automatic,wa1cfafp9ba090083,fl,4.2,95653.0,gray,gray,kly international llc,16050,16300,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
411044,2011,Chrysler,200,Touring,Sedan,automatic,1c3bc1fb7bn560753,ca,2.5,41409.0,white,beige,wells fargo dealer services,10050,9900,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
