num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
411999,2010,Toyota,Matrix,S,Hatchback,automatic,2t1ke4ee2ac044689,sc,3.0,126957.0,blue,black,ricks auto marketing center south,4075,5400,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
412000,2009,Chrysler,300,Touring,Sedan,automatic,2c3ka53v59h631513,tx,3.5,63190.0,silver,black,meridian remarketing,9700,9200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
412001,2009,Ford,Fusion,SEL,Sedan,automatic,3fahp08z39r186296,pa,1.8,108131.0,silver,tan,fiserv/citizens auto finance,5950,2200,Fri May 01 2015 02:00:00 GMT-0700 (PDT)
412002,2009,Volkswagen,Routan,S,Minivan,automatic,2v8hw34149r501101,ca,2.2,99565.0,gray,gray,tdaf remarketing,6100,4300,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
412003,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sbxe7182986,fl,4.0,35306.0,silver,black,avis corporation,12600,12500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
412004,2008,Ford,F-250 Super Duty,XLT,Crew Cab,automatic,1ftsw20r28ee20746,mi,2.6,76467.0,white,tan,grace motors,16900,16500,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
412005,2008,Ford,Focus,SE,Coupe,manual,1fahp33n28w175176,ut,3.0,104559.0,black,black,afs acceptance llc,4575,1400,Wed Jun 03 2015 04:30:00 GMT-0700 (PDT)
412006,2008,GMC,Envoy,SLE,SUV,automatic,1gkdt13s782107045,co,2.7,81577.0,white,gray,"jpmorgan chase bank,n.a.",9250,9400,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
412007,2008,Jeep,Wrangler,Unlimited X,SUV,manual,1j4ga39128l653281,sc,2.3,92304.0,white,gray,primeritus remarketing/farm bureau,16250,14000,Thu Apr 30 2015 02:30:00 GMT-0700 (PDT)
412008,2008,Mercury,Mountaineer,Base,SUV,automatic,4m2eu47e88uj08528,oh,2.8,102180.0,silver,tan,sullivan auto group llc,6000,7000,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
412009,2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb7e7121675,fl,3.7,44211.0,black,tan,avis corporation,12200,12000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
412010,2007,Chevrolet,Impala,LS,Sedan,automatic,2g1wb58k879268276,pa,4.1,70111.0,beige,beige,fiserv/sierra auto finance,5775,2900,Fri May 01 2015 02:00:00 GMT-0700 (PDT)
412011,2007,Dodge,Charger,Base,Sedan,automatic,2b3ka43r77h678971,tx,3.3,80398.0,gray,black,lone star ford,7050,4200,Thu Apr 30 2015 03:30:00 GMT-0700 (PDT)
412012,2006,Ford,Altima,Base,Sedan,automatic,1g1yy26u565115246,tx,4.8,78320.0,silver,black,wheels & deals,21900,20500,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
412013,2006,Volkswagen,Jetta,Value Edition,Sedan,manual,3vwpf71kx6m791100,sc,1.9,124146.0,gray,gray,primeritus remarketing/bwk of columbia,2500,2000,Thu May 21 2015 03:15:00 GMT-0700 (PDT)
412014,2005,Chevrolet,Monte Carlo,LT,Coupe,automatic,2g1wx15k459134845,fl,2.5,113629.0,black,black,hertz remarketing,3450,1200,Tue May 05 2015 11:00:00 GMT-0700 (PDT)
412015,2005,Dodge,Caravan,SXT,Minivan,automatic,1d4gp45r85b174437,oh,1.9,182637.0,silver,gray,enterprise vehicle exchange/sharonville,1050,500,Thu Apr 30 2015 03:30:00 GMT-0700 (PDT)
