num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
414999,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6dh170433,mn,3.9,34881.0,blue,tan,hyundai motor finance,10500,10700,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415000,2013,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35lexdu071293,mn,4.1,21839.0,gray,black,hyundai motor finance,12350,12700,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
415001,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae1du522500,mn,4.2,43201.0,blue,gray,hyundai motor finance,10000,10000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415002,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4aexdh333553,in,3.4,48763.0,black,tan,avis corporation,9775,9800,Thu May 28 2015 03:10:00 GMT-0700 (PDT)
415003,2013,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35le0du058536,mn,4.1,11358.0,black,black,hyundai motor finance,13200,13200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415004,2013,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35le7du079884,mn,4.3,8994.0,black,gray,hyundai motor finance,13300,12800,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415005,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd7du240702,mn,4.4,18465.0,black,brown,hyundai motor finance,19550,20700,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415006,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac2dh604140,mn,4.2,31905.0,black,gray,hyundai motor finance,15450,15200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
415007,2013,Kia,Rio,LX,Sedan,automatic,knadm4a34d6282844,mn,2.9,29462.0,white,gray,kia motors finance,8950,8600,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
415008,2015,Lexus,IS 250,Base,Sedan,automatic,jthbf1d29f5067425,fl,4.9,855.0,white,beige,sossa pre owned,34600,32500,Tue May 19 2015 02:30:00 GMT-0700 (PDT)
415009,2013,Nissan,Armada,SV,SUV,automatic,5n1aa0nc3dn609091,oh,2.9,44121.0,gray,black,the hertz corporation,23500,23201,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
415010,2013,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap9dc836295,oh,3.4,52776.0,silver,black,the hertz corporation,13900,13401,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
415011,2012,BMW,3 Series,328i,Sedan,automatic,wba3a5g59cnp15629,fl,3.7,54313.0,white,beige,germain bmw of naples,20300,20700,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
415012,2012,BMW,3 Series,328i,Coupe,automatic,wbake3c57ce770588,fl,4.2,39023.0,black,black,fields bmw,19800,19900,Tue May 26 2015 02:00:00 GMT-0700 (PDT)
415013,2012,BMW,5 Series,535i,Sedan,automatic,wbafr7c56cc811723,fl,3.8,33004.0,gray,beige,germain bmw of naples,29900,28000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
415014,2012,Ford,Focus,SE,Sedan,automatic,1fahp3f29cl175736,oh,2.9,66548.0,white,black,dt inventory,8200,6000,Thu May 07 2015 02:00:00 GMT-0700 (PDT)
415015,2012,Ford,Transit Connect,Cargo Van XLT,Minivan,automatic,nm0ls6bn2ct089041,fl,2.9,15078.0,white,gray,the bancorp bank,16800,15200,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
415016,2012,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae6ch143912,mn,3.5,18469.0,black,tan,hyundai motor finance,10850,11000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
415017,2012,Hyundai,Accent,GS,Hatchback,automatic,kmhct5ae9cu039741,mn,4.1,44890.0,—,black,hyundai motor finance,8025,8700,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
415018,2012,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae0cu314901,mn,2.6,28619.0,blue,tan,hyundai motor finance,10350,9700,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
