num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
416999,2001,Saturn,L-Series,L200,Sedan,automatic,1g8ju52f81y584670,md,2.0,111045.0,silver,gray,liberty ford,1225,225,Tue May 12 2015 06:00:00 GMT-0700 (PDT)
417000,2000,Chevrolet,Blazer,LS,SUV,automatic,1gndt13w8y2165915,in,2.0,159534.0,silver,gray,world class motors llc,1075,300,Wed May 06 2015 06:00:00 GMT-0700 (PDT)
417001,1998,Lexus,ES 300,Base,Sedan,automatic,jt8bf28gxw5021968,fl,2.0,214200.0,gold,beige,coggin toyota at the avenues,975,600,Thu May 07 2015 06:00:00 GMT-0700 (PDT)
417002,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg3er477242,pa,4.0,20265.0,gold,black,enterprise holdings/gdp,16900,17300,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
417003,2014,Ford,Edge,SEL,SUV,automatic,2fmdk4jc7eba66171,mi,4.3,25873.0,gray,black,stratford hyundai,21700,20900,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
417004,2014,Ford,Explorer,Limited,SUV,automatic,1fm5k8f8xega92496,pa,3.7,39739.0,silver,tan,apple ford inc,26000,25500,Fri May 22 2015 02:30:00 GMT-0700 (PDT)
417005,2014,Ford,Explorer,XLT,SUV,automatic,1fm5k8d86egc28139,pa,5.0,12716.0,white,beige,ge fleet services for itself/servicer,29600,28700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
417006,2015,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnskckc7fr206584,ga,3.8,26629.0,black,black,avis corporation,51700,52700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
417007,2014,Ford,Focus,SE,Sedan,automatic,1fadp3f28el307208,ca,4.2,34529.0,white,black,ford motor credit company,10600,9500,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
417008,2014,Ford,Fusion Energi,Titanium,Sedan,automatic,3fa6p0su7er125631,pa,4.1,9153.0,red,black,ford-lincoln dealer program,25000,23200,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
417009,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em3e5232355,il,3.6,17263.0,red,beige,ford-lincoln dealer program,22000,21500,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
417010,2014,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae3eh543347,fl,4.9,3289.0,black,gray,hyundai motor finance,13200,13600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
417011,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac9eh887365,ga,4.6,35800.0,white,gray,avis corporation,12550,12800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
417012,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6eh938742,fl,2.8,12062.0,white,beige,hyundai motor finance,14300,13700,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
417013,2014,Infiniti,Q70,Base,Sedan,automatic,jn1by1ap1em260459,ga,3.7,26672.0,white,black,avis corporation,32800,30500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
417014,2014,Infiniti,Q60 Convertible,IPL,Q60 Convertible,automatic,jn1cv6fe4em901640,tn,4.4,23596.0,—,black,nissan north america inc.,36200,35000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
417015,2014,Infiniti,Q60 Convertible,Base,Q60 Convertible,automatic,jn1cv6fe7em902037,tn,5.0,10149.0,black,black,nissan north america inc.,36500,36200,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
417016,2014,Infiniti,Q70,Base,Sedan,automatic,jn1by1arxem320014,pa,3.9,29546.0,black,black,avis corporation,29900,29800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
417017,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjmcs8ew232401,ga,3.5,36890.0,black,black,avis corporation,19350,18900,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
417018,2014,Jeep,Compass,Latitude,SUV,automatic,1c4njdeb2ed520740,mi,4.8,25217.0,red,black,kevins marysville auto sales inc,17250,18000,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
417019,2014,Infiniti,QX60,Base,SUV,automatic,5n1al0mm7ec521243,ga,4.4,29275.0,silver,black,avis corporation,30900,31100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
417020,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjmcs2ew232457,ga,4.3,33914.0,gray,black,avis corporation,19850,19600,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
417021,2014,Infiniti,QX80,Base,SUV,automatic,jn8az2nd3e9751098,tn,5.0,12625.0,black,beige,nissan north america inc.,56500,56400,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
417022,2014,Kia,Forte,EX,Sedan,automatic,knafx4a86e5081370,fl,4.3,6626.0,black,gray,kia motors finance,13200,12900,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
417023,2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a78eg326351,oh,4.8,14700.0,silver,beige,"kia motors america, inc",14800,14500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
417024,2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a7xeg341398,oh,4.3,13890.0,gray,gray,"kia motors america, inc",14900,14300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
