num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
417999,2014,Kia,Sorento,LX,SUV,automatic,5xyktca66eg505711,co,3.8,55677.0,white,beige,the hertz corporation,14500,14000,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418000,2014,Kia,Sorento,LX,SUV,automatic,5xyktca64eg447047,co,4.3,41465.0,white,beige,the hertz corporation,16050,15300,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418001,2014,Kia,Sorento,LX,SUV,automatic,5xyktca64eg446304,co,2.8,47737.0,gray,gray,the hertz corporation,15350,14500,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418002,2014,Kia,Sorento,LX,SUV,automatic,5xyktca65eg476492,co,3.5,47246.0,black,black,the hertz corporation,14850,14400,Wed Jun 10 2015 04:45:00 GMT-0700 (PDT)
418003,2014,Kia,Sorento,LX,SUV,automatic,5xyktca64eg475981,co,4.3,39721.0,black,black,the hertz corporation,16250,15500,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418004,2014,Kia,Optima,LX,Sedan,automatic,5xxgm4a71eg331908,mo,4.1,32303.0,—,tan,avis corporation,13500,13500,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
418005,2014,Kia,Sorento,LX,SUV,automatic,5xyktca64eg476452,co,4.3,44438.0,silver,black,the hertz corporation,15700,14800,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418006,2014,Kia,Sorento,LX,SUV,automatic,5xyktca69eg496650,co,4.1,48941.0,gray,black,the hertz corporation,15200,14700,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418007,2014,Kia,Sorento,LX,SUV,automatic,5xyktca61eg448222,co,4.4,51286.0,white,black,the hertz corporation,14950,14400,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418008,2014,Kia,Soul,+,Wagon,automatic,kndjp3a52e7713766,ga,2.0,31401.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,13200,8800,Thu May 07 2015 05:30:00 GMT-0700 (PDT)
418009,2015,Chrysler,200,Limited,Sedan,automatic,1c3cccab8fn502731,ca,2.7,5866.0,black,black,first investors servicing corp,15750,13300,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
418010,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dkxeg608192,tx,4.4,33934.0,—,tan,avis budget group,22800,22400,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
418011,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ft1eg604683,il,4.6,29086.0,brown,brown,ford motor credit company,26500,27000,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
418012,2014,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek6eg605532,il,4.5,14452.0,brown,tan,ford motor credit company,27700,27800,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
418013,2014,Lincoln,MKZ,Base,Sedan,automatic,3ln6l2jk5er800597,mi,2.4,14091.0,gray,black,"ford motor credit company,llc",30300,27000,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
418014,2014,Mazda,CX-5,Sport,SUV,manual,jm3ke2be3e0416136,nv,3.9,15128.0,gray,black,"jpmorgan chase bank,n.a.",17800,17000,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
418015,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap7en356860,ga,2.0,36927.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,13350,9600,Thu May 07 2015 05:30:00 GMT-0700 (PDT)
418016,2014,Nissan,Versa Note,1.6 SV,Hatchback,automatic,3n1ce2cp1el392325,ca,3.9,37167.0,silver,—,avis corporation,9175,9600,Tue May 19 2015 05:45:00 GMT-0700 (PDT)
418017,2014,Subaru,Impreza,2.0i PZEV,Sedan,automatic,jf1gjaa67eh007515,ga,2.9,9482.0,white,beige,"jpmorgan chase bank,n.a.",16800,15200,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
418018,2014,Subaru,Impreza,2.0i Sport Premium PZEV,Hatchback,automatic,jf1gpal62e8247924,tn,3.3,23060.0,white,gray,santander consumer,17850,16100,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
418019,2015,Ford,Explorer,Limited,SUV,automatic,1fm5k7f89fga20796,tn,4.7,26497.0,gray,gray,ars/enterprise,29500,29200,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
418020,2015,Ford,Escape,Titanium,SUV,automatic,1fmcu9jx5fua54506,mo,4.1,19471.0,black,black,kc landsmen ars,24400,23700,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
418021,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk7eu430884,nv,4.0,23524.0,silver,gray,toyota motor sales usa inc/program,14850,14500,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
418022,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk5eu835240,nv,3.8,26034.0,red,gray,toyota motor sales usa inc/program,14750,14200,Fri May 15 2015 05:00:00 GMT-0700 (PDT)
418023,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk8eu419294,nv,3.9,24152.0,silver,gray,toyota motor sales usa inc/program,14800,14400,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
418024,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk5eu419186,nv,4.1,23041.0,white,gray,toyota motor sales usa inc/program,14750,14300,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418025,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk9eu420826,nv,3.7,24023.0,silver,gray,toyota motor sales usa inc/program,14700,14400,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418026,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk2eu427181,nv,3.5,24504.0,silver,gray,toyota motor sales usa inc/program,14650,14200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418027,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk5eu358731,fl,4.0,19239.0,black,gray,world omni financial corporation,15050,15100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
418028,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk2eu425737,nv,3.5,27615.0,beige,beige,toyota motor sales usa inc/program,14450,14200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418029,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fkxeu425663,nv,3.9,24173.0,gray,gray,toyota motor sales usa inc/program,14800,14400,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
418030,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk1eu419184,nv,3.6,24945.0,silver,gray,toyota motor sales usa inc/program,14650,14300,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418031,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fkxeu828526,nv,3.8,13759.0,red,beige,toyota motor sales usa inc/program,15400,15300,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418032,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk8eu423796,nv,3.9,24392.0,silver,gray,toyota motor sales usa inc/program,14700,14300,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
418033,2014,Volkswagen,CC,R-Line PZEV,Sedan,automatic,wvwbp7an8ee526278,mo,3.7,31757.0,white,black,avis corporation,19950,19500,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
418034,2014,Volkswagen,Jetta,SE PZEV,Sedan,automatic,3vwd17ajxem417674,ca,3.7,29440.0,blue,black,avis corporation,11900,11800,Tue May 19 2015 05:45:00 GMT-0700 (PDT)
418035,2014,Volkswagen,Passat,Wolfsburg Edition PZEV,Sedan,automatic,1vwat7a3xec044443,ca,4.1,32708.0,blue,black,avis corporation,13100,13000,Tue Jun 16 2015 05:45:00 GMT-0700 (PDT)
418036,2013,BMW,3 Series,328i xDrive,Sedan,automatic,wba3b5c51df597784,wa,4.4,35860.0,silver,—,financial services remarketing (lease),26900,25500,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
418037,2013,BMW,5 Series,528i,Sedan,automatic,wbaxg5c59ddy31281,ca,2.7,41399.0,gray,black,financial services remarketing (lease),26300,24750,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
418038,2013,BMW,5 Series,535i,Sedan,automatic,wbafr7c5xdc821544,ca,2.7,42955.0,black,gray,financial services remarketing (lease),31700,28500,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
418039,2013,BMW,3 Series,328i xDrive,Sedan,automatic,wba3b3c55df531663,wa,3.5,28275.0,white,black,financial services remarketing (lease),25700,24100,Wed May 13 2015 05:50:00 GMT-0700 (PDT)
418040,2013,Buick,Regal,Premium 1,Sedan,automatic,2g4gs5erxd9220931,co,3.7,39644.0,white,black,the hertz corporation,13000,13700,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418041,2013,Chevrolet,Captiva Sport,LS Fleet,SUV,automatic,3gnal2ek3ds596700,co,3.7,49839.0,white,black,the hertz corporation,12150,11800,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
418042,2013,Cadillac,ATS,Luxury,Sedan,automatic,1g6ab5r31d0118155,tn,3.4,36556.0,—,black,ford-lincoln dealer program,20700,21900,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
418043,2013,Chevrolet,Silverado 1500,LT,Extended Cab,automatic,1gcrkse78dz247979,pa,4.1,51802.0,brown,black,acme autos international,24200,8300,Fri May 08 2015 02:30:00 GMT-0700 (PDT)
