num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
418999,2012,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap8cm811983,fl,2.9,32100.0,gray,black,nissan infiniti lt,16750,16200,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
419000,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ekxcm423860,fl,3.5,23840.0,gray,beige,nissan infiniti lt,21900,20400,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
419001,2012,Infiniti,EX,EX35,SUV,automatic,jn1aj0hr2cm450592,fl,2.9,29123.0,gray,black,nissan infiniti lt,23800,22000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
419002,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm932479,fl,4.8,30345.0,black,beige,nissan infiniti lt,18950,20000,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419003,2012,Infiniti,EX,EX35,SUV,automatic,jn1aj0hp5cm400025,ca,2.6,33028.0,black,black,nissan infiniti lt,23800,20500,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
419004,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm622723,fl,3.4,40898.0,gray,black,nissan infiniti lt,21000,18400,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419005,2012,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el7cm470983,il,4.4,14554.0,black,black,nissan infiniti lt,24100,21800,Tue May 12 2015 03:00:00 GMT-0700 (PDT)
419006,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm626608,fl,3.5,40239.0,gray,black,nissan infiniti lt,18100,17200,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419007,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1cm672468,fl,3.3,59706.0,gray,beige,nissan infiniti lt,16600,16000,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
419008,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm626498,fl,3.7,43695.0,gray,beige,nissan infiniti lt,17800,17800,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419009,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm934265,ca,4.1,59205.0,gray,black,nissan dealer blend/infiniti of montclair,16350,16000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
419010,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek9cm422120,fl,4.3,38684.0,gray,black,nissan infiniti lt,21000,19400,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419011,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek5cm422048,fl,4.4,44248.0,gray,black,nissan infiniti lt,20600,20600,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
419012,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm936036,fl,2.8,35484.0,white,black,nissan infiniti lt,19300,16200,Wed May 20 2015 02:40:00 GMT-0700 (PDT)
419013,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm931739,fl,4.3,37079.0,black,black,nissan infiniti lt,18550,18800,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
419014,2012,Infiniti,M,M37,Sedan,automatic,jn1by1ap2cm335179,ca,2.1,24736.0,—,black,nissan infiniti lt,25000,21000,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
419015,2012,Jeep,Wrangler,Rubicon,SUV,automatic,1c4bjwcg4cl215367,il,4.7,17942.0,black,black,chrysler capital,28600,29800,Tue Jun 09 2015 03:00:00 GMT-0700 (PDT)
419016,2012,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1uf6c1516219,il,2.9,60775.0,gray,gray,the hertz corporation,8350,7900,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
419017,2012,Mercedes-Benz,C-Class,C250,Coupe,automatic,wddgj4hb3cf784478,nj,2.1,27274.0,red,black,santander consumer,22000,19800,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
