num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
419999,2012,Infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek1cm421673,pa,4.0,14785.0,gray,black,nissan infiniti lt,22800,22000,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
420000,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9cm624926,pa,4.0,25980.0,gray,black,nissan infiniti lt,19500,19400,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
420001,2012,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab1ch500311,oh,4.0,39056.0,white,black,hyundai motor finance,12550,12600,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
420002,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm931258,tx,4.8,18520.0,white,gray,nissan infiniti lt,20000,21000,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
420003,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxcm970307,tx,4.4,28246.0,black,black,nissan infiniti lt,19500,18400,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
420004,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm935796,tx,4.7,28802.0,white,gray,nissan infiniti lt,18850,19200,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
420005,2012,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6el8cm472578,pa,4.7,20043.0,red,black,nissan infiniti lt,23100,24200,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
420006,2012,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm623483,tx,4.8,31213.0,gray,black,nissan infiniti lt,18650,19600,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
420007,2012,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4cm971694,pa,4.6,26691.0,black,black,nissan infiniti lt,19600,22600,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
420008,2015,Volvo,S60,T5,Sedan,automatic,yv1612tb4f1317891,pa,4.1,10806.0,white,beige,volvo na rep/world omni,23800,24250,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
420009,2015,Volvo,S60,T5,Sedan,automatic,yv1612tb5f1311002,pa,4.2,15451.0,white,beige,volvo na rep/world omni,23800,24200,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT)
