num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
421999,2014,Jeep,Patriot,Sport,SUV,automatic,1c4njpba4ed772339,pa,4.6,21212.0,white,black,enterprise veh exchange/rental,13250,13100,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
422000,2014,Ford,Altima,Base,Sedan,automatic,1c4njrab8ed804392,ns,4.8,21492.0,blue,gray,fca canada inc,16400,17400,Wed May 27 2015 01:30:00 GMT-0700 (PDT)
422001,2014,Jeep,Grand Cherokee,Summit,SUV,automatic,1c4rjfjt3ec314876,il,4.0,29489.0,black,black,fca us llc,35800,33600,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
422002,2014,Ford,Altima,Base,Sedan,automatic,1c4njrab8ed804389,ns,4.1,21621.0,blue,gray,fca canada inc,16400,17300,Wed May 27 2015 01:30:00 GMT-0700 (PDT)
422003,2014,Jeep,Wrangler,Unlimited Sport,SUV,manual,1c4bjwdg2el218446,mi,5.0,28703.0,gray,black,stratford hyundai,27700,26000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
422004,2015,Chrysler,200,S,Sedan,automatic,1c3cccbb5fn591009,fl,4.4,15010.0,silver,black,enterprise veh exchange/rental,17400,16500,Fri May 22 2015 02:20:00 GMT-0700 (PDT)
422005,2015,Chrysler,200,C,Sedan,automatic,1c3ccceg0fn589403,il,5.0,21267.0,blue,beige,fca us llc,19800,23400,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
422006,2015,Chrysler,200,C,Sedan,automatic,1c3ccceg3fn589380,il,4.0,19730.0,gray,black,fca us llc,20000,21250,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
422007,2015,Chevrolet,Traverse,LT,SUV,automatic,1gnkvhkd7fj120090,ne,4.4,19383.0,beige,black,enterprise vehicle exchange/davenport,28500,28200,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
422008,2015,Chrysler,200,C,Sedan,automatic,1c3ccceg8fn500712,il,4.0,29017.0,gray,black,fca us llc,19100,17500,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
422009,2015,Chrysler,200,Limited,Sedan,automatic,1c3cccab7fn649672,fl,4.2,1326.0,black,black,florida auto financial group,16250,21500,Tue May 12 2015 02:30:00 GMT-0700 (PDT)
422010,2015,Chrysler,200,C,Sedan,automatic,1c3ccceg5fn589333,il,3.0,18214.0,white,black,fca us llc,20200,23500,Thu Jun 18 2015 04:00:00 GMT-0700 (PDT)
