num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
422999,2014,Ford,F-150,XL,Regular Cab,automatic,1ftnf1cf1ekd64059,co,3.7,9655.0,white,gray,u-haul,17650,16400,Tue Jun 16 2015 04:45:00 GMT-0700 (PDT)
423000,2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h76er214432,oh,3.5,43698.0,white,beige,avis corporation,12400,12700,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
423001,2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec5eg374425,mi,5.0,12984.0,silver,black,stratford hyundai,38400,38100,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
423002,2014,Honda,Accord,EX-L,Coupe,automatic,1hgct1b83ea001918,fl,3.6,57364.0,red,black,braman honda of palm beach,18000,17000,Thu May 21 2015 02:40:00 GMT-0700 (PDT)
423003,2014,Honda,Accord,LX,Sedan,automatic,1hgcr2f35ea095836,fl,4.7,12708.0,green,black,lexus of pembroke pines,17200,16500,Wed May 27 2015 02:35:00 GMT-0700 (PDT)
423004,2014,Honda,Civic,LX,Sedan,manual,2hgfb2e51eh508485,pa,1.9,63088.0,gray,black,"ahfc/honda lease trust/hvt, inc.",12400,9800,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
423005,2014,Hyundai,Equus,Ultimate,Sedan,automatic,kmhgh4jh7eu089578,fl,5.0,858.0,black,beige,the auto group collection inc,44500,47000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
423006,2014,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2eh857558,pa,3.4,29965.0,silver,gray,enterprise veh exchange/rental,13150,12800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423007,2014,Hyundai,Tucson,GLS,SUV,automatic,km8jt3af5eu851383,tx,4.6,19298.0,silver,brown,tdaf remarketing,16900,16500,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
423008,2014,Jeep,Cherokee,Latitude,SUV,automatic,1c4pjlcsxew319355,il,4.0,7093.0,gray,black,fca us llc,19250,18000,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
423009,2014,Infiniti,QX80,Base,SUV,automatic,jn8az2nc9e9353207,tn,5.0,9834.0,white,black,nissan north america inc.,59200,61600,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
423010,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg4ec501870,on,4.9,26775.0,white,black,fca canada inc,36100,36200,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
423011,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg9ec559098,on,5.0,23660.0,white,black,fca canada inc,36500,36500,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
423012,2014,Jeep,Grand Cherokee,Limited,SUV,automatic,1c4rjfbg3ec522662,on,4.9,24689.0,gray,black,fca canada inc,36300,36300,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
423013,2014,Kia,Forte,LX,Sedan,automatic,knafx4a6xe5103840,pr,3.5,7401.0,white,black,chelo auto sales,12750,12600,Thu May 14 2015 05:00:00 GMT-0700 (PDT)
423014,2014,Kia,Soul,+,Wagon,automatic,kndjp3a57e7009269,pa,3.6,34234.0,black,black,avis corporation,12850,12500,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423015,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5en351236,fl,2.8,32545.0,white,beige,avis corporation,13250,13300,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
423016,2014,Nissan,Altima,2.5,sedan,automatic,1n4al3ap3en337125,tx,3.6,31901.0,red,black,avis corporation,13300,13300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
423017,2015,Chrysler,200,C,Sedan,automatic,1c3ccccg6fn513557,on,4.5,16619.0,black,black,fca canada inc,21800,21500,Tue Jun 16 2015 03:00:00 GMT-0700 (PDT)
423018,2014,Nissan,Sentra,FE+ S,Sedan,automatic,3n1ab7ap4el642706,fl,3.2,31012.0,gray,black,universal nissan,10950,9400,Wed Jun 03 2015 02:25:00 GMT-0700 (PDT)
423019,2014,Nissan,Sentra,SV,Sedan,automatic,3n1ab7ap6el658213,fl,2.8,33490.0,black,black,avis corporation,11250,11000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
423020,2014,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap6el640455,tx,4.1,9654.0,black,black,nissan-infiniti lt,13100,13800,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
423021,2014,Ram,1500,SLT,Crew Cab,automatic,1c6rr7lt9es176849,tx,1.9,30179.0,gray,gray,tdaf remarketing,25100,28250,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
423022,2014,Ram,1500,SLT,Crew Cab,automatic,1c6rr7lt4es412498,mi,5.0,7935.0,black,gray,kevins marysville auto sales inc,28800,30100,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
423023,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk9eu414654,co,3.4,24020.0,black,gray,toyota motor sales usa inc/program,14450,14100,Wed Jun 17 2015 04:45:00 GMT-0700 (PDT)
423024,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk0eu425607,co,3.9,21312.0,silver,gray,toyota motor sales usa inc/program,14800,14300,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
423025,2014,Toyota,Camry,LE,sedan,automatic,4t1bf1fk4eu404713,co,2.9,19528.0,silver,gray,toyota motor sales usa inc/program,14900,14500,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
423026,2014,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk6eu417916,co,3.2,22788.0,white,gray,toyota motor sales usa inc/program,14700,14500,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
423027,2014,Toyota,4Runner,SR5,SUV,automatic,jtebu5jr7e5169803,pa,4.4,24581.0,black,gray,avis corporation,29700,29200,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
423028,2014,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk3er373363,fl,3.9,30529.0,gray,beige,avis corporation,14000,13800,Wed Jun 17 2015 04:00:00 GMT-0700 (PDT)
423029,2014,Toyota,Camry,SE,sedan,automatic,4t1bf1fk9eu420972,mn,4.0,32867.0,gray,black,toyota motor sales usa inc/program,14900,15100,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
423030,2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe8ep075284,fl,4.1,31589.0,gray,gray,avis corporation,12850,12600,Fri May 22 2015 03:05:00 GMT-0700 (PDT)
423031,2014,Toyota,Corolla,LE,Sedan,automatic,2t1burhe7ec092240,pa,4.0,32067.0,blue,gray,avis corporation,12850,12700,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423032,2015,Ford,Explorer,Limited,SUV,automatic,1fm5k7f84fga04781,tx,4.1,13670.0,black,beige,tdaf remarketing,30800,31000,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
423033,2014,Toyota,Yaris,SE,Hatchback,automatic,jtdktud30ed584458,pr,2.6,17537.0,gray,black,reliable financial services inc,11850,9500,Thu May 14 2015 05:00:00 GMT-0700 (PDT)
423034,2014,Volkswagen,Jetta,S,Sedan,automatic,3vw2k7aj3em217451,wi,3.9,22797.0,silver,black,ewald fleet solution,11150,12000,Wed May 13 2015 03:00:00 GMT-0700 (PDT)
423035,2013,Acura,ILX,Premium Package,Sedan,automatic,19vde1f53de019580,pa,3.7,33496.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",17650,17000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423036,2013,Audi,A5,2.0T Premium Plus quattro,Convertible,automatic,waulfafh8dn012059,ca,4.2,30982.0,black,black,enterprise veh exchange/rental,31800,31500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
423037,2013,Buick,LaCrosse,Base,Sedan,automatic,1g4ga5gr0df262063,pa,2.9,68491.0,white,beige,ge fleet services for itself/servicer,12200,11600,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423038,2013,Chevrolet,Silverado 1500,LTZ,Crew Cab,automatic,3gcpkte76dg362710,pa,4.0,43804.0,black,black,j & k auto gallery inc,30100,29400,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
423039,2013,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sb8d7116294,in,3.9,50829.0,silver,black,the hertz corporation,9925,10000,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
423040,2013,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sbxd7116260,pa,2.5,44935.0,silver,black,the hertz corporation,10750,10500,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
423041,2013,Chevrolet,Equinox,LS,SUV,automatic,2gnflcek5d6417888,il,4.0,38902.0,black,black,ally,16650,16400,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
423042,2013,Chevrolet,Equinox,LT,SUV,automatic,2gnflde3xd6135034,pa,4.3,19884.0,black,black,gm financial leasing,17650,18100,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
423043,2015,BMW,2 Series,M235i,Coupe,automatic,wba1j7c55fv253826,fl,4.7,3843.0,red,—,financial services remarketing (lease),43200,41600,Wed Jun 17 2015 02:40:00 GMT-0700 (PDT)
