num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
425999,2011,Nissan,Frontier,SV,King Cab,automatic,1n6ad0cu0bc435736,tn,4.3,41404.0,black,green,ford-lincoln dealer program,14050,16600,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
426000,2011,Mercedes-Benz,M-Class,ML350 4MATIC,SUV,automatic,4jgbb8gb5ba697053,wi,3.3,39134.0,—,brown,mercedes-benz financial services,26400,26000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
426001,2011,Nissan,Rogue,S,SUV,automatic,jn8as5mt0bw169780,ms,3.5,99942.0,gray,gray,exeter finance corp,11300,10600,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
426002,2011,Toyota,Sequoia,Platinum FFV,SUV,automatic,5tddw5g1xbs052005,nv,3.9,50391.0,white,brown,bul connections llc,38100,37250,Fri May 22 2015 04:45:00 GMT-0700 (PDT)
426003,2011,Toyota,Venza,Base,Wagon,automatic,4t3za3bb7bu045343,mo,2.1,37547.0,silver,tan,world omni financial corporation,15300,13000,Tue Jun 09 2015 04:00:00 GMT-0700 (PDT)
426004,2011,Toyota,Sienna,XLE 8-Passenger,Minivan,automatic,5tdyk3dc0bs055261,fl,4.3,77483.0,red,beige,andrew thomas motorcars,18600,18000,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
426005,2010,Chevrolet,Avalanche,LT,Crew Cab,automatic,3gnvkfe00ag269938,pa,4.2,48892.0,silver,black,autodome ltd,25900,23000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
426006,2010,Cadillac,Escalade EXT,Luxury,Crew Cab,automatic,3gyvkmef6ag114189,mi,3.9,49042.0,silver,black,automobiles paille inc,33800,31000,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
426007,2010,Cadillac,DTS,Base,Sedan,automatic,1g6ka5ey8au128372,oh,2.8,70228.0,gray,black,wright-patt credit union,12300,12100,Thu Jun 18 2015 02:00:00 GMT-0700 (PDT)
426008,2010,Chevrolet,Camaro,2SS,Coupe,automatic,2g1fk1ej2a9151353,ga,3.2,31983.0,black,black,capitol chevrolet & imports inc,22300,21100,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
426009,2010,Chevrolet,Suburban,1500 LTZ,SUV,automatic,1gnukke33ar208338,nc,2.4,111052.0,blue,gray,hrft finance inc,24000,24800,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
426010,2010,Chevrolet,Express Cargo,2500,Van,automatic,1gczgfba6a1129531,fl,2.5,135985.0,white,gray,sutton ford/ge,9025,7600,Tue May 26 2015 03:25:00 GMT-0700 (PDT)
426011,2010,Chevrolet,Camaro,2SS,Coupe,manual,2g1ft1ew5a9182394,ga,2.4,43002.0,orange,orange,flag/ald motors inc,21400,20800,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
426012,2010,Chrysler,300,S V6,Sedan,automatic,2c3ca2cv3ah329144,pa,3.8,122124.0,black,black,apple chrysler dodge jeep ram of hanover,12100,9900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
426013,2010,Dodge,Avenger,R/T,Sedan,automatic,1b3cc5fb8an220583,ms,2.3,86187.0,gold,black,exeter finance corp,7650,7300,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
426014,2010,Dodge,Ram Pickup 1500,SLT,Crew Cab,automatic,1d7rv1ct8as103425,mi,5.0,70687.0,black,gray,kevins marysville auto sales inc,21000,22100,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
426015,2010,Ford,Altima,Base,Sedan,automatic,1ftne1ew4ada63588,ca,1.9,65758.0,white,gray,wheels exchange llc,13000,13500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
426016,2010,Dodge,Avenger,SXT,Sedan,automatic,1b3cc4fb2an199241,tx,4.1,99423.0,white,black,dt credit corporation,5500,6500,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
426017,2010,Dodge,Avenger,R/T,Sedan,automatic,1b3cc5fb3an151253,tx,2.9,87107.0,silver,gray,dt credit corporation,7475,5600,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
426018,2010,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftww3br2aea28652,mi,3.9,107606.0,white,brown,ars-cpo,25600,27300,Thu May 21 2015 02:00:00 GMT-0700 (PDT)
426019,2010,Honda,Insight,LX,Hatchback,automatic,jhmze2h52as027158,ca,2.5,69481.0,red,gray,metro nissan of montclair,7375,7000,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
426020,2010,Honda,Accord,EX-L V-6,Sedan,automatic,5kbcp3f86ab010205,tx,4.6,80408.0,blue,gray,tdaf remarketing,11500,12100,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
426021,2010,GMC,Sierra 1500,SL,Crew Cab,automatic,3gtrcuea2ag265572,ms,2.9,109686.0,gray,gray,exeter finance corp,13250,14300,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
426022,2010,Kia,Forte,EX,Sedan,automatic,knafu4a23a5260562,ca,3.8,44317.0,gray,gray,kia motors finance,7350,8200,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
426023,2010,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dr4ag616148,tn,3.6,86991.0,—,black,ford-lincoln dealer program,10250,11800,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
