num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
427999,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er395385,va,4.0,29009.0,white,brown,pv holding inc/gdp,18550,18000,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428000,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg0er393879,va,4.0,25612.0,gray,black,pv holding inc/gdp,18950,18800,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428001,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er292769,va,4.0,28978.0,gold,black,pv holding inc/gdp,18550,17800,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428002,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg2er395231,va,4.0,28281.0,black,black,pv holding inc/gdp,18600,18100,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428003,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er394074,va,4.0,28910.0,black,tan,pv holding inc/gdp,18550,17800,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428004,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg3er394184,va,4.0,28807.0,gray,black,pv holding inc/gdp,18550,18200,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er404314,fl,4.0,25209.0,silver,black,advantage opco llc,19000,18600,Mon Jun 08 2015 05:30:00 GMT-0700 (PDT)
428006,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er360027,va,4.0,20802.0,blue,black,advantage opco llc,19550,19400,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428007,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er359956,va,4.0,20704.0,burgundy,black,advantage opco llc,19550,19500,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
428008,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er292863,va,4.0,25987.0,red,tan,pv holding inc/gdp,18900,19300,Thu May 21 2015 01:50:00 GMT-0700 (PDT)
