num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
429999,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac3dh684681,il,3.1,49690.0,silver,gray,dtg operations inc,11250,11000,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430000,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh730585,il,3.4,51380.0,silver,gray,the hertz corporation,11150,11500,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430001,2013,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad0du121310,pa,3.3,8519.0,white,gray,hyundai motor finance,14250,12600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
430002,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar8dm758720,mo,3.4,22161.0,white,black,nissan infiniti lt,21400,18000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
430003,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm716580,tx,3.6,35408.0,gray,black,nissan infiniti lt,19350,20200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
430004,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar0dm757397,mo,4.1,20635.0,white,gray,nissan infiniti lt,21600,21800,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
430005,2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn3dc310032,nv,5.0,21804.0,gray,black,unique autos,31000,32750,Fri May 29 2015 04:55:00 GMT-0700 (PDT)
430006,2013,Jeep,Patriot,Sport,SUV,automatic,1c4njpba2dd139241,ga,4.3,61385.0,silver,black,wells fargo dealer services,9750,9600,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430007,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxdm352681,mo,3.9,35434.0,white,black,nissan infiniti lt,19750,20600,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
430008,2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mm1dc325328,tx,3.8,40704.0,black,—,nissan infiniti lt,30100,27800,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
430009,2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg6dl648088,ca,3.6,54756.0,gray,black,the hertz corporation,24500,23300,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
430010,2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a72dg098684,ms,3.5,43469.0,black,gray,santander consumer,11850,12000,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
430011,2013,Jeep,Wrangler,Sport,SUV,automatic,1c4ajwag9dl549135,mi,5.0,28568.0,gray,black,kevins marysville auto sales inc,22500,21600,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
430012,2013,Kia,Rio,EX,Sedan,automatic,knadn4a33d6165169,ga,1.9,41657.0,white,beige,kia motors finance,8425,8100,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430013,2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4hjwdg9dl624555,ca,3.5,32134.0,black,black,avis corporation,26300,25250,Tue May 19 2015 05:45:00 GMT-0700 (PDT)
430014,2013,Kia,Rio,LX,Sedan,automatic,knadm4a33d6302551,ga,3.8,29983.0,silver,black,wells fargo dealer services,9000,9000,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430015,2013,Kia,Optima,LX,Sedan,automatic,5xxgm4a72dg235154,fl,4.0,22551.0,black,tan,first technology fcu,13000,10900,Wed Jun 03 2015 10:30:00 GMT-0700 (PDT)
430016,2013,Kia,Optima,SX,Sedan,automatic,5xxgr4a67dg197980,nv,4.6,10560.0,black,black,findlay kia,21800,23250,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
430017,2013,Kia,Forte,EX,Sedan,automatic,knafu4a20d5696113,ga,1.0,71460.0,gray,gray,capital one auto finance,8125,5000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
430018,2013,Kia,Forte,EX,Sedan,automatic,knafu4a23d5681380,pa,4.7,43010.0,white,gray,kia motors finance,9475,10900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
430019,2013,Kia,Soul,+,Wagon,automatic,kndjt2a68d7570366,ca,1.9,58018.0,white,black,dtg operations inc,10050,8000,Wed May 20 2015 05:30:00 GMT-0700 (PDT)
430020,2013,Kia,Soul,+,Wagon,automatic,kndjt2a65d7597752,il,3.4,51855.0,gray,black,the hertz corporation,10350,10300,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430021,2013,Kia,Soul,+,Wagon,automatic,kndjt2a6xd7522349,ga,3.5,49505.0,green,black,wells fargo dealer services,10750,10300,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430022,2013,Kia,Soul,+,Wagon,automatic,kndjt2a6xd7531570,pa,3.3,24169.0,green,black,kia motors finance,12200,11800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
430023,2013,Kia,Soul,Base,Wagon,manual,kndjt2a53d7768019,ms,2.7,44692.0,white,gray,chrysler capital,9500,8000,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
430024,2013,Kia,Soul,Base,Wagon,manual,kndjt2a54d7558142,pa,3.2,53106.0,green,black,kia motors finance,8975,7800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
430025,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk2dbl16277,tx,4.5,33987.0,silver,tan,texas auto brokers,24200,24900,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
430026,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba1dc091588,fl,4.3,18194.0,gray,beige,autosport usa,31800,33100,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
430027,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek8dg618586,mi,4.4,70099.0,white,tan,"ford motor credit company,llc",19750,17200,Thu May 21 2015 02:00:00 GMT-0700 (PDT)
430028,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ek2dg615277,tn,4.1,11621.0,—,black,"ford motor credit company,llc",26000,25500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
430029,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9ftxdg606561,tn,4.2,36526.0,silver,beige,"ford motor credit company,llc",24300,25500,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
430030,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk2dbl35590,tn,3.9,14329.0,—,gray,"ford motor credit company,llc",27100,28400,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
430031,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk3dbl24643,il,4.1,14013.0,black,black,ford-lincoln dealer program,30900,32000,Tue May 19 2015 04:00:00 GMT-0700 (PDT)
430032,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj8jk8dbl28784,mi,2.9,30603.0,black,tan,"ford motor credit company,llc",27700,22800,Thu May 21 2015 02:00:00 GMT-0700 (PDT)
430033,2013,Lincoln,MKX,Base,SUV,automatic,2lmdj6jk6dbl23068,tn,4.6,20118.0,blue,beige,"ford motor credit company,llc",26000,25100,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
430034,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1up2d1757608,il,3.3,46855.0,white,black,the hertz corporation,9975,9700,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
430035,2013,Lincoln,Navigator,Base,SUV,automatic,5lmjj2j55del04420,ca,4.7,46357.0,white,tan,the hertz corporation,30900,31701,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
430036,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u7xd1765259,mi,3.6,54017.0,blue,black,the hertz corporation,9425,10000,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
430037,2013,Mazda,Mazda3,i SV,Sedan,automatic,jm1bl1tf2d1776278,tx,3.6,35543.0,gray,black,fiserv/crescent bank & trust,9950,9800,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
430038,2013,Mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1u83d1707552,mi,1.9,48439.0,silver,black,the hertz corporation,9750,9100,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
430039,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb7dr275785,ca,4.2,17186.0,gray,black,mercedes-benz financial services,22600,23000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
430040,2013,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb4dr267238,ca,3.1,6692.0,silver,black,mercedes-benz financial services,24100,23000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
