num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
432999,2007,Mercedes-Benz,E-Class,E550,Sedan,automatic,wdbuf72x47b068012,ca,2.0,114362.0,black,beige,wells fargo dealer services,9425,6500,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
433000,2007,Ford,Altima,Base,Sedan,automatic,jm1cr29l670153715,az,2.7,160120.0,blue,black,the hertz corporation,1400,2400,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
433001,2007,Saturn,ION,2,Sedan,manual,1g8az55f47z108142,sc,3.9,86140.0,gray,gray,rick hendrick dodge chrysler jeep ram,2750,2300,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
433002,2007,Pontiac,Grand Prix,Base,Sedan,automatic,2g2wp552971125465,ca,2.7,106932.0,brown,beige,onemain rem/delta dealer,4425,3900,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
433003,2007,Saturn,Aura,XE,Sedan,automatic,1g8zs57n97f290420,pa,1.9,104545.0,blue,beige,sterimark motors inc,4150,4400,Fri May 22 2015 02:30:00 GMT-0700 (PDT)
433004,2007,Suzuki,XL7,Base,SUV,automatic,2s3db117276112718,sc,3.4,130462.0,gold,gold,rick hendrick jeep chrys dodge ram fiat,3050,4200,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
433005,2007,Volkswagen,Passat,2.0T,Sedan,automatic,wvwak73c77p036959,sc,1.9,201131.0,black,black,rick hendrick jeep chrys dodge ram fiat,1975,2700,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
433006,2007,Toyota,Yaris,Base,Hatchback,automatic,jtdjt923775038877,qc,3.1,195207.0,black,black,159191 canada inc,2125,2000,Tue May 19 2015 03:00:00 GMT-0700 (PDT)
433007,2007,Toyota,FJ Cruiser,Base,SUV,automatic,jtebu11f170056489,nj,3.8,101925.0,gray,black,auto lender liquidation center,14500,13600,Wed Jun 17 2015 02:30:00 GMT-0700 (PDT)
433008,2007,Toyota,Tundra,SR5,CrewMax Cab,automatic,5tbev54117s466544,ca,1.9,173256.0,black,beige,jimmie johnson kearny mesa chevrolet,12100,4600,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
