num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
435999,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae8dh298589,tn,4.3,23520.0,white,tan,hyundai motor finance,11250,11800,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
436000,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae1du759309,tn,4.0,17491.0,blue,tan,hyundai motor finance,11600,11900,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
436001,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd3du242611,pa,3.6,42217.0,silver,black,the hertz corporation,16100,15500,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
436002,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du744139,tn,3.7,24833.0,black,tan,hyundai motor finance,11200,11000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
436003,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexdu788419,tn,4.1,16836.0,blue,gray,hyundai motor finance,11650,11900,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
436004,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh670666,pa,3.5,49974.0,red,beige,dtg operations inc,11200,11200,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
436005,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxdh700004,oh,3.5,64728.0,silver,gray,the hertz corporation,10150,10200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
436006,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh690801,fl,4.5,40149.0,black,gray,santander consumer,11800,11900,Thu May 21 2015 02:35:00 GMT-0700 (PDT)
436007,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab1dh743697,va,3.7,20680.0,blue,gray,gm financial,16500,16800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
436008,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh754738,ga,4.1,44473.0,blue,gray,avis corporation,11400,11600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
436009,2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a46da094922,va,2.6,14018.0,black,tan,fiserv/citizens one auto finance,14450,11000,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
436010,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac0dh699834,pa,3.5,55565.0,gray,gray,the hertz corporation,10850,10800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
436011,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac5dh726557,fl,3.7,29263.0,black,beige,braman motors,12500,11300,Thu May 21 2015 02:40:00 GMT-0700 (PDT)
436012,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2dh642437,fl,3.4,28184.0,blue,gray,king hyundai,12550,12000,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436013,2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,kmhec4a45da072474,ms,4.0,42994.0,black,gray,primeritus remarketing/compass bank,15500,14600,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
436014,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac4dh623322,ca,4.3,38235.0,white,tan,auto city sales/leasing,15350,16100,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
436015,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac9dh525306,tn,3.8,32000.0,black,tan,hyundai motor finance,15750,16000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
436016,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ac4dh549982,fl,3.7,27827.0,gray,gray,north palm hyundai,16300,16500,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
436017,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm303474,tx,4.8,13888.0,black,gray,nissan infiniti lt,22100,23200,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436018,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek8dm921038,ca,3.7,18225.0,black,black,nissan infiniti lt,24000,23000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436019,2013,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad5du114403,mo,3.7,30449.0,gray,black,plaza motor company,12750,13400,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
436020,2013,Hyundai,Sonata,SE,Sedan,automatic,5npec4ac0dh714698,ga,3.9,13594.0,white,black,united autopia,14300,15200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
436021,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek8dm923842,ca,4.6,24616.0,white,black,nissan infiniti lt,23200,24500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436022,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm715566,tx,4.8,20821.0,silver,black,nissan infiniti lt,21200,22000,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436023,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8dm717518,tx,4.2,23363.0,black,gray,nissan infiniti lt,20900,21800,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436024,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek6dm923161,ca,4.3,22340.0,white,black,nissan infiniti lt,23500,24500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436025,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm721968,ca,4.2,21632.0,white,tan,nissan infiniti lt,21200,19500,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436026,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4dm720450,tx,4.1,28681.0,black,black,nissan infiniti lt,20300,19200,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436027,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap9dm302708,tx,3.1,34913.0,black,black,nissan infiniti lt,19500,20000,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
436028,2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mn2dc327663,ga,3.5,53608.0,black,beige,associated credit union,25800,25400,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
436029,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar6dm755413,co,4.2,19046.0,black,black,phil long ford of denver llc,21800,22250,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
436030,2013,Infiniti,M,M37,Sedan,automatic,jn1by1ap5dm510591,tx,4.6,30486.0,gray,black,nissan infiniti lt,27900,18600,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
436031,2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mm2dc301930,ca,4.3,58248.0,black,black,nissan infiniti lt,27700,27250,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436032,2013,Jeep,Compass,Sport,SUV,automatic,1c4njdbb4dd174533,az,2.7,34364.0,burgundy,black,bank of america,14250,13600,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
436033,2013,Kia,Forte,EX,Sedan,automatic,knafu4a23d5731355,fl,4.3,55727.0,brown,gray,dtg operations inc,8975,9300,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
436034,2013,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag9dc655054,pa,3.9,60063.0,black,black,hann financial services,20500,19400,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
436035,2013,Jeep,Wrangler,Sport,SUV,manual,1c4ajwag2dl685249,fl,4.1,12985.0,gray,—,chrysler capital,23800,22400,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
436036,2013,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag8dc626810,tn,3.6,53663.0,black,black,sullivan auto group llc,21700,21600,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
436037,2013,Kia,Forte,EX,Sedan,automatic,knafu4a28d5739483,az,3.5,51081.0,black,gray,dtg operations inc,9125,9400,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
436038,2013,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfag7dc622862,in,4.9,133334.0,white,gray,federated financial corporation,17400,18400,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
436039,2013,Jeep,Wrangler,Unlimited Sahara,SUV,automatic,1c4bjweg0dl551872,fl,5.0,14163.0,red,black,all pro leasing,30200,31200,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
436040,2013,Jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg0dl557947,ca,2.3,52579.0,silver,black,dtg operations inc,24600,19900,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
436041,2013,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjfagxdc518690,mi,4.8,32105.0,gray,gray,fiserv/usb dealer services northstar exchange,24000,23000,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
436042,2013,Infiniti,QX,QX56,SUV,automatic,jn8az2nexd9042465,tn,4.5,60133.0,black,black,wholesale inc # 2,36700,40500,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
436043,2013,Jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeag1dc622415,pa,3.8,52831.0,gray,black,dtg operations inc,19050,18000,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
