num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
436999,2012,Toyota,Corolla,S,Sedan,manual,2t1bu4ee9cc890887,pa,4.7,20598.0,black,black,remarketing by ge/suntrust bank,12650,12400,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
437000,2012,Toyota,Highlander,SE,SUV,automatic,5tdbk3eh9cs143470,wi,2.6,22277.0,—,gray,toyota financial services,25600,24300,Wed Jul 08 2015 07:00:00 GMT-0700 (PDT)
437001,2012,Toyota,Camry,XLE,Sedan,automatic,4t1bk1fk3cu002836,oh,3.8,26164.0,—,gray,toyota financial services,17100,16900,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437002,2012,Toyota,Camry,XLE,Sedan,automatic,4t4bf1fk9cr214120,oh,3.8,38796.0,gray,gray,toyota financial services,14950,14700,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437003,2012,Toyota,Corolla,LE,Sedan,automatic,5yfbu4ee2cp014274,mo,1.9,31291.0,black,gray,toyota financial services,10650,9100,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
437004,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv4cw198814,tx,3.7,60550.0,silver,gray,the hertz corporation,13050,12700,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
437005,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv7cw203827,oh,4.5,29477.0,black,tan,toyota financial services,15050,16800,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437006,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv1cw206920,wi,2.8,35433.0,black,beige,toyota financial services,14850,13700,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
437007,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw206712,oh,4.5,25472.0,silver,gray,toyota financial services,15250,16400,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437008,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du8c1558850,oh,4.3,18276.0,gray,black,toyota financial services,14400,14300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437009,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw217144,nj,3.4,44139.0,blue,gray,toyota financial services,14650,14100,Wed May 20 2015 02:30:00 GMT-0700 (PDT)
437010,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv3cw197007,pa,3.6,62406.0,white,gray,the hertz corporation,12950,13100,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
437011,2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb35c1520795,oh,3.8,53997.0,black,gray,toyota financial services,10450,10300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437012,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv0cw197952,oh,3.6,19342.0,brown,—,toyota financial services,15600,15600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437013,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du1c1503186,oh,4.2,44299.0,silver,gray,toyota financial services,13400,13400,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437014,2012,Toyota,RAV4,Base,SUV,automatic,jtmbf4dv6c5054317,oh,3.7,44857.0,silver,gray,toyota financial services,14150,14300,Mon Jun 01 2015 17:00:00 GMT-0700 (PDT)
437015,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv1cw197054,oh,3.6,26993.0,gold,beige,toyota financial services,15200,14400,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437016,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv7cw232342,oh,4.3,22356.0,black,gray,toyota financial services,15450,15700,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437017,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du6c5417817,oh,3.7,69710.0,black,gray,toyota financial services,12400,11900,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
437018,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv3cw183141,oh,3.8,33162.0,black,gray,toyota financial services,14800,14700,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437019,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw201915,oh,4.2,50391.0,blue,gray,toyota financial services,13800,14000,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437020,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw219251,oh,4.6,31810.0,red,tan,toyota financial services,14900,16300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437021,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3duxc1558199,oh,3.8,49807.0,blue,gray,toyota financial services,13000,12900,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437022,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv4cw195685,oh,4.1,30939.0,white,gray,toyota financial services,14950,14700,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437023,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw226033,oh,4.0,43531.0,black,beige,toyota financial services,14200,14100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437024,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du3c1577709,ca,3.0,30355.0,gray,gray,crb auto finance,13750,15200,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
437025,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv3cw202951,oh,3.8,37182.0,blue,gray,toyota financial services,14600,14800,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437026,2012,Toyota,Prius Plug-in,Base,Hatchback,automatic,jtdkn3dp2c3023849,oh,4.1,25360.0,blue,gray,toyota financial services,16100,15700,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
437027,2012,Toyota,Prius c,Two,Hatchback,automatic,jtdkdtb32c1001719,nc,4.3,36356.0,white,black,kia of dartmouth,14300,12700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
437028,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dvxcw183282,oh,4.3,28208.0,—,tan,toyota financial services,15100,15600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437029,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du0c5394938,oh,4.2,27896.0,gray,gray,toyota financial services,13950,14300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437030,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw202928,oh,4.0,24888.0,green,beige,toyota financial services,15300,16400,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437031,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dvxcw206611,nj,3.3,33676.0,—,gray,toyota financial services,14950,14000,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
437032,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv9cw197383,co,3.4,54954.0,black,gray,prestige financial services,13750,15600,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
437033,2012,Toyota,RAV4,Base,SUV,automatic,jtmbf4dv4cd043564,oh,4.1,20238.0,silver,gray,toyota financial services,15550,16300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437034,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw206381,oh,4.7,42998.0,black,tan,toyota financial services,14250,15500,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437035,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw208203,oh,3.5,41335.0,—,tan,toyota financial services,14350,13900,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437036,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw255595,oh,3.5,11966.0,blue,gray,toyota financial services,16050,16100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437037,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du5c5415251,wi,2.0,52718.0,black,beige,toyota financial services,12950,10600,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
437038,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dvxcw211761,oh,3.6,21543.0,black,gray,toyota financial services,15500,15600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437039,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw205165,oh,3.9,21653.0,black,gray,toyota financial services,15500,15800,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437040,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv6cw208226,oh,4.1,38525.0,silver,beige,toyota financial services,14500,16600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437041,2012,Toyota,Prius,Three,Hatchback,automatic,jtdkn3du4c1490885,oh,3.9,79836.0,green,black,toyota financial services,13100,12700,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
437042,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv4cw201517,oh,4.1,32067.0,gold,tan,toyota financial services,14900,15400,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437043,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv5cw194822,oh,3.7,39125.0,—,tan,toyota financial services,14450,14100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437044,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv6cw208503,oh,4.9,34407.0,silver,gray,toyota financial services,14750,15100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437045,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv8cw193440,oh,4.3,28821.0,black,gray,toyota financial services,15050,16300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437046,2012,Toyota,RAV4,Base,SUV,automatic,jtmbf4dv3c5056039,oh,4.1,31644.0,black,tan,toyota financial services,14900,14600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
437047,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv6cw208839,oh,4.1,33328.0,—,gray,toyota financial services,14850,14500,Mon Jun 01 2015 17:00:00 GMT-0700 (PDT)
437048,2012,Toyota,RAV4,Base,SUV,automatic,2t3bf4dv9cw186786,oh,4.4,33842.0,white,gray,toyota financial services,14800,16300,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
