num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
439999,2006,Toyota,Sienna,XLE 7-Passenger,Minivan,automatic,5tdba22c96s071146,tx,2.6,110756.0,silver,gray,david mcdavid acura,7550,8200,Wed May 20 2015 03:20:00 GMT-0700 (PDT)
440000,2006,Volkswagen,Jetta,2.5,Sedan,automatic,3vwsf71k16m620018,co,1.9,144778.0,white,black,wells fargo financial acceptance,2600,2600,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
440001,2005,BMW,5 Series,545i,Sedan,automatic,wbanb33555b116098,tn,2.5,160296.0,black,gray,"green ride, inc.",4350,4700,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
440002,2005,Buick,Rendezvous,CX,SUV,automatic,3g5db03705s523255,il,2.9,115389.0,white,tan,laurel audi of westmont,3025,4100,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
440003,2005,Buick,LeSabre,Limited,Sedan,automatic,1g4hr54k35u264374,tx,3.4,83202.0,blue,gray,rii,4300,4200,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
440004,2005,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y75u197911,nv,2.8,175183.0,gray,tan,american capital asset management,650,750,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
440005,2005,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e559201851,fl,1.9,115664.0,gold,tan,holman honda of fort lauderdale,1850,1600,Fri May 22 2015 02:35:00 GMT-0700 (PDT)
440006,2005,Chrysler,Town and Country,Base,Minivan,automatic,1c4gp45r05b135791,fl,3.2,96369.0,silver,gray,napletons north palm auto park inc,2400,2600,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
440007,2005,Dodge,Durango,SLT,SUV,automatic,1d4hb48n35f611247,mn,1.9,108285.0,gray,gray,santander consumer,3700,2300,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
440008,2005,Ford,Escape,Limited,SUV,automatic,1fmcu94115ka56948,nc,2.0,181271.0,black,tan,hendrick porsche,1475,3000,Wed May 20 2015 07:00:00 GMT-0700 (PDT)
440009,2005,Dodge,Magnum,RT,Wagon,automatic,2d4gv58205h549836,mi,4.1,54048.0,silver,beige,jepson car co llc,6925,8800,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
440010,2005,Ford,Econoline Wagon,E-350 Super Duty XLT,Van,automatic,1fbne31l55ha99817,ny,1.9,39949.0,silver,gray,ge fleet services for itself/servicer,6225,8100,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
440011,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh7e4140577,pa,4.3,8111.0,white,gray,merchants automotive group,8125,8000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440012,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh1e4140753,pa,3.3,11811.0,white,gray,merchants automotive group,8075,7800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440013,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh6e4140568,pa,3.9,10530.0,white,gray,merchants automotive group,8100,8100,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440014,2014,Chevrolet,Suburban,LT 1500,SUV,automatic,1gnskje74er188031,oh,4.3,44721.0,white,black,mike albert limited,35600,35400,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
440015,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh1e4140400,pa,3.9,10141.0,white,black,merchants automotive group,8100,7900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440016,2014,Chevrolet,Sonic,LTZ,Hatchback,automatic,1g1je6sb6e4211462,ga,2.0,1860.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,12400,10800,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
440017,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh2e4139367,pa,3.8,10383.0,white,gray,merchants automotive group,8100,7800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440018,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh0e4139920,pa,3.7,7508.0,white,gray,merchants automotive group,8150,8000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440019,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh3e4140124,pa,4.3,7055.0,white,gray,merchants automotive group,8150,8000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440020,2014,Chevrolet,Sonic,LS,Hatchback,automatic,1g1ja6sh1e4140140,pa,4.7,11244.0,white,gray,merchants automotive group,8075,7800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440021,2005,Ford,Escape,Limited,SUV,automatic,1fmyu041x5ka40863,fl,1.9,209029.0,gray,black,nextgear capital,1150,400,Thu May 21 2015 06:00:00 GMT-0700 (PDT)
440022,2005,Ford,F-150,XLT,SuperCab,automatic,1ftpx04535kf04750,pa,3.4,97116.0,red,gray,fiserv/security national automotive accept corp,8725,10200,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
440023,2005,Ford,Five Hundred,Limited,Sedan,automatic,1fafp25135g128501,ca,2.0,115901.0,white,beige,symbolic motor cars,3450,2800,Tue Jun 23 2015 05:30:00 GMT-0700 (PDT)
440024,2005,Ford,Focus,ZX4 SE,Sedan,automatic,1fafp34n35w312272,tx,2.8,105927.0,blue,gray,rii,2700,2500,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
440025,2005,HUMMER,H2 SUT,Base,Crew Cab,automatic,5grgn22u05h115460,mi,4.0,72370.0,white,beige,grace motors,21600,22400,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
440026,2005,Ford,Altima,Base,Sedan,automatic,1gkfk66u651125558,pa,3.4,117785.0,black,beige,crossroad motors llc,8575,11700,Tue Jun 30 2015 06:30:00 GMT-0700 (PDT)
440027,2005,GMC,Yukon,Fleet,SUV,automatic,1gkek13t65j127501,co,2.4,144369.0,blue,gray,wells fargo dealer services,5475,5800,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
440028,2005,Jeep,Liberty,Renegade,SUV,automatic,1j4gk38k95w514086,tx,3.6,215834.0,black,beige,hertz remarketing,1350,1600,Thu May 28 2015 07:10:00 GMT-0700 (PDT)
440029,2005,Infiniti,QX56,Base,SUV,automatic,5n3aa08c75n813767,ms,3.4,188342.0,gray,gray,jb remarketing llc,6775,6800,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
440030,2005,Ford,Altima,Base,Sedan,automatic,jtjbt20x250073836,ga,4.2,160173.0,beige,beige,nalley ford sandy springs,9925,10400,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
440031,2005,Hyundai,Sonata,GLS,Sedan,automatic,kmhwf35h05a198049,fl,2.7,106974.0,blue,beige,north palm hyundai,2175,1600,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
440032,2005,Hyundai,Sonata,GL V6,Sedan,automatic,kmhwf25h65a099553,az,1.9,117002.0,black,gray,camelback finance co,1950,1350,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
440033,2005,Lexus,LS 430,Base,Sedan,automatic,jthbn36f355012062,az,2.7,147195.0,gold,beige,earnhardt,9375,12900,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
440034,2005,Jeep,Grand Cherokee,Laredo,SUV,automatic,1j4gs48k35c540626,ga,1.9,58644.0,green,gray,morrison motors inc,6275,7150,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
440035,2005,Kia,Sportage,LX,SUV,automatic,kndjf724557049964,fl,2.5,117198.0,gray,beige,hyundai of new port richey,2950,4200,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
440036,2005,Lincoln,Aviator,Luxury,SUV,automatic,5lmeu88h05zj03143,ga,3.5,149110.0,red,gray,nalley acura,2700,4400,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
440037,2005,Mercedes-Benz,S-Class,S600,Sedan,automatic,wdbng76j15a442229,fl,4.8,78749.0,black,black,international motor sports inc,10150,14500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
440038,2005,Nissan,Altima,2.5,Sedan,automatic,1n4al11dx5c378423,fl,1.9,191596.0,black,gray,courtesy chrysler jeep dodge,1700,2400,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
440039,2005,MINI,Cooper,Base,Hatchback,automatic,wmwrc33465tj67268,nj,2.5,114138.0,white,gray,dch freehold llc,3750,3300,Wed May 20 2015 02:30:00 GMT-0700 (PDT)
440040,2005,MINI,Cooper,S,Convertible,manual,wmwrh33435tf81743,sc,3.2,85538.0,silver,black,conway chry dodge jeep inc,6375,5200,Wed May 20 2015 03:00:00 GMT-0700 (PDT)
440041,2005,Porsche,Cayenne,Base,SUV,automatic,wp1aa29p15la21537,fl,3.7,122689.0,blue,beige,the collection,7075,8000,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
440042,2005,Pontiac,Montana,SV6,Minivan,automatic,1gmdv33l05d182742,ga,3.7,177708.0,silver,gray,nalley ford sandy springs,1325,1800,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
440043,2005,Toyota,Sienna,XLE Limited 7-Passenger,Minivan,automatic,5tdba22c35s039937,pa,2.6,143261.0,beige,beige,worldwide auto wholesalers inc,5725,5850,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
440044,2005,Toyota,Camry Solara,SLE V6,Convertible,automatic,4t1fa38p95u048070,ca,2.2,92714.0,silver,gray,v/m auto broker,7025,3300,Tue May 19 2015 05:30:00 GMT-0700 (PDT)
440045,2004,Buick,Rendezvous,CX,SUV,automatic,3g5da03ex4s574973,fl,2.8,154188.0,gray,gray,courtesy chrysler jeep dodge,2175,1100,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
440046,2004,Dodge,Ram Pickup 2500,SLT,Quad Cab,automatic,3d7ku28d64g107285,pa,4.2,78064.0,blue,black,crossroad motors llc,13250,15000,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
