num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
441999,2007,Toyota,Prius,Touring,Hatchback,automatic,jtdkb20u073210995,az,2.6,97349.0,black,gray,earnhardt,6700,7400,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
442000,2006,Acura,RSX,Base,Hatchback,automatic,jh4dc53856s023552,ny,2.5,112787.0,gray,gray,adk auto brokers inc,5725,5600,Thu May 21 2015 02:45:00 GMT-0700 (PDT)
442001,2007,Toyota,Yaris,Base,Hatchback,manual,jtdjt923475104169,fl,2.7,80445.0,red,gray,al hendrickson toyota,3825,3800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
442002,2006,Acura,TL,Base,Sedan,automatic,19uua662x6a043324,fl,1.9,111804.0,—,black,stream llc dba stream remarketing solutions,7550,4000,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
442003,2006,Acura,TL,Base,Sedan,automatic,19uua66256a054599,ca,3.6,155875.0,gray,gray,san diego sports cars,5625,6600,Wed May 20 2015 05:15:00 GMT-0700 (PDT)
442004,2007,Volkswagen,Rabbit,Base,Hatchback,manual,wvwar71k57w270948,nc,1.9,121253.0,black,gray,crossroads ford inc,3025,2100,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442005,2006,Acura,MDX,Base,SUV,automatic,2hnyd18226h551337,ny,1.9,237503.0,black,black,tdaf remarketing,1350,3050,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
442006,2007,Toyota,Tundra,Limited,CrewMax Cab,automatic,5tbev58157s465116,ca,3.7,76878.0,green,beige,south coast toyota,21300,22750,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
442007,2006,Cadillac,CTS,Base,Sedan,automatic,1g6dm57t560175794,fl,2.4,97923.0,black,black,onemain rem/auto club of miami inc dba north dad,5475,4500,Tue Jun 02 2015 09:00:00 GMT-0700 (PDT)
442008,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33506ps13844,fl,1.9,102709.0,black,—,mercedes benz of tampa,8125,7000,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
442009,2006,Buick,LaCrosse,CXL,Sedan,automatic,2g4wd582761121604,mn,3.3,60533.0,blue,gray,onemain rem/vossen motors,6925,7500,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
442010,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33566ks32458,ca,1.9,146825.0,blue,beige,coast sports cars inc,5175,5250,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
442011,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33566az87227,tx,3.4,128873.0,blue,beige,bmw of arlington,6925,6500,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
442012,2006,BMW,3 Series,330i,Sedan,automatic,wbavb33506ks33251,fl,3.5,128871.0,blue,beige,ford of port richey,6850,6500,Thu May 21 2015 02:40:00 GMT-0700 (PDT)
442013,2006,BMW,M5,Base,Sedan,automatic,wbsnb93596b582293,tx,2.7,146658.0,blue,black,bmw of arlington,6725,10300,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
442014,2006,Buick,LaCrosse,CXS,Sedan,automatic,2g4we587761159584,oh,2.9,87162.0,blue,gray,platinum auto group inc,5550,6500,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
442015,2006,Buick,Lucerne,CXL,Sedan,automatic,1g4hd57286u252510,pa,2.2,99386.0,gray,gray,remarketing of america,5475,3300,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
442016,2006,BMW,3 Series,325i,Sedan,automatic,wbavb135x6pt27838,fl,1.9,102204.0,white,beige,courtesy toyota of brandon,7175,7100,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
442017,2006,Chevrolet,Equinox,LT,SUV,automatic,2cndl63f866172591,fl,2.8,175374.0,gold,tan,courtesy kia of brandon,2625,2300,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
442018,2006,Chevrolet,Silverado 2500HD,LT3,Crew Cab,automatic,1gchk23d96f143879,sc,1.9,225333.0,gray,beige,primeritus remarketing/truck division of lowes,13550,12500,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
442019,2006,Chevrolet,Cobalt,LT,Sedan,automatic,1g1al55f767813110,ga,1.6,145911.0,red,gray,santander consumer,2125,375,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
442020,2006,Chevrolet,Colorado,LT,Regular Cab,automatic,1gccs146668292632,ny,4.7,59200.0,blue,gray,j zap llc,5400,8200,Thu May 21 2015 02:45:00 GMT-0700 (PDT)
442021,2006,Chevrolet,Express Cargo,1500,Van,automatic,1gcfg15x361147451,nc,2.8,218990.0,white,gray,ge fleet services for itself/servicer,2925,3800,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442022,2006,Chevrolet,Express Cargo,3500,Van,automatic,1gchg39ux61150691,fl,2.3,232710.0,white,gray,donlen exchange services inc,2650,5500,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
442023,2006,Chrysler,300,Touring,Sedan,automatic,2c3ka53g76h342677,ga,4.2,81378.0,black,—,santander consumer,6700,8300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
442024,2006,Chevrolet,Uplander,LS,Minivan,automatic,1gndv23l86d177358,nc,2.8,127153.0,white,gray,crossroads ford inc,2300,2900,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442025,2006,Chrysler,300,C,Sedan,automatic,2c3la63h36h193042,nc,3.5,148391.0,silver,gray,santander consumer,5475,4500,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442026,2006,Chevrolet,Impala,SS,Sedan,automatic,2g1wd58c069125677,nc,2.3,78688.0,black,black,santander consumer,6125,6900,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442027,2006,Chrysler,300,Base,Sedan,automatic,2c3la43r86h327265,ca,3.1,122233.0,white,gray,san diego sports cars,4975,5200,Wed May 20 2015 05:15:00 GMT-0700 (PDT)
442028,2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gnds13s862171680,nc,3.5,96000.0,white,gray,santander consumer,4975,6100,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442029,2006,Chevrolet,TrailBlazer,LS,SUV,automatic,1gndt13s962305593,nc,1.9,184648.0,black,tan,crossroads chrysler jeep dodge,1300,1300,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442030,2006,Chrysler,PT Cruiser,Touring,Wagon,automatic,3a4fy58b66t249303,nv,1.9,131742.0,beige,beige,lucky's auto sales,1550,900,Thu May 21 2015 04:45:00 GMT-0700 (PDT)
442031,2006,Chevrolet,Impala,LT,Sedan,automatic,2g1wc581269275887,ca,1.9,163645.0,blue,gray,credit acceptance corp/vrs/southfield,2350,1800,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
442032,2006,Dodge,Durango,SLT,SUV,automatic,1d4hb48246f187116,mi,2.2,116002.0,gold,beige,jepson car co llc,5900,5600,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
442033,2006,Dodge,Durango,SXT,SUV,automatic,1d4hd38k96f142418,fl,1.9,78399.0,red,gray,east coast financial,3900,4000,Fri May 22 2015 02:25:00 GMT-0700 (PDT)
442034,2006,Dodge,Ram Pickup 2500,Laramie,Quad Cab,automatic,3d7ks28c56g290372,fl,2.5,216911.0,black,gray,coggin honda of st. augustine,15100,15200,Thu May 21 2015 06:00:00 GMT-0700 (PDT)
442035,2006,Dodge,Ram Pickup 3500,Laramie,Quad Cab,manual,3d7mx48c06g202320,tx,3.1,52490.0,gray,gray,tdaf remarketing,28900,26000,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
442036,2006,Chrysler,Sebring,Touring,Sedan,automatic,1c3el56r86n249405,ca,1.9,140643.0,blue,black,credit acceptance corp/vrs/southfield,1200,1200,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
442037,2006,Dodge,Charger,SRT-8,Sedan,automatic,2b3ka73w96h472847,nv,2.5,97145.0,black,black,abs finance,13400,12750,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
442038,2006,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmfu17546la91427,nc,1.9,123673.0,black,beige,crossroads infiniti south inc,6450,6300,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442039,2006,Ford,Explorer,XLT,SUV,automatic,1fmeu73e46ua94178,wa,2.8,126505.0,silver,beige,larson motors,4625,3600,Wed May 20 2015 07:10:00 GMT-0700 (PDT)
442040,2006,Ford,Escape Hybrid,Base,SUV,automatic,1fmyu95h86kc09022,mo,3.4,142123.0,silver,gray,a & s auto and truck sales llc,3575,4900,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
442041,2006,Ford,Explorer,Limited,SUV,automatic,1fmeu75856ua17424,pa,2.7,120112.0,black,black,credit acceptance corp/vrs/southfield,6200,4100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
442042,2006,Ford,Econoline Cargo,E-350 Super Duty,Van,automatic,1ftse34p96ha04674,pa,3.4,85176.0,black,gray,charles & son auto sls inc,5500,8100,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
442043,2006,Ford,F-150,FX4,SuperCrew,automatic,1ftpw14586fb08302,mi,3.8,97120.0,black,black,automobiles paille inc,13250,12900,Thu May 21 2015 02:30:00 GMT-0700 (PDT)
442044,2006,Ford,F-150,XLT,SuperCrew,automatic,1ftpw12516kd52142,ne,3.2,110274.0,silver,gray,enterprise vehicle exchange/davenport,9025,7700,Thu May 21 2015 03:30:00 GMT-0700 (PDT)
442045,2006,Ford,Five Hundred,SEL,Sedan,automatic,1fafp24196g138128,fl,1.9,177225.0,gray,gray,united acceptance,2000,750,Tue May 19 2015 17:00:00 GMT-0700 (PDT)
442046,2006,Ford,Focus,ZX3 SES,Hatchback,automatic,1fahp31n36w215717,fl,1.9,151643.0,black,gray,enterprise vehicle exchange / rental / tulsa,1325,1100,Fri May 22 2015 02:25:00 GMT-0700 (PDT)
442047,2006,Honda,Civic,Hybrid,Sedan,automatic,jhmfa36246s023388,nc,1.9,130235.0,silver,—,crossroads ford of wake forest inc,3375,3200,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442048,2006,Ford,Freestyle,SEL,Wagon,automatic,1fmdk051x6ga55953,nc,2.6,194991.0,black,gray,crossroads ford of kernersville inc,1750,900,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442049,2006,GMC,Yukon,Denali,SUV,automatic,1gkek63u06j149579,nc,2.7,139620.0,silver,beige,santander consumer,8475,7200,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442050,2006,Ford,Ranger,SPORT,SuperCab,automatic,1ftyr14u06pa53874,fl,4.0,165517.0,silver,gray,coggin deland honda,4000,5200,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
442051,2006,Ford,Taurus,SEL,Sedan,automatic,1fafp56u96a250827,pa,2.4,104294.0,gray,gray,street track-n-trail inc,2275,2200,Wed May 20 2015 02:30:00 GMT-0700 (PDT)
442052,2006,Infiniti,FX35,Base,SUV,automatic,jnras08w26x206895,pa,4.0,39842.0,—,beige,r hollenshead auto sales inc,15500,16900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
442053,2006,Infiniti,G35,Base,Coupe,automatic,jnkcv54e16m709098,sc,3.5,84824.0,silver,black,a plus auto sales inc,10350,10900,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
442054,2006,Jeep,Grand Cherokee,Limited,SUV,automatic,1j8hr58236c320098,ca,2.9,140820.0,silver,gray,premium auto wholesale,6725,7200,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
442055,2006,Infiniti,M35,Base,Sedan,automatic,jnkay01ex6m101750,tx,1.9,144250.0,brown,black,bmw of arlington,7725,6900,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
442056,2006,Jeep,Liberty,Limited,SUV,automatic,1j8gl58596w111857,fl,4.4,140106.0,red,gray,zimmerman auto brokers inc,5450,5500,Wed May 27 2015 02:40:00 GMT-0700 (PDT)
442057,2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48kx6w103543,nc,2.5,79920.0,silver,gray,santander consumer,6450,6700,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442058,2006,Infiniti,QX56,Base,SUV,automatic,5n3aa08c96n813674,nc,3.6,104599.0,black,gray,crossroads infiniti inc,13700,15300,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442059,2006,MINI,Cooper,S,Convertible,automatic,wmwrh33586tk59073,pa,2.9,90736.0,red,black,r hollenshead auto sales inc,5550,5400,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
442060,2006,Ford,Altima,Base,Sedan,manual,1j4fa44s26p702826,ga,2.6,130841.0,beige,gray,capital one auto finance,10850,10100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
442061,2006,Lexus,RX 400h,Base,SUV,automatic,jtjhw31u262002833,wa,3.4,125343.0,black,black,lexus of tacoma at fife,9425,11800,Wed May 27 2015 06:20:00 GMT-0700 (PDT)
442062,2006,Lexus,IS 350,Base,Sedan,automatic,jthbe262062004236,wa,3.7,99977.0,gray,beige,lexus of tacoma at fife,10250,14750,Wed May 27 2015 06:20:00 GMT-0700 (PDT)
442063,2006,Kia,Sportage,LX,SUV,automatic,kndjf724767245860,pa,2.1,146246.0,blue,black,adcock brothers inc,3175,3000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
442064,2006,Ford,Altima,Base,Sedan,manual,1j4fa39s06p770951,nv,2.3,63468.0,red,gray,lighthouse acceptance corp,14400,13500,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
442065,2006,Lincoln,Town Car,Signature,Sedan,automatic,1lnhm81w26y608083,nc,3.4,104961.0,gold,tan,chrysler capital,3750,5000,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
442066,2006,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d16c265848,ga,1.9,122068.0,silver,gray,capital one auto finance,3125,3500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
442067,2006,Mitsubishi,Eclipse,GT,Hatchback,automatic,4a3ak34t06e023050,ca,2.7,81078.0,gray,gray,nationwide motor vehicles,4475,6000,Tue May 26 2015 17:00:00 GMT-0700 (PDT)
442068,2006,Mercedes-Benz,E-Class,E350 4MATIC,Wagon,automatic,wdbuh87j56x187287,tx,3.8,101276.0,blue,beige,mercedes benz of georgetown,7550,6100,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
442069,2006,Mercedes-Benz,CLS-Class,CLS500,Sedan,automatic,wdddj75x26a018666,pa,4.1,69973.0,silver,black,r hollenshead auto sales inc,16000,18800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
442070,2006,Mitsubishi,Lancer,ES,Sedan,automatic,ja3aj26e96u063355,nc,3.4,92358.0,silver,—,crossroads ford of wake forest inc,3550,5000,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
442071,2006,Mercedes-Benz,R-Class,R350,Wagon,automatic,4jgcb65e76a017164,fl,1.9,116167.0,black,black,onemain rem/cars under 5000,6650,6300,Fri May 22 2015 03:05:00 GMT-0700 (PDT)
442072,2006,Mazda,MX-5 Miata,Base,Convertible,manual,jm1nc25f860120286,pa,3.8,63910.0,red,black,smith haven mazda,8300,9000,Fri May 29 2015 02:15:00 GMT-0700 (PDT)
442073,2006,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56j86a892335,ca,2.4,95794.0,blue,black,mercedes-benz finc wholesale advantage,7325,5750,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
