num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
443999,2014,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8ea965111,ga,4.7,8947.0,white,black,mercedes-benz financial services,24200,25000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444000,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb6eb046205,ga,4.4,10142.0,black,black,mercedes-benz financial services,40300,38500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444001,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb0eb025768,ga,4.7,10517.0,gray,gray,mercedes-benz financial services,40200,40000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444002,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb0eb026368,ga,4.9,14106.0,black,—,mercedes-benz financial services,39600,39250,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444003,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb2ea973028,ga,4.5,13636.0,black,black,mercedes-benz financial services,39600,39250,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444004,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb7ea882109,ga,4.6,23637.0,black,black,mercedes-benz financial services,37800,37500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444005,2014,Mercedes-Benz,CLA-Class,CLA250 4MATIC,Sedan,automatic,wddsj4gb6en139960,ga,4.6,11689.0,white,gray,mercedes-benz financial services,31100,32500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444006,2014,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8jb4eg291734,ga,4.8,10329.0,—,beige,mercedes-benz financial services,36200,36000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444007,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb7eb027033,ga,4.6,14566.0,white,—,mercedes-benz financial services,39500,39750,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444008,2014,Mercedes-Benz,GLK-Class,GLK350,SUV,automatic,wdcgg5hb1eg199825,tx,4.9,44313.0,white,tan,mercedes benz of tyler,26900,27800,Thu May 21 2015 04:00:00 GMT-0700 (PDT)
444009,2014,Mercedes-Benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb5ea973735,ga,4.7,14963.0,gray,gray,mercedes-benz financial services,39400,39750,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
444010,2014,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu4eu018079,fl,4.1,15492.0,red,black,"consolidated asset recovery systems, inc.",11050,11000,Fri May 22 2015 03:05:00 GMT-0700 (PDT)
444011,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap4ec136099,ga,3.7,34665.0,—,black,nissan motor acceptance corporation,14450,14000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444012,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap5en225782,ga,4.2,18914.0,—,gray,nissan motor acceptance corporation,14100,13500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444013,2014,Nissan,Altima,2.5 S,Sedan,automatic,1n4al3ap2ec178724,fl,4.0,16676.0,beige,gold,firkins nissan,19450,20000,Thu May 21 2015 03:15:00 GMT-0700 (PDT)
444014,2014,Nissan,NV Cargo,2500 S,Van,automatic,1n6bf0ly8en101481,sc,4.1,53895.0,white,gray,enterprise veh exchange/rental,19950,19200,Thu May 21 2015 02:15:00 GMT-0700 (PDT)
444015,2014,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap6ec470121,ga,3.8,32397.0,burgundy,black,avis corporation,16200,16000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444016,2014,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap0ec492910,ga,4.4,9581.0,blue,black,nissan motor acceptance corporation,21600,20300,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444017,2014,Nissan,Maxima,3.5 S,Sedan,automatic,1n4aa5ap8ec465812,ga,2.5,21217.0,white,black,nissan motor acceptance corporation,17150,14800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444018,2014,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap8ec458262,ga,4.7,10901.0,blue,tan,nissan motor acceptance corporation,24200,24000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444019,2014,Nissan,Rogue Select,S,SUV,automatic,jn8as5mt3ew615599,nc,2.8,8648.0,red,—,regional acceptance corporation / greenville,15600,15200,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
444020,2014,Nissan,Sentra,S,Sedan,automatic,3n1ab7ap4ey241692,tn,3.9,24995.0,gray,black,nissan motor acceptance corporation,11050,11000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
444021,2014,Nissan,Sentra,SR,Sedan,automatic,3n1ab7ap9ey301417,wa,5.0,216.0,black,black,bellevue nissan,13600,15100,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
444022,2014,Nissan,Sentra,FE+ SV,Sedan,automatic,3n1ab7ap2el633549,ga,3.3,29562.0,white,black,avis corporation,11350,11300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
444023,2014,Nissan,Rogue Select,S,SUV,automatic,jn8as5mt0ew619531,ga,4.6,5444.0,gray,gray,nissan motor acceptance corporation,16100,15800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444024,2014,Nissan,Sentra,FE+ S,Sedan,automatic,3n1ab7ap4ey263532,ga,4.3,4583.0,purple,gray,nissan motor acceptance corporation,12600,11600,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
444025,2014,Nissan,Pathfinder,Platinum,SUV,automatic,5n1ar2mn7ec626013,tn,4.2,24915.0,white,beige,nissan north america inc.,29000,26600,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
