num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
450999,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae9dh416570,fl,4.6,20274.0,brown,tan,hyundai of new port richey,11550,11900,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451000,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae9dh227708,nj,3.1,51153.0,white,tan,the hertz corporation,9525,9200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
451001,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae7dh315432,nj,2.8,21483.0,black,gray,hyundai motor finance,11400,10900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451002,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae1dh326524,pa,3.5,18844.0,black,gray,hyundai motor finance,11500,11300,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451003,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae7dh191601,nj,2.6,24006.0,black,gray,hyundai motor finance,11250,9400,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451004,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae5dh335775,co,3.6,38277.0,gray,gray,avis corporation,10400,10500,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
451005,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae9du814332,fl,4.2,19237.0,silver,gray,hyundai motor finance,11600,12100,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
451006,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae0dh201580,nj,3.5,34661.0,gray,gray,hyundai motor finance,10600,9500,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451007,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh289797,nj,4.2,33329.0,black,beige,hyundai motor finance,10600,11000,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
451008,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh267744,nj,2.9,51285.0,white,beige,the hertz corporation,9525,9100,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
451009,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4aexdu617492,fl,2.6,26308.0,gray,gray,hyundai motor finance,11050,10500,Thu Jun 04 2015 03:20:00 GMT-0700 (PDT)
451010,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae5du788540,nj,3.8,18604.0,red,beige,hyundai motor finance,11550,11200,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451011,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae2dh154097,nj,4.4,21067.0,white,beige,hyundai motor finance,11400,11000,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451012,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du790201,nj,3.7,51367.0,blue,beige,the hertz corporation,9625,9500,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451013,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae1dh330783,pa,4.8,21871.0,gray,gray,hyundai motor finance,11350,11800,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451014,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae5du755358,fl,3.9,24073.0,silver,gray,hyundai motor finance,11300,11500,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
451015,2013,Hyundai,Elantra,GLS,Sedan,automatic,kmhdh4ae4du605614,pa,3.8,36654.0,blue,gray,hyundai motor finance,10450,10500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451016,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae3dh160264,nj,2.8,35318.0,white,beige,hyundai motor finance,10550,9800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451017,2013,Hyundai,Elantra,GLS,Sedan,automatic,5npdh4ae4dh309717,pa,4.5,19496.0,burgundy,beige,hyundai motor finance,11500,11700,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451018,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2dh524243,nj,3.8,26621.0,white,tan,hyundai motor finance,12550,12100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451019,2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,automatic,kmhdh6ae9du002699,nj,2.7,31128.0,gray,gray,hyundai motor finance,11050,9400,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451020,2013,Hyundai,Santa Fe,GLS,SUV,automatic,km8sm4hfxdu005424,ms,4.0,18923.0,white,black,advancial fcu,20500,21200,Thu May 28 2015 03:15:00 GMT-0700 (PDT)
451021,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd6du212471,nc,4.0,64538.0,purple,tan,parkway automotive group,12200,15400,Fri May 29 2015 02:30:00 GMT-0700 (PDT)
451022,2013,Hyundai,Elantra,Limited,sedan,automatic,5npdh4ae2dh210717,fl,4.7,35624.0,black,gray,mazda of wesley chapel,13250,13300,Thu May 28 2015 02:50:00 GMT-0700 (PDT)
451023,2013,Hyundai,Elantra,Limited,sedan,automatic,5npdh4ae2dh229736,pa,3.9,29345.0,gray,gray,hyundai motor finance,13550,13500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451024,2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae4du983609,nv,4.3,19962.0,silver,black,centennial hyundai,14150,14000,Fri May 22 2015 04:55:00 GMT-0700 (PDT)
451025,2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,automatic,kmhdh6ae0du020038,pa,3.7,15323.0,black,gray,hyundai motor finance,11350,12000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451026,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac9dh698729,nv,4.5,21296.0,red,beige,centennial hyundai,12850,13000,Fri May 29 2015 04:55:00 GMT-0700 (PDT)
451027,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae9dh374403,fl,3.7,9888.0,red,black,hyundai motor finance,14800,14500,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
451028,2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,manual,kmhdh6ae6du018634,nj,3.3,20408.0,silver,black,hyundai motor finance,11600,10900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451029,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae3dh328453,pa,4.0,23271.0,gray,gray,hyundai motor finance,13700,14100,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
451030,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh653957,nj,4.2,25066.0,white,gray,hyundai motor finance,12650,13200,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451031,2013,Hyundai,Santa Fe,Sport 2.0T,SUV,automatic,5xyzw3la5dg033782,nj,4.9,9532.0,gray,gray,hyundai motor finance,21300,24800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451032,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac2dh636833,nj,4.4,20738.0,white,beige,hyundai motor finance,12900,13400,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451033,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae9dh270834,nj,4.3,7414.0,black,black,hyundai motor finance,14750,14300,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451034,2013,Hyundai,Elantra,Limited,sedan,automatic,5npdh4ae6dh160629,pa,3.6,34808.0,white,brown,hyundai motor finance,13300,12500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451035,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac4dh602215,nj,2.9,31195.0,silver,gray,hyundai motor finance,12200,10600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
451036,2013,Hyundai,Elantra,Limited,sedan,automatic,5npdh4ae6dh316085,nj,2.8,22949.0,white,tan,hyundai motor finance,13900,13200,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451037,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh784294,nv,4.1,22827.0,white,beige,centennial hyundai,12850,13100,Fri May 22 2015 04:55:00 GMT-0700 (PDT)
451038,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac1dh589102,pa,4.3,29180.0,silver,gray,hyundai motor finance,12350,12800,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451039,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd3du253771,fl,5.0,6779.0,charcoal,tan,mazda of wesley chapel,21000,23000,Thu May 28 2015 02:50:00 GMT-0700 (PDT)
451040,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyzt3lb5dg021102,fl,4.4,32762.0,red,tan,hyundai of new port richey,18200,16200,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451041,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae4dh273334,nj,4.2,26285.0,white,brown,hyundai motor finance,13750,14200,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451042,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae3dh160121,nj,4.3,11769.0,silver,gray,hyundai motor finance,14550,14700,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451043,2013,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35le2du091487,pa,4.7,25792.0,gray,black,hyundai motor finance,12850,13000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451044,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb2dg037053,co,4.3,57558.0,black,gray,the hertz corporation,16850,16700,Wed May 27 2015 04:45:00 GMT-0700 (PDT)
451045,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh701829,nj,4.3,23021.0,black,tan,hyundai motor finance,12800,13100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451046,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd0du216046,nc,2.7,48100.0,silver,—,primeritus remarketing/coastal fcu,14950,16000,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
451047,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae8dh301099,pa,3.1,21160.0,white,beige,hyundai motor finance,14000,12900,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451048,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac2dh674661,nj,4.3,17560.0,black,black,hyundai motor finance,13100,13100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451049,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4acxdh575991,pa,3.7,20001.0,blue,gray,hyundai motor finance,12950,12500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451050,2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4aexdu687011,nj,3.5,39712.0,black,gray,hyundai motor finance,13000,12900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451051,2013,Hyundai,Elantra,Limited,Sedan,automatic,kmhdh4ae1du697622,nj,4.2,22784.0,red,black,hyundai motor finance,13950,13900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451052,2013,Hyundai,Elantra GT,Base,Hatchback,automatic,kmhd35le6du156678,fl,4.7,14334.0,red,black,mazda of wesley chapel,13450,13100,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451053,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyzt3lb5dg064340,az,4.8,46552.0,white,black,chapman scottsdale autoplex llc,17100,16700,Thu May 21 2015 05:00:00 GMT-0700 (PDT)
451054,2013,Hyundai,Genesis,3.8,Sedan,automatic,kmhgc4dd9du226428,az,2.0,48584.0,white,beige,the hertz corporation,15150,13000,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
451055,2013,Hyundai,Elantra GT,Base,Hatchback,manual,kmhd35lexdu034602,tn,4.4,46483.0,—,blue,ford-lincoln dealer program,12150,13000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
451056,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae4dh268036,tn,3.3,55445.0,black,black,the hertz corporation,9275,10100,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
451057,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae0dh404128,ga,2.6,25644.0,red,gray,santander consumer,11050,10900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
451058,2013,Hyundai,Elantra Coupe,SE,Elantra Coupe,automatic,kmhdh6ae6du010078,nj,3.9,13539.0,gray,black,hyundai motor finance,14400,13900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451059,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae4dh190518,sc,3.8,35629.0,black,beige,andrew thomas motorcars,13300,13800,Thu May 21 2015 03:00:00 GMT-0700 (PDT)
451060,2013,Hyundai,Elantra Coupe,GS,Elantra Coupe,automatic,kmhdh6ae2du019943,pa,3.0,15829.0,blue,black,hyundai motor finance,11350,11600,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451061,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1dh506882,pa,3.6,16577.0,black,tan,hyundai motor finance,13150,12000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451062,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae6dh276073,nj,4.2,15852.0,gold,beige,hyundai motor finance,14300,13700,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451063,2013,Hyundai,Elantra,Limited,Sedan,automatic,5npdh4ae1dh179394,pa,4.0,20388.0,gray,gray,hyundai motor finance,14050,13800,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451064,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac1dh648178,nj,3.5,36833.0,white,beige,hyundai motor finance,11950,11300,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451065,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac7dh517613,pa,3.3,50441.0,blue,gray,hyundai motor finance,11050,10300,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451066,2013,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexdm771006,pa,4.0,31453.0,black,red,nissan north america inc.,31000,28800,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
451067,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab1dh609417,fl,4.2,35430.0,red,beige,mazda of wesley chapel,15550,15200,Thu May 28 2015 02:50:00 GMT-0700 (PDT)
451068,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0dm722549,ca,4.6,8459.0,gray,black,nissan north america inc.,22600,18500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
451069,2013,Hyundai,Veloster,Base,Hatchback,manual,kmhtc6ad9du131821,fl,2.9,24049.0,black,beige,hyundai of new port richey,13300,12900,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451070,2013,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6aexdu181295,pa,3.8,23368.0,silver,black,hyundai motor finance,14800,14200,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451071,2013,Infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5dm302821,fl,4.2,6767.0,white,black,nissan infiniti lt,22800,23200,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
451072,2013,Hyundai,Veloster,Base,Hatchback,manual,kmhtc6ad0du172337,fl,5.0,6310.0,red,black,mazda of wesley chapel,14600,13100,Thu May 28 2015 02:50:00 GMT-0700 (PDT)
451073,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh526650,nj,3.9,42952.0,black,black,hyundai motor finance,11550,11100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451074,2013,Infiniti,FX,FX37,SUV,automatic,jn8cs1mu2dm140080,ca,2.8,25767.0,white,black,nissan infiniti lt,30400,27750,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
451075,2013,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad9du145637,fl,3.9,35213.0,black,black,hyundai of new port richey,12500,13300,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451076,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh526514,nj,4.1,38746.0,black,gray,hyundai motor finance,11700,11700,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
451077,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac5dh698839,fl,4.9,50608.0,blue,gray,mazda of wesley chapel,11200,11300,Thu May 21 2015 02:50:00 GMT-0700 (PDT)
451078,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek5dm923233,fl,2.6,9246.0,white,gray,infiniti financial services,24800,21200,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
451079,2013,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fexdm230456,pa,4.2,9591.0,white,beige,nissan north america inc.,32500,29600,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
451080,2013,Hyundai,Sonata,SE,Sedan,automatic,5npec4ab3dh520870,fl,3.8,10487.0,silver,gray,hyundai motor finance,15200,16300,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
451081,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ekxdm922756,ca,2.3,17303.0,gray,black,nissan infiniti lt,24000,20250,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
451082,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4ab7dh540717,nj,3.6,13635.0,black,black,hyundai motor finance,16950,18100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451083,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac8dh566559,pa,3.7,38787.0,red,tan,hyundai motor finance,11800,11400,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451084,2013,Hyundai,Veloster,Turbo,Hatchback,automatic,kmhtc6ae2du121348,oh,3.8,18005.0,red,black,wells fargo dealer services,15050,15000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
451085,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac8dh744812,il,2.9,50135.0,gray,—,the hertz corporation,11100,11400,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
451086,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh518631,pa,3.6,42515.0,blue,tan,hyundai motor finance,11550,11100,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
451087,2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6dh595526,nj,2.9,33431.0,white,beige,hyundai motor finance,12150,10800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451088,2013,Hyundai,Veloster,Base,Hatchback,automatic,kmhtc6ad1du170645,mn,5.0,22345.0,gray,black,maplewood toyota,13400,14000,Thu May 21 2015 03:45:00 GMT-0700 (PDT)
451089,2013,Hyundai,Sonata,Limited,Sedan,automatic,5npec4acxdh603043,nv,3.8,40991.0,off-white,beige,findlay kia,15050,16100,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
451090,2013,Infiniti,G Convertible,G37,G Convertible,automatic,jn1cv6fe5dm772614,pa,4.3,22883.0,—,black,nissan infiniti lt,30400,31000,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
451091,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac6dh549758,pa,3.7,36059.0,blue,gray,hyundai motor finance,11750,11100,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
451092,2013,Infiniti,G Coupe,G37 Sport,G Coupe,automatic,jn1cv6ek0dm922801,ca,2.8,12954.0,black,black,nissan infiniti lt,24300,22500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
451093,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar2dm352030,il,3.4,19876.0,blue,black,nissan infiniti lt,21600,19200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
451094,2013,Infiniti,G Coupe,G37x,G Coupe,automatic,jn1cv6elxdm950288,pa,4.3,22426.0,gray,black,nissan infiniti lt,23800,23800,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
451095,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar5dm757816,co,4.9,31560.0,white,beige,infiniti financial services,20300,21000,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
451096,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6arxdm754166,pa,4.1,36811.0,black,gray,nissan infiniti lt,19650,21600,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
451097,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9dm352977,nj,3.6,12191.0,blue,beige,nissan infiniti lt,22600,21000,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451098,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar4dm759685,nj,4.6,17694.0,white,black,nissan infiniti lt,22000,23500,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
451099,2013,Infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar9dm762128,nj,3.6,24640.0,blue,gray,nissan infiniti lt,21000,19800,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
