num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
451999,2007,Honda,Civic,LX,Sedan,automatic,1hgfa16577l007392,nj,2.4,91350.0,white,beige,lester glenn buick,5875,6200,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
452000,2007,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38717b430343,ma,2.7,120426.0,white,tan,boch new to you superstore,7425,6200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
452001,2007,Honda,Civic,EX,Coupe,automatic,2hgfg12877h540824,pa,2.2,99007.0,blue,gray,r hollenshead auto sales inc,5525,4300,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
452002,2007,HUMMER,H3,Base,SUV,automatic,5gtdn13e478153095,nc,2.9,96583.0,blue,black,remarketing by ge/manheim north carolina,11550,11900,Mon May 25 2015 02:00:00 GMT-0700 (PDT)
452003,2007,Mercedes-Benz,S-Class,S550 4MATIC,Sedan,automatic,wddng86x07a120721,nc,2.8,91745.0,beige,tan,primeritus remarketing/cci,19350,20400,Mon May 25 2015 02:30:00 GMT-0700 (PDT)
452004,2007,Mercedes-Benz,E-Class,E350,Sedan,automatic,wdbuf56x57b075954,pa,3.6,77927.0,silver,gray,alans autos,11200,12200,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452005,2007,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71x67a109644,fl,3.5,73306.0,black,tan,coral cadillac inc,20700,19800,Fri May 22 2015 02:35:00 GMT-0700 (PDT)
452006,2007,Lexus,GS 350,Base,Sedan,automatic,jthce96s070011570,pa,3.1,140375.0,black,gray,r hollenshead auto sales inc,10350,10900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452007,2007,Ford,Altima,Base,Sedan,manual,jm1fe173870213192,tx,2.3,999999.0,red,tan,wells fargo dealer services,3575,1200,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
452008,2007,Mercedes-Benz,S-Class,S550,Sedan,automatic,wddng71xx7a117441,pa,4.1,149037.0,white,gray,adcock brothers inc,13200,13900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452009,2007,Lexus,ES 350,Base,Sedan,automatic,jthbj46g272027988,pa,2.9,96423.0,silver,black,lindsay lexus of alexandria,10450,11000,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452010,2007,Mercury,Montego,Base,Sedan,automatic,1mefm40127g603966,fl,1.9,64689.0,black,black,bmw alphera/alphera financial services,5250,4000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
452011,2007,Saturn,VUE,Base,SUV,automatic,5gzcz33d97s830203,ms,3.0,107653.0,gray,gray,gm financial,3650,3000,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
452012,2007,Nissan,Altima,2.5 S,Sedan,automatic,1n4al21e77c138151,fl,2.0,129898.0,silver,gray,courtesy hyundai,4650,4800,Thu May 21 2015 09:20:00 GMT-0700 (PDT)
452013,2007,Pontiac,Torrent,Base,SUV,automatic,2ckdl73f676048596,mo,2.2,93691.0,gray,black,meridian remarketing,5625,5600,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
452014,2007,Ford,Altima,Base,Sedan,automatic,jf1sg63657h710102,pa,2.5,81953.0,red,beige,r hollenshead auto sales inc,7875,6800,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452015,2006,Acura,TL,Base,Sedan,automatic,19uua66256a057485,oh,2.8,111696.0,gray,gray,international motor car company,7125,8400,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
452016,2007,Toyota,Camry,LE,Sedan,automatic,4t1be46k77u170316,pa,2.2,99601.0,black,gray,buick gmc of mahwah,6700,6600,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452017,2007,Volkswagen,Jetta,2.5 PZEV,Sedan,automatic,3vwpg71k17m172173,nv,2.4,85967.0,black,black,autofinders inc,4275,4900,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
452018,2007,Toyota,Avalon,XLS,Sedan,automatic,4t1bk36bx7u198551,oh,2.3,93054.0,gold,tan,r & r auto sales,8800,9800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
452019,2007,Toyota,Camry,LE,Sedan,automatic,4t1be46k47u564369,md,2.0,61614.0,white,gray,santander consumer,7500,7100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
452020,2007,Volkswagen,Touareg,V6,SUV,automatic,wvgze77l37d027029,fl,3.8,116685.0,blue,gray,d&a fine cars,6775,6300,Fri May 22 2015 02:25:00 GMT-0700 (PDT)
452021,2006,BMW,X5,3.0i,SUV,automatic,5uxfa13586ly31465,pa,4.2,94809.0,gray,black,r hollenshead auto sales inc,8450,9600,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452022,2006,BMW,Z4,3.0i,Convertible,automatic,4usbu33576lw68403,pa,4.0,111520.0,red,black,adcock brothers inc,9150,10900,Fri May 22 2015 02:00:00 GMT-0700 (PDT)
452023,2006,BMW,7 Series,750i,Sedan,automatic,wbahl83526dt05630,nj,2.7,82544.0,gray,black,"jpmorgan chase bank,n.a.",10100,10700,Wed Jul 01 2015 06:30:00 GMT-0700 (PDT)
452024,2006,BMW,X3,3.0i,SUV,automatic,wbxpa93436wd30421,md,3.2,128861.0,black,gray,darcars chrysler jeep of rockville,5775,4700,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
452025,2006,BMW,7 Series,750Li,Sedan,automatic,wbahn83506dt25806,fl,3.3,91173.0,silver,black,coggin toyota at the avenues,10200,9400,Thu May 21 2015 06:00:00 GMT-0700 (PDT)
