num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
453999,2012,Ram,3500,Laramie,Crew Cab,automatic,3c63d3jl2cg292169,fl,3.2,64577.0,black,black,tdaf remarketing,36700,39400,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
454000,2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c7xc3036802,tx,2.7,38892.0,black,black,santander consumer,11900,12300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
454001,2012,Ram,1500,SLT,Regular Cab,automatic,3c6jd7bp5cg259926,tx,2.0,45854.0,black,black,santander consumer,14950,16000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
454002,2012,Ram,C/V Cargo Van,Base,Minivan,automatic,2c4jdgag0cr404617,ca,1.0,44488.0,white,black,ge fleet services for itself/servicer,11450,4250,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
454003,2012,Scion,tC,Base,Hatchback,automatic,jtkjf5c77c3035770,oh,3.5,36537.0,white,black,toyota financial services,12100,12100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454004,2012,smart,fortwo,passion coupe,Hatchback,automatic,wmeej3ba6ck560545,ga,4.8,35801.0,black,black,mercedes-benz financial services,5125,5500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
454005,2012,Suzuki,Grand Vitara,Premium,SUV,automatic,js3td0d2xc4101414,ut,2.6,54711.0,blue,black,"consolidated asset recovery systems, inc.",7975,9000,Wed May 27 2015 04:30:00 GMT-0700 (PDT)
454006,2012,Nissan,Xterra,X,SUV,automatic,5n1an0nuxcc518584,ca,3.9,61244.0,white,gray,"jpmorgan chase bank,n.a.",12750,13250,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
454007,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu054454,mo,3.3,55548.0,silver,black,santander consumer,12900,13100,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
454008,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk8cu014078,oh,3.4,14369.0,black,beige,toyota financial services,13650,13400,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454009,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk1cu147104,oh,4.4,35711.0,white,black,toyota financial services,13950,14800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454010,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk9cu105313,pa,4.9,34592.0,gray,black,brown daub chrysler jeep dodge,14000,14100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454011,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0cu518821,oh,3.4,34865.0,white,tan,toyota financial services,12700,12500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454012,2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk2cr180697,oh,2.8,20738.0,gray,gray,toyota financial services,13350,12800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454013,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fkxcu585152,oh,4.0,18787.0,blue,gray,toyota financial services,13450,13300,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454014,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk9cu121320,oh,3.5,39614.0,silver,gray,toyota financial services,12450,12000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454015,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk0cu081564,oh,3.6,29108.0,black,gray,toyota financial services,14100,13000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
454016,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk8cu096040,oh,2.5,33849.0,black,gray,toyota financial services,14050,13000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454017,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk7cu580250,oh,3.1,29069.0,blue,black,toyota financial services,14100,13300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
454018,2012,Toyota,Camry,LE,Sedan,automatic,4t1bf1fk0cu599271,oh,3.4,22058.0,green,tan,toyota financial services,13050,12600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
454019,2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk9cr249031,oh,3.6,15104.0,blue,gray,toyota financial services,13650,13400,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
454020,2012,Toyota,Camry,LE,Sedan,automatic,4t4bf1fk3cr180546,tn,3.3,51694.0,black,beige,wholesale inc # 2,11850,13900,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
454021,2012,Toyota,Camry,SE,Sedan,automatic,4t1bf1fk6cu019442,fl,4.1,66108.0,black,gray,"pnc bank, national association",12400,12000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
