num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
454999,2009,Chevrolet,Traverse,LS,SUV,automatic,1gner13d59s134947,ca,2.7,83593.0,white,gray,800 loan mart,9750,10600,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
455000,2009,Chevrolet,Malibu,LS,Sedan,automatic,1g1zg57b89f226944,ca,3.7,93758.0,silver,gray,wheels exchange llc,6250,7700,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
455001,2009,Chrysler,PT Cruiser,Base,Wagon,automatic,3a8fy48909t588472,ca,3.4,74515.0,blue,gray,tdaf remarketing,3650,3600,Tue May 26 2015 05:00:00 GMT-0700 (PDT)
455002,2009,Chevrolet,Impala,LT,Sedan,automatic,2g1wt57k891212788,il,1.7,131633.0,black,tan,prestige financial services,4525,1300,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
455003,2009,Dodge,Avenger,SE,Sedan,automatic,1b3lc46bx9n551512,mn,1.9,89817.0,black,black,capital one auto finance,5025,2700,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
455004,2009,Chrysler,Town and Country,Limited,Minivan,automatic,2a8hr64x59r627534,in,2.8,101536.0,silver,gray,santander consumer,9350,8200,Thu May 28 2015 03:10:00 GMT-0700 (PDT)
455005,2009,Chrysler,300,Limited,Sedan,automatic,2c3ka33v39h588861,oh,2.7,71854.0,gray,black,159191 canada inc,10100,10400,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
455006,2009,Chevrolet,Express Cargo,2500,Van,automatic,1gcgg29k691150163,ca,3.4,64072.0,white,gray,wheels exchange llc,13650,15000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
455007,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxe7350180,tx,4.2,24747.0,blue,black,gm financial,12100,11100,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
455008,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fc1e33e9194314,pa,4.8,8245.0,blue,beige,jack pfister autos,22600,25600,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
455009,2014,Chevrolet,Cruze,1LT,Sedan,automatic,1g1pc5sbxe7205236,wi,4.8,18115.0,gray,black,gm financial leasing,12400,13700,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
455010,2014,Chevrolet,Captiva Sport,LT Fleet,SUV,automatic,3gnal3ek2es588126,fl,3.0,31138.0,silver,black,enterprise veh exchange/rental,15250,14000,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
455011,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb2e7263549,wi,4.3,14453.0,red,gray,gm financial,12600,13500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
455012,2014,Chevrolet,Camaro,LT,Convertible,automatic,2g1fb3d30e9140694,tn,4.5,23481.0,gray,gray,ford-lincoln dealer program,22500,22200,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
455013,2014,Chevrolet,Camaro,LT,Coupe,automatic,2g1fc1e34e9277976,tx,4.9,3718.0,yellow,black,music city autoplex llc,23300,28800,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
