num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
457999,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d8xdgb07435,tx,4.1,24452.0,—,beige,"ford motor credit company,llc",26800,27400,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
458000,2013,Ford,Escape,Titanium,SUV,automatic,1fmcu0j92dub61555,oh,4.1,35501.0,silver,black,"ford motor credit company,llc",19350,18500,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
458001,2013,Ford,Escape,Titanium,SUV,automatic,1fmcu0j98dud64577,fl,4.6,34455.0,—,black,"ford motor credit company,llc pd",19500,21000,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
458002,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d84dgc91531,nv,4.1,63245.0,white,black,the hertz corporation,20800,20500,Fri May 22 2015 05:00:00 GMT-0700 (PDT)
458003,2013,Ford,Explorer,Base,SUV,automatic,1fm5k7b98dga84596,tx,3.2,88884.0,white,beige,lease plan usa,13950,13300,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
458004,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d80dga33260,tx,3.0,61548.0,gray,black,"ford motor credit company,llc",20600,18500,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
458005,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d87dgc81673,ca,3.6,59005.0,silver,black,the hertz corporation,21100,21500,Wed Jun 10 2015 05:30:00 GMT-0700 (PDT)
458006,2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1ef8dfb63526,pa,4.4,48046.0,black,black,wholesale outlet inc,28700,30000,Fri May 22 2015 02:30:00 GMT-0700 (PDT)
458007,2013,Ford,F-150,STX,SuperCab,automatic,1ftfx1cf8dke59380,tn,4.8,18905.0,—,gray,ford-lincoln dealer program,22900,23800,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
458008,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d85dgc19263,mi,3.6,38447.0,blue,beige,"ford motor credit company,llc",23900,21500,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
458009,2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et7dfc06923,oh,2.9,18829.0,silver,gray,u s auto importing & sales,36100,26500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
458010,2013,Ford,F-150,XL,Regular Cab,automatic,1ftmf1cm8dkf25970,mo,3.9,26551.0,white,gray,"ford motor credit company,llc",16650,15900,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
458011,2013,Ford,F-150,XLT,SuperCab,automatic,1ftex1cm4dfd14047,pa,5.0,6888.0,gold,beige,usautoland inc,23600,23900,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
458012,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k7d8xdgb38520,mi,4.4,41658.0,green,black,"ford motor credit company,llc",23400,21400,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
458013,2013,Ford,F-150,FX4,SuperCrew,automatic,1ftfw1et5dfa33046,oh,3.4,56966.0,blue,black,159191 canada inc,28900,28200,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
458014,2013,Ford,F-150,XLT,SuperCrew,automatic,1ftfw1ct5dkf30902,tx,2.9,57455.0,black,gray,"ford motor credit company,llc",22900,20800,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
458015,2015,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k99fr152746,fl,3.9,19920.0,black,gray,enterprise veh exchange/rental,20100,20900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
458016,2015,Ford,Transit Van,250 High Roof,Transit Van,automatic,1ftyr2xmxfka62032,nj,3.3,3632.0,white,gray,enterprise veh exchange/rental,26800,25000,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
458017,2015,GMC,Yukon,SLT,SUV,automatic,1gks1bkc8fr221069,tx,4.4,23661.0,red,black,music city autoplex llc,46700,46000,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
458018,2015,Hyundai,Accent,GS,Hatchback,automatic,kmhct5ae0fu198863,ga,4.6,14956.0,blue,gray,economy rent a car & sales inc,12350,11900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
458019,2015,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k99fr184502,fl,3.0,9372.0,gray,black,remarketing by ge/sixrentals corp,21300,18900,Fri May 22 2015 02:15:00 GMT-0700 (PDT)
458020,2015,Hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh580763,ga,3.7,21105.0,silver,gray,economy rent a car & sales inc,12850,12700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
458021,2015,Ford,Transit Van,150 Low Roof,Transit Van,automatic,1ftye1zm6fka17883,nj,4.3,6006.0,white,gray,northeast leasing,24200,23200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
458022,2015,Ford,Mustang,V6,Coupe,automatic,1fa6p8am8f5306564,ca,5.0,6669.0,white,black,certified preowned ford&lincoln/mercury dlr unit,23400,23900,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
458023,2015,Ford,Mustang,GT,Coupe,automatic,1fa6p8cf3f5354052,tn,5.0,582.0,red,black,ford-lincoln dealer program,33700,34600,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
458024,2015,Ford,Mustang,EcoBoost,Coupe,automatic,1fa6p8th1f5314909,fl,4.9,13191.0,red,—,enterprise veh exchange/rental,26700,26000,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
