num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
459999,2014,Chrysler,300,Base,Sedan,automatic,2c3ccaag4eh223543,ga,4.0,25337.0,black,black,"jpmorgan chase bank,n.a.",19250,19200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
460000,2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab6en123509,fl,3.3,35434.0,silver,black,enterprise veh exchange/rental,10850,10800,Tue May 26 2015 02:15:00 GMT-0700 (PDT)
460001,2014,Chrysler,300,Base,Sedan,automatic,2c3ccarg6eh289435,pa,4.0,27851.0,white,black,enterprise veh exchange/rental,21100,21600,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
460002,2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab1en211478,nj,1.9,26264.0,blue,black,northeast leasing,11150,9000,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
460003,2014,Chrysler,200,LX,Sedan,automatic,1c3ccbab7en210061,fl,1.9,33379.0,black,black,fiserv/crescent bank & trust,10700,9800,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
460004,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg6er111468,nj,3.7,7664.0,black,black,chrysler capital,21000,19900,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
460005,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg4er272434,ne,4.2,29612.0,white,black,enterprise vehicle exchange/davenport,18500,18800,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
460006,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4en196741,mi,3.7,28391.0,blue,black,enterprise veh exchange/rental,11150,12000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
460007,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab3en216431,fl,2.6,27444.0,blue,black,meridian remarketing,11150,9100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
460008,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab1en110155,mo,2.8,36221.0,black,black,santander consumer,10750,10000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
460009,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag6eh233898,fl,3.6,21757.0,black,black,enterprise veh exchange/rental,19450,18400,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460010,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bgxer358654,mi,4.7,42747.0,white,black,enterprise veh exchange/rental,16800,17200,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
460011,2014,Dodge,Challenger,SXT,Coupe,automatic,2c3cdyag9eh110631,fl,4.8,16116.0,white,black,chrysler capital,19700,21200,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
460012,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0en140618,pa,4.6,3097.0,gray,black,"jpmorgan chase bank,n.a.",12650,13200,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
460013,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab0en196641,fl,4.1,36745.0,red,black,enterprise veh exchange/rental,10650,10800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460014,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab4en153727,fl,3.6,41342.0,red,black,enterprise veh exchange/rental,10400,10700,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460015,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg7er396973,ne,4.7,39406.0,white,black,enterprise vehicle exchange/davenport,17250,18100,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
460016,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab5en127217,fl,3.6,35321.0,blue,tan,enterprise veh exchange/rental,10750,10800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460017,2014,Chrysler,Town and Country,Touring,Minivan,automatic,2c4rc1bg9er383206,mi,4.3,42891.0,silver,black,enterprise veh exchange/rental,16850,17200,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
460018,2014,Dodge,Avenger,SE,Sedan,automatic,1c3cdzab6en180783,fl,3.8,14744.0,silver,black,chrysler capital,12000,11800,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
460019,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbgxeh169390,fl,3.6,36556.0,white,black,enterprise veh exchange/rental,15450,16000,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460020,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg7eh130224,fl,4.3,29284.0,gray,black,enterprise veh exchange/rental,16000,16700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
460021,2014,Dodge,Charger,SE,Sedan,automatic,2c3cdxbg4eh240888,fl,3.7,32047.0,silver,black,enterprise veh exchange/rental,15700,16500,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
460022,2014,Dodge,Grand Caravan,R/T,Minivan,automatic,2c4rdgeg7er129716,mi,4.0,22987.0,white,black,remarketing by ge/zeal credit union,19050,19000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
