num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
461999,2008,GMC,Yukon,SLE,SUV,automatic,1gkfk13098r159536,tx,3.4,88683.0,white,beige,td auto finance,19300,19400,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
462000,2008,Honda,Civic,LX,Sedan,automatic,2hgfa16548h352846,nc,1.9,120448.0,brown,gray,honda of concord,5750,6000,Wed May 27 2015 07:00:00 GMT-0700 (PDT)
462001,2008,GMC,Sierra 2500HD,SLE1,Crew Cab,automatic,1gthk23648f190676,tx,2.6,109124.0,black,black,td auto finance,25200,21500,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
462002,2008,GMC,Sierra 1500,SLE1,Extended Cab,automatic,1gtek19j38z116463,mo,1.9,84349.0,burgundy,black,meridian remarketing,17050,18800,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
462003,2008,Ford,Ranger,SPORT,SuperCab,automatic,1ftzr45e78pa61275,mi,3.6,74030.0,silver,black,automobiles paille inc,11750,10900,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
462004,2008,Jeep,Liberty,Sport,SUV,automatic,1j8gp28k28w115292,tx,1.9,999999.0,green,gray,santander consumer,2850,3300,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
462005,2008,Jeep,Wrangler,Unlimited X,SUV,automatic,1j4ga39188l542136,mi,4.3,70404.0,black,gray,stratford hyundai,18650,18100,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
462006,2008,Honda,Pilot,Value Package,SUV,automatic,5fnyf28278b027650,ga,2.6,191578.0,burgundy,beige,wells fargo dealer services,5375,4000,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
462007,2008,Infiniti,QX56,Base,SUV,automatic,5n3aa08d98n902091,tx,4.2,160354.0,gray,black,mercedes-benz of houston north,10500,10000,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
462008,2008,Jeep,Wrangler,Unlimited X,SUV,automatic,1j4gb39178l551259,ca,1.9,76867.0,black,gray,first investors servicing corp,16300,13300,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
462009,2008,Jeep,Compass,Limited,SUV,automatic,1j8ft57w18d510816,wa,3.5,113035.0,blue,black,hinton chevrolet buick inc,5375,6600,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
462010,2008,Jaguar,XJ-Series,XJ8 L,Sedan,automatic,sajwa79b38sh19008,fl,4.0,65271.0,black,black,jaguar aston martin naples,14850,16100,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
462011,2008,Kia,Sedona,LX,Minivan,automatic,kndmb233186201797,fl,2.5,137056.0,black,tan,kia auto sport of pensacola inc,2875,3100,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
462012,2008,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38768b016735,ca,3.3,128457.0,silver,gray,wondries toyota,7750,8700,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
462013,2008,Jeep,Commander,Sport,SUV,automatic,1j8hh48n98c189396,tx,2.7,116684.0,burgundy,black,santander consumer,7925,7800,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
462014,2008,Honda,Odyssey,EX-L,Minivan,automatic,5fnrl38658b415871,tn,2.5,104957.0,gold,tan,highline wholesale,9625,9300,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
462015,2008,Kia,Sorento,LX,SUV,automatic,kndjd735585806908,fl,3.0,118836.0,black,brown,remarketing by ge/atlanta enterprises llc,4200,3000,Tue May 26 2015 03:25:00 GMT-0700 (PDT)
462016,2008,Honda,Element,EX,SUV,automatic,5j6yh18788l012565,tx,2.4,115899.0,blue,black,ge fleet services for itself/servicer,8400,6800,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT)
462017,2008,Honda,Ridgeline,RTL,Crew Cab,automatic,2hjyk16598h525857,fl,2.9,86106.0,gray,gray,tdaf remarketing,14650,16400,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
