num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
462999,2015,Chevrolet,Impala,LT,Sedan,automatic,2g1125s39f9107896,il,3.5,15941.0,white,gray,remarketing by ge/manheim arena illinois,21500,21500,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
463000,2015,Chevrolet,Sonic,LT,Sedan,manual,1g1jd5sh5f4152388,mo,3.5,14.0,white,black,amro -auction sale unit,12300,7000,Mon Jun 01 2015 04:00:00 GMT-0700 (PDT)
463001,2015,Chevrolet,Sonic,LT,Sedan,automatic,1g1jc5sh8f4103978,wi,5.0,3303.0,red,black,landmark credit union,12000,12700,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
463002,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am2e5298322,fl,4.6,15217.0,—,black,"ford motor credit company,llc",18300,18900,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
463003,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am4e5204070,il,3.5,25800.0,black,black,"ford motor credit company,llc",17500,17400,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
463004,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am0e5245666,sc,2.9,51052.0,red,black,the hertz corporation,14800,15300,Thu Jun 18 2015 02:15:00 GMT-0700 (PDT)
463005,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8amxe5299931,ca,2.5,22421.0,white,black,certified preowned ford&lincoln/mercury dlr unit,17750,16000,Thu May 28 2015 05:30:00 GMT-0700 (PDT)
463006,2014,Ford,Mustang,V6,Convertible,automatic,1zvbp8em7e5329350,pa,4.5,20247.0,silver,black,ars/enterprise rac,20900,20400,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
463007,2014,Ford,Mustang,V6,Coupe,automatic,1zvbp8am3e5245693,az,4.5,39286.0,red,black,the hertz corporation,16100,15500,Thu Jun 11 2015 05:30:00 GMT-0700 (PDT)
463008,2014,Ford,Taurus,Limited,Sedan,automatic,1fahp2f8xeg179630,il,3.8,32615.0,black,black,avis budget group,18600,18400,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
463009,2014,Ford,Mustang,GT,Convertible,manual,1zvbp8ff5e5243471,ny,4.9,22558.0,green,black,ford-lincoln dealer program,26500,30800,Wed May 27 2015 02:20:00 GMT-0700 (PDT)
463010,2014,Ford,Shelby GT500,Base,Coupe,manual,1zvbp8jz4e5244306,mi,4.7,4629.0,white,black,stratford hyundai,55300,55400,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
463011,2014,Ford,Mustang,GT,Convertible,automatic,1zvbp8ff1e5293347,mo,4.6,28068.0,blue,black,jmj motors,25800,21500,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
463012,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca7e1910050,fl,3.1,9287.0,white,gray,u-haul,19600,19200,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
463013,2014,GMC,Savana Cargo,2500,van,automatic,1gtw7fca5e1908636,nc,3.9,12052.0,white,gray,u-haul international,19600,19800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
463014,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca0e1908415,fl,3.6,9001.0,white,gray,u-haul,19600,19400,Thu Jun 11 2015 02:35:00 GMT-0700 (PDT)
463015,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca6e1908757,fl,4.3,5592.0,white,gray,u-haul,20400,20200,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
463016,2014,GMC,Savana Cargo,2500,van,automatic,1gtw7fca2e1905578,fl,4.9,7273.0,white,gray,u-haul,20200,20200,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
463017,2014,GMC,Terrain,SLT-2,SUV,automatic,2gkaltek0e6135764,tx,4.9,32354.0,gray,tan,avis corporation,22400,22100,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
463018,2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec6eg163489,ga,3.5,27473.0,off-white,black,wells fargo dealer services,36700,38400,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
463019,2014,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtu2uec3eg439251,mi,4.4,15278.0,white,black,automobiles paille inc,31800,30800,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
463020,2014,GMC,Terrain,SLT-2,SUV,automatic,2gkaltek5e6103764,tx,4.5,38053.0,gray,gray,avis corporation,22000,22000,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
463021,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca1e1906589,nc,3.2,16460.0,white,gray,u-haul international,18900,18500,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
463022,2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec2eg215975,on,4.5,40124.0,gray,gray,robinson buick gmc ltd,40000,40750,Tue May 26 2015 03:00:00 GMT-0700 (PDT)
463023,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca4e1906330,fl,3.8,13766.0,white,gray,u-haul,19000,19000,Thu Jun 18 2015 02:35:00 GMT-0700 (PDT)
463024,2014,GMC,Sierra 2500HD,SLE,Crew Cab,automatic,1gt120c86ef172814,mi,4.6,17121.0,white,black,automobiles paille inc,36900,39900,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
463025,2014,GMC,Terrain,SLE-1,SUV,automatic,2gkflvek1e6320164,tn,4.9,18236.0,gray,black,midtown motors,19400,18800,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
463026,2014,GMC,Sierra 1500,SLT,Crew Cab,automatic,3gtu2vec2eg109025,mi,4.2,47940.0,black,black,automobiles paille inc,33900,31400,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
463027,2014,GMC,Sierra 1500,SLE,Crew Cab,automatic,3gtu2uec7eg215982,mi,5.0,22245.0,red,black,automobiles paille inc,31200,31000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
