num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
463999,2005,Volvo,S80,2.5T,Sedan,automatic,yv1ts592851404121,ca,2.8,99651.0,gold,tan,redline remarketing,3625,3500,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464000,2005,Toyota,Camry,LE V6,Sedan,automatic,4t1bf32k75u094560,md,3.0,133272.0,blue,gray,manheim imports,5200,4100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
464001,2004,Chevrolet,Silverado 1500,Base,Extended Cab,automatic,1gcek19t84e303149,tx,2.0,134941.0,gold,tan,santander consumer,7600,10100,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
464002,2004,Chevrolet,Impala,Base,Sedan,automatic,2g1wf52e549202920,ca,1.0,201389.0,white,gray,time finance co,675,200,Wed Jun 03 2015 04:00:00 GMT-0700 (PDT)
464003,2004,Chevrolet,Malibu Maxx,LS,Hatchback,automatic,1g1zt62824f148280,ga,3.5,222815.0,silver,gray,warner robins chrysler jeep dodge,225,1300,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
464004,2004,Chevrolet,Corvette,Base,Convertible,manual,1g1yy32g245104157,ga,3.2,99751.0,blue,tan,five star chevrolet cadillac,13850,7500,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
464005,2004,MINI,Cooper,Base,Hatchback,automatic,wmwrc33424tj58498,ca,1.9,149594.0,silver,black,time finance co,2500,1900,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464006,2004,Chrysler,PT Cruiser,Base,Wagon,automatic,3c4fy48b64t327107,nv,1.9,129781.0,silver,black,dt credit corporation,1225,1200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
464007,2004,Chevrolet,Tahoe,LS,SUV,automatic,1gnec13v14j324222,tx,3.2,122600.0,white,gray,santander consumer,4800,6600,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
464008,2004,Chrysler,Crossfire,Base,Hatchback,automatic,1c3an69l34x004826,ca,2.0,133412.0,black,black,aaero sweet corporation,2800,3400,Wed May 27 2015 04:30:00 GMT-0700 (PDT)
464009,2004,Honda,Accord,EX,Sedan,automatic,jhmcm56884c029731,ca,1.9,197549.0,silver,black,enterprise car sales/orange,3000,2500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
464010,2004,Ford,Taurus,SE,Sedan,automatic,1fahp53u14a148397,ca,3.3,101525.0,gray,gray,enterprise car sales/orange,1675,1500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
464011,2004,Ford,Explorer,XLS,SUV,automatic,1fmzu72k14ub80523,ca,1.9,149941.0,white,gray,800 loan mart,1725,1200,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
464012,2004,Hyundai,Santa Fe,GLS,SUV,automatic,km8sc13e34u786965,nv,1.9,129581.0,silver,gray,honor finance corporation,2450,1000,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
464013,2004,HUMMER,H2,Base,SUV,automatic,5grgn23u04h109445,fl,4.0,83492.0,gray,tan,american bank auto liquidators,17600,20000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
464014,2004,Kia,Optima,LX,Sedan,automatic,knagd126145362340,nv,2.9,115110.0,white,gray,dt credit corporation,1400,2100,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
464015,2004,Nissan,Altima,2.5,Sedan,automatic,1n4al11dx4c170329,nv,1.9,125009.0,white,gray,dt credit corporation,2325,3200,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
464016,2004,Nissan,Quest,3.5 S,Minivan,automatic,5n1bv28u04n302454,hi,2.1,66774.0,gray,silver,dt credit corporation,2725,700,Wed May 27 2015 08:35:00 GMT-0700 (PDT)
464017,2004,Nissan,Murano,SL,SUV,automatic,jn8az08t94w209057,nv,1.9,120132.0,silver,black,honor finance corporation,4150,3900,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
464018,2004,Nissan,Maxima,3.5 SL,Sedan,automatic,1n4ba41e64c925254,ca,2.6,156737.0,brown,beige,tidalwave finance corp,2400,1800,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464019,2004,Nissan,Altima,2.5,Sedan,automatic,1n4al11d24c199047,ga,2.1,149661.0,beige,black,warner robins chrysler jeep dodge,2075,3000,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
464020,2004,Nissan,Murano,SE,SUV,automatic,jn8az08wx4w323823,or,2.8,102499.0,gray,black,dick hannah subaru,5400,6300,Tue May 26 2015 05:30:00 GMT-0700 (PDT)
464021,2003,BMW,7 Series,745i,Sedan,automatic,wbagl63483dp67743,ca,1.9,162708.0,black,beige,newport acceptance corp,3800,2900,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464022,2004,Volkswagen,Passat,GLS 1.8T 4Motion,Sedan,automatic,wvwpd63b94e224024,ca,2.9,130602.0,gray,black,tidalwave finance corp,1925,1500,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464023,2004,Toyota,Corolla,CE,Sedan,automatic,jtdbr32ex42020453,ca,1.9,172633.0,red,beige,time finance co,2750,2150,Wed May 27 2015 05:05:00 GMT-0700 (PDT)
464024,2004,Toyota,Corolla,LE,Sedan,automatic,2t1br38e44c248067,nj,2.2,287039.0,beige,beige,burns kull inc,1800,3500,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
464025,2004,Subaru,Outback,Base,Wagon,automatic,4s3bh675947605590,ga,3.8,181878.0,silver,gray,warner robins chrysler jeep dodge,2175,2700,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
464026,2003,Chevrolet,Silverado 1500HD,LT,Crew Cab,automatic,1gcgc13ux3f201061,ca,3.0,122819.0,gray,black,redline remarketing,7850,8100,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
464027,2003,Cadillac,DeVille,Base,Sedan,automatic,1g6kd54y33u147875,fl,2.0,171513.0,white,beige,metro ford inc,1200,800,Mon May 25 2015 17:00:00 GMT-0700 (PDT)
464028,2003,Cadillac,Seville,SLS,Sedan,automatic,1g6ks54y73u101388,nv,2.2,169656.0,gold,beige,dt inventory,925,150,Fri May 29 2015 05:00:00 GMT-0700 (PDT)
464029,2003,Dodge,Durango,SLT Plus,SUV,automatic,1d4hs58n53f557808,ca,2.0,131101.0,gray,gray,purple heart services inc,2175,2450,Wed May 27 2015 08:05:00 GMT-0700 (PDT)
464030,2003,Ford,Ranger,Edge,SuperCab,automatic,1ftzr45e03pb65955,pa,3.9,83200.0,blue,black,c & b motors,5425,6800,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
464031,2003,Ford,Thunderbird,Premium,Convertible,automatic,1fahp60a53y104649,az,1.9,88232.0,black,brown,mercedes benz of tucson,11200,10300,Wed May 27 2015 05:00:00 GMT-0700 (PDT)
464032,2003,Ford,Explorer,Limited,SUV,automatic,1fmzu65w93uc08771,ca,2.6,141256.0,black,gray,nissan of duarte,2800,2000,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
464033,2003,Ford,Escort,ZX2,Coupe,automatic,3fafp11313r119027,il,1.0,182468.0,green,—,manheim arena illinois,900,325,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
464034,2003,Ford,Explorer,XLT,SUV,automatic,1fmzu63k53ub68107,ga,1.9,195370.0,brown,brown,warner robins chrysler jeep dodge,1325,400,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
464035,2003,Ford,Expedition,Eddie Bauer,SUV,automatic,1fmeu17w63la29074,fl,1.9,159268.0,red,tan,autonation ford panama city,3550,1600,Tue May 26 2015 03:45:00 GMT-0700 (PDT)
464036,2003,Lincoln,Navigator,Ultimate,SUV,automatic,5lmfu28rx3lj28254,wa,3.7,123554.0,black,black,bellevue nissan,3450,5300,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
464037,2003,Lincoln,Navigator,Luxury,SUV,automatic,5lmfu28r53lj32941,ca,3.3,151241.0,burgundy,black,national fleet wholesale inc,2875,3900,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
464038,2003,Nissan,Pathfinder,LE,SUV,automatic,jn8dr09x93w714710,ga,2.4,110259.0,black,black,manheim atlanta,3650,3700,Tue May 26 2015 06:00:00 GMT-0700 (PDT)
464039,2003,Nissan,Maxima,SE,Sedan,automatic,jn1da31d73t523670,ca,1.9,129793.0,silver,beige,ideal transportation,2250,1750,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
