num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
465999,2010,Mercedes-Benz,C-Class,C300 Sport,sedan,automatic,wddgf5eb0ar114460,fl,4.1,37537.0,red,beige,the auto group collection inc,16450,17000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466000,2010,Mazda,Mazdaspeed3,Sport,hatchback,manual,jm1bl1h49a1282292,ga,4.2,98236.0,red,black,flag/dash motors inc,11050,11500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
466001,2010,Mazda,CX-7,i Sport,suv,automatic,jm3er2w54a0313684,ga,4.2,18625.0,red,gray,checkmate auto brokers,12450,13200,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
466002,2010,Mercedes-Benz,E-Class,E350,coupe,automatic,wddkj5gb1af034656,fl,4.4,32562.0,silver,gray,lexus of north miami,24000,24800,Wed May 27 2015 02:35:00 GMT-0700 (PDT)
466003,2010,Nissan,Altima,2.5 S,coupe,automatic,1n4al2ep4ac149126,ca,3.7,47915.0,blue,black,orange coast chrysler jeep dodge,10350,10500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
466004,2010,Mercedes-Benz,GLK-Class,GLK350 4MATIC,suv,automatic,wdcgg8hb2af319682,nc,2.8,86013.0,black,black,mercedes benz of northlake,16300,15500,Wed Jun 03 2015 07:00:00 GMT-0700 (PDT)
466005,2010,Nissan,Versa,1.8 S,hatchback,automatic,3n1bc1cp4al456010,qc,4.3,54814.0,black,black,m n cars,5550,6000,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
466006,2010,Toyota,Corolla,LE,sedan,automatic,2t1bu4ee5ac243416,ma,1.9,109025.0,silver,gray,boch new to you superstore,6700,5300,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466007,2010,Toyota,Highlander,Base,suv,automatic,5tdza3eh7as005358,ga,3.5,59165.0,white,—,flag/dash motors inc,15250,15000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
466008,2009,BMW,X3,xDrive30i,suv,automatic,wbxpc93429wj30285,oh,4.6,134046.0,black,tan,crown motor co inc,9625,9500,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466009,2010,Volkswagen,Routan,SEL,minivan,automatic,2v4rw5dx1ar348509,fl,3.3,59629.0,black,beige,international motor sports inc,11400,11000,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466010,2010,Volkswagen,CC,Sport PZEV,sedan,automatic,wvwmp7an0ae545278,ny,4.1,87235.0,blue,gray,adk auto brokers inc,9175,8800,Thu May 28 2015 02:45:00 GMT-0700 (PDT)
466011,2009,BMW,3 Series,328i,sedan,automatic,wbaph735x9a173178,nj,1.9,99068.0,blue,beige,dch toyota city,10350,8100,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
466012,2009,BMW,M3,Base,coupe,automatic,wbswd93539p361035,fl,4.6,75317.0,gray,black,bmw of mobile,27700,27700,Tue May 26 2015 03:30:00 GMT-0700 (PDT)
466013,2009,BMW,3 Series,335i xDrive,sedan,automatic,wbapl33569a405475,ga,3.5,98491.0,white,brown,flag/reeves import motorca,13050,14600,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
466014,2010,Volkswagen,Routan,SE,minivan,automatic,2v4rw3d17ar202261,ma,3.6,98741.0,gray,gray,imperial ford corporation,6875,8900,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466015,2009,Chevrolet,Silverado 1500,LT,crew cab,automatic,3gcek23m79g220318,tn,3.0,66782.0,—,black,wholesale inc # 2,21100,22000,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
466016,2009,Chevrolet,Equinox,LT,SUV,automatic,2cndl43f496223318,ma,3.5,109517.0,gray,gray,clay chevrolet hyundai,6625,6700,Tue May 26 2015 03:00:00 GMT-0700 (PDT)
466017,2009,Chrysler,Town and Country,Limited,minivan,automatic,2a8hr64x69r568395,ga,1.9,100554.0,black,gray,flag/dash motors inc,9425,8200,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
466018,2009,Chrysler,Town and Country,LX,minivan,automatic,2a8hr44e19r551555,mo,2.4,146631.0,beige,gray,clay cooley toyota of hazelwood,3850,4200,Tue May 26 2015 04:00:00 GMT-0700 (PDT)
466019,2009,Dodge,Charger,Base,sedan,automatic,2b3ka43d09h586379,ms,2.6,96124.0,black,black,dt credit corporation,7400,7400,Thu May 28 2015 03:15:00 GMT-0700 (PDT)
466020,2009,Chevrolet,Tahoe,LTZ,suv,automatic,1gnfc33j29r285372,tx,2.2,174706.0,black,black,pm standley motorcars,13300,12700,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
466021,2009,Ford,Fusion,SE,sedan,automatic,3fahp07z29r164971,fl,3.7,47872.0,gray,gray,remarketing by ge/central fl sales & leasing inc,8000,8200,Wed May 27 2015 02:15:00 GMT-0700 (PDT)
466022,2009,Ford,F-150,Platinum,supercrew,automatic,1ftpw14v19fa95526,mi,3.5,86036.0,black,brown,automobiles paille inc,21700,20000,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
466023,2009,Ford,Expedition,XLT,suv,automatic,1fmfu15579la09892,ga,3.9,107469.0,black,gray,bill hancock motors,10250,11400,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
466024,2009,Honda,Civic,LX,sedan,automatic,2hgfa16529h367525,nj,1.9,35401.0,gray,gray,paramus ford inc,9075,5800,Wed May 27 2015 02:30:00 GMT-0700 (PDT)
466025,2009,Honda,Odyssey,EX-L,minivan,automatic,5fnrl387x9b400955,ny,3.5,120291.0,blue,gray,adk auto brokers inc,10200,10300,Thu Jun 04 2015 02:45:00 GMT-0700 (PDT)
466026,2009,Jeep,Wrangler,Rubicon,suv,automatic,1j4ga64159l760819,oh,4.3,40438.0,black,gray,exceptional motorcar llc,21700,21000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
