num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
466999,2010,Jeep,Compass,Sport,suv,manual,1j4nf4fb1ad512200,nj,2.0,89914.0,blue,gray,j & s auto haus,7275,5200,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
467000,2010,Honda,Fit,Sport,hatchback,automatic,jhmge8h40as001949,co,2.2,28177.0,silver,black,echopark,10750,10200,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
467001,2010,Kia,Forte,Koup SX,koup,manual,knafw6a30a5178254,fl,2.0,95975.0,black,black,remarketing by ge/mccoy leasing & finance inc,7300,6000,Wed May 27 2015 02:15:00 GMT-0700 (PDT)
467002,2010,Hyundai,Sonata,GLS,sedan,automatic,5npet4ac9ah581449,wi,1.9,89036.0,gray,gray,pra recievables management llc,5350,3500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
467003,2010,Lincoln,Navigator,Base,suv,automatic,5lmjj2j54aej00459,la,3.6,136884.0,silver,gray,don's wholesale llc,11800,13400,Wed May 27 2015 03:15:00 GMT-0700 (PDT)
467004,2010,Lexus,RX 350,Base,suv,automatic,2t2zk1ba1ac022783,ga,3.4,50884.0,gray,black,harold mathews nissan inc,22100,24000,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
467005,2010,Mazda,Mazda3,i Touring,sedan,automatic,jm1bl1sgxa1297113,pa,2.0,89984.0,silver,black,fiserv/sierra auto finance,6450,2800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
467006,2010,Mercury,Milan,Base,sedan,automatic,3mehm0ha7ar610501,va,2.7,30114.0,black,beige,fredericksburg remarketing,10250,7200,Thu May 28 2015 02:20:00 GMT-0700 (PDT)
467007,2010,Mercury,Mariner,Premier,suv,automatic,4m2cn8h76akj05009,tx,2.2,123246.0,blue,black,pm standley motorcars,6750,5000,Wed May 27 2015 03:20:00 GMT-0700 (PDT)
467008,2010,Mazda,Mazda3,i SV,sedan,automatic,jm1bl1sf0a1130430,fl,2.4,96396.0,black,black,grow financial fcu,6050,6200,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
467009,2010,Mercedes-Benz,C-Class,C300 Sport 4MATIC,sedan,automatic,wddgf8bb1af387317,tx,3.3,56826.0,black,black,crb auto finance,14850,15000,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
