num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
470999,2006,Mercedes-Benz,C-Class,C230 Sport,sedan,automatic,wdbrf52h96e020795,ga,1.9,130572.0,silver,—,capital one auto finance,4025,4100,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
471000,2006,Mercedes-Benz,S-Class,S500,sedan,automatic,wdbng75j56a480999,mn,3.4,71685.0,blue,gray,feldmann imports inc,10200,10200,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
471001,2006,Ford,Altima,Base,Sedan,automatic,jtjbt20x460104439,ca,3.7,119500.0,black,gray,huntington beach ford,13500,11750,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
471002,2006,Mercedes-Benz,E-Class,E350,sedan,automatic,wdbuf56j26a827884,tx,3.4,117343.0,blue,gray,wichita falls ford lin inc,6200,7300,Wed May 27 2015 03:05:00 GMT-0700 (PDT)
471003,2006,Mercury,Milan,Premier,sedan,automatic,3mefm08z56r609092,nc,2.7,105587.0,black,black,crossroads ford mazda,4175,4000,Mon Jun 01 2015 02:00:00 GMT-0700 (PDT)
471004,2006,Lincoln,Navigator,Luxury,suv,automatic,5lmfu27576lj09390,ms,1.9,169065.0,black,black,"ford motor credit company,llc",3575,2000,Thu Jun 04 2015 05:03:00 GMT-0700 (PDT)
471005,2006,Mercedes-Benz,C-Class,C350 Luxury,sedan,automatic,wdbrf56h66f743931,ca,3.5,96577.0,gold,beige,mercedes benz of walnut creek,5200,5900,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
471006,2006,Lexus,IS 250,Base,sedan,automatic,jthbk262262005204,ca,3.6,141640.0,black,black,jaguar land rover carlsbad,7700,7400,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
471007,2006,Lincoln,Mark LT,Base,crew cab,automatic,5ltpw16506fj07199,ga,2.8,99505.0,black,gray,"ford motor credit company,llc",11450,11100,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
471008,2006,Mercedes-Benz,CLS-Class,CLS500,sedan,automatic,wdddj75x96a056718,tn,2.7,150397.0,black,black,darrell waltrip honda,7825,9700,Wed May 27 2015 03:30:00 GMT-0700 (PDT)
471009,2006,Mercedes-Benz,S-Class,S430 4MATIC,sedan,automatic,wdbng83j16a462699,pa,3.5,79355.0,black,black,mercedes-benz finc wholesale advantage,10200,11500,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
471010,2006,Ford,Altima,Base,Sedan,automatic,jn1az34d66m312708,ga,4.5,80591.0,white,black,santander consumer,8975,11300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
471011,2006,Nissan,Altima,2.5 S,sedan,automatic,1n4al11d76c103075,wa,1.9,143316.0,gold,beige,lexus of tacoma at fife,2675,3250,Wed May 27 2015 06:20:00 GMT-0700 (PDT)
471012,2006,Pontiac,G6,GT,sedan,automatic,1g2zh558964143675,nj,2.7,148484.0,white,black,j & s auto haus,3150,3100,Wed May 27 2015 02:00:00 GMT-0700 (PDT)
471013,2006,Nissan,Altima,3.5 SE-R,sedan,automatic,1n4bl11e16c203170,fl,3.0,108736.0,silver,—,arg inc,5250,5700,Fri May 29 2015 02:30:00 GMT-0700 (PDT)
471014,2006,Nissan,Pathfinder,LE,suv,automatic,5n1ar18w26c611398,ga,2.9,93180.0,blue,gray,santander consumer,7700,10700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
471015,2006,Nissan,Quest,3.5 SE,minivan,automatic,5n1bv28u46n109078,oh,2.6,129073.0,gray,gray,sullivan auto group llc,3275,4700,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
471016,2006,Mitsubishi,Endeavor,LS,suv,automatic,4a4mn21s26e057593,nc,1.9,117635.0,blue,black,crossroads ford lincoln of sanford inc,3950,3300,Mon Jun 01 2015 02:00:00 GMT-0700 (PDT)
471017,2006,Pontiac,Grand Prix,Base,sedan,automatic,2g2wp552861177443,az,2.7,120953.0,gold,beige,camelback finance co,2950,2800,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
471018,2006,Nissan,Armada,SE,suv,automatic,5n1aa08a36n720656,fl,1.9,134057.0,blue,tan,enterprise vehicle exchange / rental / tulsa,7425,6300,Fri May 29 2015 02:25:00 GMT-0700 (PDT)
471019,2006,Nissan,Altima,2.5 S,sedan,automatic,1n4al11e36n361445,nj,2.0,32368.0,gray,black,purple heart services inc,4900,4500,Thu May 28 2015 11:05:00 GMT-0700 (PDT)
471020,2006,Mitsubishi,Eclipse,GS,hatchback,automatic,4a3ak24fx6e023450,pa,2.0,107696.0,silver,gray,meridian remarketing,4125,2900,Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)
471021,2006,Nissan,Titan,XE,crew cab,automatic,1n6aa07a56n534006,az,1.9,115176.0,brown,gray,gm financial,7975,9800,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
471022,2006,Nissan,Murano,SL,suv,automatic,jn8az08w56w522782,ca,3.6,144328.0,gray,black,orange coast chrysler jeep dodge,4925,4600,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
471023,2006,Nissan,Maxima,3.5 SE,sedan,automatic,1n4ba41e86c812733,fl,2.8,153157.0,gray,—,barnett finance company,2850,2900,Thu May 28 2015 08:01:00 GMT-0700 (PDT)
471024,2006,Nissan,Altima,2.5 S,sedan,automatic,1n4al11d76c232174,wa,3.8,60104.0,white,gray,quality auto center,4350,6200,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
471025,2006,Nissan,Armada,SE,suv,automatic,5n1aa08a06n731968,tx,1.9,187901.0,silver,black,fusion autoplex,4750,3300,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
