num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
473999,2012,Toyota,Highlander,Base,suv,automatic,5tdbk3eh6cs142440,oh,4.2,28067.0,gray,gray,toyota financial services,23800,22900,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474000,2012,Toyota,Camry Hybrid,XLE,sedan,automatic,4t1bd1fk5cu005392,ga,2.4,41071.0,black,black,innovative auto llc,17350,16700,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
474001,2012,Toyota,Camry,SE,sedan,automatic,4t1bf1fkxcu132925,fl,4.5,43796.0,blue,black,world omni financial corporation,13350,14300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474002,2012,Toyota,Camry,SE,sedan,automatic,4t1bf1fkxcu574460,fl,4.1,38321.0,gray,black,world omni financial corporation,13650,14800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474003,2012,Toyota,Highlander,Limited,suv,automatic,5tddk3eh4cs129033,oh,3.4,19641.0,black,beige,toyota financial services,29000,27600,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474004,2012,Toyota,RAV4,Base,suv,automatic,2t3bf4dv0cw217729,oh,4.8,42271.0,black,gray,toyota financial services,14300,14100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474005,2012,Toyota,Prius,Three,hatchback,automatic,jtdkn3du2c1526699,fl,4.1,47013.0,black,gray,world omni financial corporation,12200,13700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474006,2012,Toyota,RAV4,Base,suv,automatic,2t3bf4dv5cw180600,oh,4.3,31891.0,silver,gray,toyota financial services,14900,15500,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474007,2012,Toyota,RAV4,Sport,suv,automatic,2t3rf4dv8cw194585,oh,4.5,35930.0,gray,black,toyota financial services,18300,18700,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474008,2012,Toyota,Highlander,SE,suv,automatic,5tdzk3eh3cs063774,az,3.9,91067.0,white,black,right toyota,20800,18800,Thu Jun 11 2015 05:00:00 GMT-0700 (PDT)
474009,2012,Toyota,Prius Plug-in,Base,hatchback,automatic,jtdkn3dp1c3016987,oh,4.4,35386.0,white,gray,toyota financial services,15450,15500,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT)
474010,2012,Toyota,Highlander,Base,suv,automatic,5tdzk3eh2cs061952,fl,4.9,48976.0,silver,gray,world omni financial corporation,21400,21900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474011,2012,Toyota,Prius,Three,hatchback,automatic,jtdkn3du4c5420666,oh,4.2,26583.0,black,gray,toyota financial services,14650,14100,Mon Jun 01 2015 09:00:00 GMT-0700 (PDT)
474012,2015,Mitsubishi,Lancer,ES,Sedan,automatic,ja32u2fu6fu001799,tx,4.9,27648.0,red,beige,fiserv/crescent bank & trust,9800,11000,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT)
474013,2015,Mercedes-Benz,G-Class,G63 AMG,suv,automatic,wdcyc7df2fx235432,fl,5.0,170.0,black,black,the collection,143000,141000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
474014,2015,Mercedes-Benz,G-Class,G63 AMG,suv,automatic,wdcyc7df6fx232890,ga,4.5,1751.0,gray,red,platinum motor cars,143000,138500,Wed May 27 2015 03:00:00 GMT-0700 (PDT)
474015,2015,Mercedes-Benz,S-Class,S550,sedan,automatic,wddug8cb9fa146270,fl,4.8,3786.0,black,black,the collection,98000,92000,Thu Jun 04 2015 02:15:00 GMT-0700 (PDT)
474016,2012,Toyota,Sienna,SE 8-Passenger,minivan,automatic,5tdxk3dc6cs207539,fl,4.2,27263.0,white,black,world omni financial corporation,25000,25400,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474017,2012,Volkswagen,Eos,Komfort SULEV,convertible,automatic,wvwbw7ah4cv021266,fl,4.2,24088.0,black,black,prestige audi,18400,17000,Fri May 29 2015 02:35:00 GMT-0700 (PDT)
474018,2012,Toyota,Sienna,XLE 8-Passenger,minivan,automatic,5tdyk3dc8cs259582,va,2.6,78484.0,blue,gray,toyota of stafford,21000,20000,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
474019,2012,Toyota,Sienna,XLE 8-Passenger,minivan,automatic,5tdyk3dc8cs264667,pa,3.7,43299.0,gray,gray,kly international,20400,22600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
474020,2012,Toyota,Tundra,Tundra,double cab,automatic,5tfry5f13cx120447,ca,4.1,53651.0,white,black,aaero sweet corporation,20100,21750,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
474021,2012,Toyota,Tacoma,V6,double cab,automatic,3tmmu4fn0cm044887,tx,4.8,29806.0,white,gray,family toyota of burleson,25600,26900,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
474022,2012,Toyota,RAV4,Limited,suv,automatic,jtmyf4dv8c5045788,fl,4.7,42915.0,black,gray,world omni financial corporation,18800,19000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474023,2012,Toyota,RAV4,Base,suv,automatic,2t3zf4dv9cw113299,fl,4.5,23877.0,silver,gray,world omni financial corporation,14950,15600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
474024,2012,Volkswagen,Jetta,SEL,sedan,automatic,3vwlx7aj4cm360833,ca,3.6,54253.0,black,beige,reliance motors llc,12000,15000,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
474025,2012,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwdp7aj1cm112818,va,3.7,34278.0,black,black,hendrick honda woodbridge,10250,11200,Thu Jun 04 2015 02:50:00 GMT-0700 (PDT)
474026,2011,BMW,3 Series,328i,convertible,automatic,wbadw7c55be544657,pa,4.2,25744.0,white,red,adcock brothers inc,23200,26100,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
474027,2011,BMW,3 Series,328i xDrive,coupe,automatic,wbakf5c57be655058,pa,4.3,65419.0,silver,black,meridian remarketing,16300,15900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
474028,2012,Volvo,S60,T5,sedan,automatic,yv1622fs0c2121753,va,3.9,21870.0,black,black,volvo of fredericksburg,16000,16000,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
474029,2011,BMW,3 Series,328i,sedan,automatic,wbaph7g59bnm55353,ga,3.8,30650.0,gray,tan,bmw of macon,18200,17900,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
474030,2011,Audi,Q5,2.0T Premium quattro,suv,automatic,wa1cfafp1ba018195,fl,4.3,33120.0,black,black,prestige audi,23400,23200,Fri May 29 2015 02:35:00 GMT-0700 (PDT)
474031,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a36cc076019,fl,3.7,48796.0,black,—,wells fargo dealer services,10850,11800,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
