num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
474999,2013,Jaguar,XF,Base,sedan,automatic,sajwa0es0dps73259,fl,3.9,39303.0,white,black,braman honda of palm beach,28500,28800,Thu May 28 2015 02:40:00 GMT-0700 (PDT)
475000,2013,Kia,Rio,LX,sedan,automatic,knadm4a36d6230986,fl,2.8,40787.0,white,gray,fifth third bank,8075,7700,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
475001,2013,Kia,Soul,Base,wagon,manual,kndjt2a55d7515087,nc,3.5,35781.0,white,black,crossroads ford of fuquay-varina,9850,9200,Mon Jun 08 2015 02:00:00 GMT-0700 (PDT)
475002,2013,Kia,Optima,SX,sedan,automatic,5xxgr4a67dg221985,ca,4.1,21485.0,white,beige,mercedes benz of temecula,20600,22750,Wed May 27 2015 05:15:00 GMT-0700 (PDT)
475003,2013,Kia,Rio,LX,hatchback,automatic,knadm5a36d6119845,ga,1.9,43298.0,—,black,capital one auto finance,9175,7000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
475004,2013,Lexus,IS 250,Base,sedan,automatic,jthbf5c24d5191415,ga,3.8,22011.0,gray,black,toyota motor sales usa inc/buyback/lexus,22800,20000,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
475005,2013,Land Rover,Range Rover Sport,Supercharged Limited Edition,suv,automatic,salsh2e47da769340,pa,4.5,34476.0,—,black,r hollenshead auto sales inc,51400,53500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
475006,2013,Lexus,RX 450h,Base,suv,automatic,jtjbc1ba2d2437968,pa,4.1,38868.0,—,black,r hollenshead auto sales inc,35100,33800,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
475007,2013,Land Rover,Range Rover Sport,HSE,suv,automatic,salsf2d43da768435,pa,4.8,38450.0,black,black,adcock brothers inc,45100,49500,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
475008,2013,Lexus,LX 570,Base,suv,automatic,jtjhy7axxd4101297,ga,4.9,53549.0,white,beige,toyota motor sales usa inc/buyback/lexus,54400,49600,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
475009,2013,Lexus,ES 350,Base,sedan,automatic,jthbk1gg4d2057225,ga,4.3,7168.0,red,beige,toyota motor sales usa inc/buyback/lexus,29300,25600,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
475010,2013,Lexus,GS 350,Base,Sedan,automatic,jthbe1bl8d5019930,ga,4.4,15544.0,silver,brown,toyota motor sales usa inc/buyback/lexus,32200,30800,Thu May 28 2015 03:00:00 GMT-0700 (PDT)
475011,2013,Lexus,RX 350,Base,suv,automatic,2t2bk1ba9dc162649,pa,3.9,40342.0,black,black,tdaf remarketing,30000,30400,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
475012,2013,Mercedes-Benz,C-Class,C250 Sport,sedan,automatic,wddgf4hb2dr271904,fl,4.5,23885.0,black,beige,the collection,21700,22000,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
475013,2013,Maserati,GranTurismo,MC,coupe,automatic,zam45vla2d0073473,fl,4.8,3265.0,gray,beige,the collection,83000,78500,Thu May 28 2015 02:15:00 GMT-0700 (PDT)
475014,2013,Mercedes-Benz,E-Class,E350,coupe,automatic,wddkj5kb1df196427,tx,3.4,20433.0,white,red,mercedes benz of tyler,31400,30100,Thu Jul 02 2015 08:00:00 GMT-0700 (PDT)
475015,2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,wddhf5kb7da726392,fl,4.8,17781.0,white,tan,metro ford inc,29700,30000,Fri Jun 05 2015 02:30:00 GMT-0700 (PDT)
475016,2013,Mercedes-Benz,E-Class,E350 Sport,sedan,automatic,wddhf5kb4da678253,ca,2.3,52542.0,black,black,mercedes-benz finc wholesale advantage,23600,25500,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
475017,2013,Mercedes-Benz,E-Class,E350 Sport 4MATIC,sedan,automatic,wddhf8jb2da749310,ga,4.2,27380.0,black,black,terryville chevrolet llc,30600,31000,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
475018,2013,Mercedes-Benz,S-Class,S550,sedan,automatic,wddng7db5da499714,ca,4.2,22459.0,gray,black,fmgj inc,52400,50000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
475019,2013,Mitsubishi,Lancer,ES,sedan,automatic,ja32u2fu6du021614,ms,2.2,32858.0,black,black,exeter finance corp,9800,8500,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
475020,2013,Mercedes-Benz,S-Class,S550 4MATIC,sedan,automatic,wddng9eb8da534594,pa,4.9,18672.0,—,beige,r hollenshead auto sales inc,53800,55750,Thu May 28 2015 02:00:00 GMT-0700 (PDT)
475021,2013,Mitsubishi,Lancer,GT,sedan,automatic,ja32u8fw7du009864,fl,2.7,29972.0,white,gray,wells fargo dealer services,11450,9900,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
475022,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap7dc209139,ca,4.7,37249.0,black,black,enterprise veh exchange/rental,12100,12500,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
475023,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap7dn557401,ga,1.9,66044.0,burgundy,black,dollar thrifty automotive group,10200,9700,Mon Jun 08 2015 17:00:00 GMT-0700 (PDT)
475024,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3apxdn483763,co,4.3,11369.0,white,beige,nissan north america inc.,15150,13000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
475025,2013,Nissan,Altima,3.5 SL,sedan,automatic,1n4bl3ap8dn540479,ca,4.3,30700.0,—,black,nissan motor acceptance corporation,17250,18000,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
475026,2013,Nissan,Altima,2.5,sedan,automatic,1n4al3ap5dn565013,tx,4.7,35695.0,silver,black,woodhouse ford south inc,13450,15100,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
475027,2015,Audi,Altima,2.0 TFSI Premium quattro,sedan,automatic,waubfgff0f1007039,pa,4.9,8109.0,gray,black,manheim imports,26900,26900,Thu May 28 2015 02:30:00 GMT-0700 (PDT)
475028,2015,Audi,A3,2.0 TFSI Premium Plus quattro,sedan,automatic,wauefgff3f1006237,il,2.5,10984.0,—,black,vw credit,28700,25400,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
475029,2015,BMW,M6,Base,convertible,automatic,wbslz9c56fd651321,nj,3.9,1845.0,black,black,financial services remarketing (lease),109000,98000,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
475030,2015,Audi,A4,2.0T Premium,sedan,automatic,wauafaflxfn008884,nj,4.9,10559.0,—,black,vw credit xu ready,27500,27400,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
475031,2015,Audi,Q5,2.0T Premium Plus quattro,suv,automatic,wa1lfafp6fa016058,il,4.9,5412.0,—,black,vw credit xu ready,40200,40000,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
475032,2015,Audi,Q3,Premium Plus,SUV,automatic,wa1bfcfs2fr000386,il,5.0,1404.0,—,black,vw credit xu ready,29400,30400,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
475033,2015,Acura,ILX,Base,sedan,automatic,19vde1f39fe008858,fl,4.8,3548.0,silver,black,audi pembroke pines,22200,22000,Fri May 29 2015 02:35:00 GMT-0700 (PDT)
475034,2015,Ford,Mustang,EcoBoost,coupe,manual,1fa6p8thxf5358908,nv,4.8,4785.0,blue,black,chapman chry jeep,28400,27250,Fri May 29 2015 04:45:00 GMT-0700 (PDT)
475035,2015,Ford,Taurus,Limited,sedan,automatic,1fahp2f89fg100983,tn,4.0,41142.0,black,black,avis budget group,20700,18900,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
475036,2015,Ford,Mustang,GT,coupe,manual,1fa6p8cf0f5331134,tn,4.7,14974.0,—,black,ars/easy car leasing llc dba brac of birmingham,30300,30600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
475037,2015,Ford,Mustang,V6,coupe,automatic,1fa6p8am3f5331131,tn,4.6,17093.0,—,black,ars/easy car leasing llc dba brac of birmingham,23500,23100,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
