num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
475999,2011,Ford,Fusion,SEL,sedan,automatic,3fahp0ja8br179791,nj,2.5,75472.0,—,black,wheels exchange llc,8700,7000,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
476000,2011,Ford,F-150,XLT,supercrew,automatic,1ftfw1cf2bfb55664,tx,2.2,56102.0,gold,beige,fiserv/citizens one auto finance,20000,19400,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
476001,2011,Ford,Fiesta,SES,hatchback,automatic,3fadp4fj2bm120585,on,3.8,75997.0,black,black,canadian road leasing co & ford credit canda ltd,6950,9200,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
476002,2011,GMC,Acadia,SLT-1,suv,automatic,1gkkvred5bj355578,va,2.7,69888.0,off-white,gray,blue knob auto sales inc,20200,18100,Thu May 28 2015 02:05:00 GMT-0700 (PDT)
476003,2011,Ford,Taurus,SE,sedan,automatic,1fahp2dw5bg145494,fl,3.2,98519.0,burgundy,gray,interstate fleets inc,9450,9200,Thu May 28 2015 02:35:00 GMT-0700 (PDT)
476004,2011,Ford,Ranger,XLT,supercab,automatic,1ftkr1ed3bpa57089,tn,4.5,66659.0,—,gray,ars/ford-lincoln dealer program,12700,15400,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
476005,2011,GMC,Sierra 1500,SLE,crew cab,automatic,3gtp2ve3xbg336911,ab,3.9,137693.0,gray,beige,emkay canada leasing corp,19650,16500,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
476006,2011,GMC,Sierra 1500,SLE,crew cab,automatic,3gtp2ve35bg302763,ab,2.7,116814.0,gray,black,emkay canada leasing corp,20700,18000,Thu May 28 2015 04:30:00 GMT-0700 (PDT)
476007,2011,Ford,Ranger,SPORT,supercab,automatic,1ftkr4ee5bpa11760,oh,2.8,116818.0,red,black,exceptional motorcar llc,9000,7200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
476008,2015,Ram,2500,Laramie,crew cab,automatic,3c6ur5fl5fg551901,pa,5.0,14620.0,black,black,kb express auto sales,46300,46500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
