num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
478999,2006,Dodge,Grand Caravan,SE,minivan,automatic,1d4gp24r16b622332,ga,2.7,114621.0,blue,gray,warner robins chrysler jeep dodge,2300,2300,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
479000,2006,Ford,Mustang,Standard,coupe,automatic,1zvht80n765264071,ca,4.3,99317.0,blue,black,garys auto sales inc,6450,8100,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
479001,2014,Chevrolet,Silverado 1500,LT,double cab,automatic,1gcrcrec5ez270317,ca,3.7,12241.0,silver,black,skyhigh remarketing inc,27600,27500,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
479002,2014,Chevrolet,Cruze,1LT,sedan,automatic,1g1pc5sb1e7383830,on,4.9,4512.0,red,gray,financialinx,13300,14800,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
479003,2006,Ford,Altima,Base,Sedan,manual,1j4fa69s66p787089,az,4.3,94766.0,red,black,j & m auto sales,14000,15300,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
479004,2006,Ford,Altima,Base,Sedan,automatic,5fnyf18576b003754,sc,3.6,160675.0,burgundy,brown,cale yarborough honda,6225,6300,Thu Jun 18 2015 03:15:00 GMT-0700 (PDT)
479005,2006,Lexus,GS 430,Base,sedan,automatic,jthbn96s465004988,md,3.2,90745.0,gray,tan,wells fargo dealer services,11800,12000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
479006,2006,Hyundai,Sonata,LX,sedan,automatic,5npeu46f06h074799,fl,2.8,111917.0,silver,—,advantage auto sales inc,3525,1300,Thu May 28 2015 08:00:00 GMT-0700 (PDT)
479007,2006,Jaguar,S-Type,4.2,sedan,automatic,sajwa01b86hn60769,pa,4.0,58651.0,white,tan,keyvoor inc,6900,8100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
479008,2006,Ford,Altima,Base,Sedan,automatic,1j4fa39s56p783436,nv,4.4,43152.0,red,black,unique autos,15500,18700,Fri May 29 2015 04:55:00 GMT-0700 (PDT)
479009,2006,Jeep,Commander,Limited,suv,automatic,1j8hg58206c337513,pa,4.2,54830.0,gray,gray,alans autos,11300,13300,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
