num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
479999,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c58cf345628,ca,4.9,24017.0,red,black,financial services remarketing (lease),25300,26250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480000,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c58cf346407,wi,4.8,28403.0,black,beige,financial services remarketing (lease),22900,23500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
480001,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c57cf346592,ca,4.6,20456.0,red,—,financial services remarketing (lease),25700,25250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480002,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c57cf342736,ca,4.3,42604.0,white,—,financial services remarketing (lease),23100,26000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480003,2012,BMW,5 Series Gran Turismo,535i,hatchback,automatic,wbasn2c58cc202193,ca,4.3,23017.0,gray,black,financial services remarketing (lease),31900,33700,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480004,2012,BMW,5 Series,528i,sedan,automatic,wbaxg5c55cdx03585,ca,2.7,63092.0,white,—,financial services remarketing (lease),22800,23500,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
480005,2012,BMW,5 Series,528i xDrive,sedan,automatic,wbaxh5c54cdw11624,wi,4.8,29066.0,black,tan,financial services remarketing (lease),27000,27750,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
480006,2012,BMW,5 Series,528i,sedan,automatic,wbaxg5c56cdx06091,ca,4.6,25539.0,white,black,financial services remarketing (lease),28100,29000,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480007,2012,BMW,3 Series,328i xDrive,coupe,automatic,wbakf3c51ce974963,wi,4.8,20286.0,gray,black,financial services remarketing (lease),23500,24250,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
480008,2012,BMW,5 Series,528i,sedan,automatic,wbaxg5c54cdx02413,ca,4.9,41671.0,white,gray,financial services remarketing (lease),25800,27750,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480009,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c55cf347952,ca,3.4,31769.0,gray,—,financial services remarketing (lease),23200,22500,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480010,2012,BMW,5 Series,528i,sedan,automatic,wbaxg5c54cdy30263,fl,4.4,41006.0,white,tan,lauderdale imports ltd bmw pembrok pines,26200,26200,Fri May 29 2015 02:35:00 GMT-0700 (PDT)
480011,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c54cf256915,wi,4.8,23344.0,gray,—,financial services remarketing (lease),23500,22500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
480012,2012,BMW,3 Series,328i,sedan,automatic,wba3a5c55cf342265,ca,4.6,20240.0,black,—,financial services remarketing (lease),25700,25250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
480013,2012,BMW,5 Series,528i xDrive,sedan,automatic,wbaxh5c56cdw08448,wi,4.8,40956.0,gray,black,financial services remarketing (lease),25500,25750,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
