num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
481999,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae2dh263515,ma,2.9,53463.0,beige,tan,the hertz corporation,9375,8900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482000,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae4dh319714,ma,2.5,48169.0,brown,tan,the hertz corporation,9700,9200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482001,2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae5dh236499,fl,3.5,56919.0,blue,gray,dtg operations inc,9175,9600,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
482002,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac4dh681840,oh,3.3,54094.0,silver,gray,the hertz corporation,10800,10600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482003,2013,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6apxdm718346,fl,3.5,13873.0,gray,gray,nissan infiniti lt,21900,20800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482004,2013,Infiniti,FX,FX37,suv,automatic,jn8cs1mw4dm173129,nj,4.3,16776.0,white,black,nissan infiniti lt,35400,34250,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
482005,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac5dh700816,oh,2.6,54433.0,red,tan,dtg operations inc,10800,10600,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482006,2013,Infiniti,G Coupe,G37 Sport,g coupe,automatic,jn1cv6ek6dm922785,fl,4.4,19696.0,black,black,nissan infiniti lt,23700,22000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482007,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxdh702805,ma,3.9,50404.0,black,gray,the hertz corporation,11000,10900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482008,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxdh706630,nc,4.3,22591.0,silver,gray,robbie joyners auto sales llc,12750,13100,Mon Jun 01 2015 03:00:00 GMT-0700 (PDT)
482009,2013,Infiniti,G Coupe,G37 Sport,g coupe,automatic,jn1cv6ek7dm921175,fl,3.9,22477.0,white,black,nissan infiniti lt,23500,23000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482010,2013,Hyundai,Veloster,Base,hatchback,manual,kmhtc6ad5du134473,nj,3.9,20636.0,black,black,lester glenn buick,13450,11500,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
482011,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4acxdh753575,nc,2.6,42592.0,gray,gray,fleet lease remarketing,11450,11000,Mon Jun 08 2015 02:30:00 GMT-0700 (PDT)
482012,2013,Infiniti,G Sedan,G37 Journey,g sedan,automatic,jn1cv6ap6dm719994,fl,2.2,19141.0,blue,tan,nissan infiniti lt,21300,18200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
482013,2013,Infiniti,EX,EX37,suv,automatic,jn1bj0hr4dm480022,nj,5.0,15588.0,white,black,nissan infiniti lt,27900,28250,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
482014,2013,Hyundai,Sonata,GLS,sedan,automatic,5npeb4ac8dh763960,ma,3.9,46771.0,white,tan,the hertz corporation,11250,10900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
