num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
482999,2012,Dodge,Journey,American Value Package,suv,automatic,3c4pdcab8ct252428,on,2.0,36319.0,blue,black,repo depo,11800,10600,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
483000,2012,Ford,Escape,Limited,suv,automatic,1fmcu0eg5ckc51253,nj,4.2,28494.0,gray,black,"ford motor credit company,llc",17450,17200,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483001,2012,Ford,Escape,XLT,suv,automatic,1fmcu0d70ckc58306,nj,3.4,17461.0,gray,black,"ford motor credit company,llc",15750,15000,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483002,2012,Ford,Edge,Limited,suv,automatic,2fmdk4kcxcba76141,nj,2.7,36341.0,white,gray,"ford motor credit company,llc",22200,20400,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483003,2012,Ford,Edge,SEL,suv,automatic,2fmdk4jc4cba86228,nj,2.5,20721.0,white,beige,"ford motor credit company,llc",22000,19500,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483004,2012,Ford,Edge,SEL,suv,automatic,2fmdk3jc7cba82555,ca,4.4,54179.0,white,beige,wheels exchange llc,16600,16400,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
483005,2012,Dodge,Journey,SXT,suv,automatic,3c4pdcbg1ct311085,wi,2.5,44036.0,black,gray,wheels exchange llc,12650,11900,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
483006,2012,Ford,E-Series Wagon,E-350 Super Duty XL,van,automatic,1fbss3bl3cda98616,nj,3.4,53372.0,blue,gray,the hertz corporation,18150,18100,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
483007,2012,Ford,Edge,SEL,suv,automatic,2fmdk3jc3cba91172,mo,4.2,35610.0,blue,black,ars/ford-lincoln dealer program,18900,20500,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
483008,2012,Ford,Edge,SE,suv,automatic,2fmdk3g99cba94511,nj,2.7,43052.0,blue,beige,"ford motor credit company,llc",14800,11900,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483009,2012,Ford,Edge,SEL,suv,automatic,2fmdk4jc5cba32128,nj,3.3,72147.0,red,black,"ford motor credit company,llc",16150,14900,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483010,2012,Ford,Edge,SEL,suv,automatic,2fmdk4jc6cba66174,nj,3.5,33312.0,white,black,"ford motor credit company,llc",20500,19500,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
483011,2012,Ford,Edge,SEL,suv,automatic,2fmdk4jc9cba85754,nj,4.2,32310.0,black,beige,"ford motor credit company,llc",19800,20700,Tue Jun 30 2015 08:45:00 GMT-0700 (PDT)
