num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
484999,2006,Chevrolet,TrailBlazer,LS,suv,automatic,1gndt13s762145164,ca,2.7,136527.0,white,gray,first credit finance,3325,2800,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
485000,2006,Chevrolet,Silverado 1500,LT1,regular cab,automatic,1gcec14v96e208785,ca,1.9,261670.0,white,tan,wheels exchange llc,1950,2500,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
485001,2006,Chevrolet,TrailBlazer,LS,suv,automatic,1gndt13s862176374,nv,3.0,86118.0,gold,beige,sti remarketing,4975,5500,Fri May 29 2015 04:45:00 GMT-0700 (PDT)
485002,2006,Chevrolet,Aveo,LS,hatchback,manual,kl1td66666b669197,fl,1.9,97662.0,gray,black,autonation chrysler dodge jeep ram pembroke pine,1675,1600,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
485003,2006,Chevrolet,Silverado 1500,Work Truck,regular cab,automatic,3gcec14x26g232694,fl,1.9,161279.0,white,gray,autonation toyota scion weston,4200,2400,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
485004,2006,Chevrolet,TrailBlazer,LS,suv,automatic,1gnds13s462184684,ga,1.9,202049.0,gray,gray,five star dodge,725,1000,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
485005,2006,Chevrolet,Silverado 2500HD,Work Truck,extended cab,automatic,1gchk29ux6e199679,tx,1.9,210723.0,white,gray,ge fleet services for itself/servicer,4500,3100,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
485006,2006,Chevrolet,Equinox,LT,suv,automatic,2cndl63f366161143,tx,1.9,99996.0,red,gray,dt inventory,3975,4300,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
485007,2006,Chrysler,300,Base,sedan,automatic,2c3ka43r56h219746,tx,2.1,110880.0,gray,gray,santander consumer,4450,2600,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
485008,2006,Chevrolet,Cobalt,SS,coupe,manual,1g1am15b967829750,fl,2.1,81840.0,purple,black,autonation ford lincoln orange park,4325,3500,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
485009,2006,Chevrolet,Silverado 1500,LT3,crew cab,automatic,2gcek13t361235789,pa,4.3,130637.0,blue,gray,adcock brothers inc,11350,12600,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
485010,2006,Chevrolet,Corvette,Base,convertible,manual,1g1yy36u065106654,nj,2.9,49666.0,black,black,route one corporation,25800,23800,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
485011,2006,Chevrolet,Uplander,LS,minivan,automatic,1gndv23l36d177302,il,4.5,86366.0,silver,gray,lease plan usa,3125,4900,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
485012,2006,Ford,Altima,Base,Sedan,automatic,2c3la73w36h399918,fl,2.0,98325.0,black,black,sawgrass infiniti,12950,11800,Fri May 29 2015 02:20:00 GMT-0700 (PDT)
485013,2006,Chrysler,Sebring,Base,sedan,automatic,1c3el46x46n215518,fl,1.9,88743.0,gray,black,autonation ford miami,2525,1000,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
485014,2006,Dodge,Durango,SLT,suv,automatic,1d4hd48n26f104822,tx,1.9,96253.0,beige,gray,santander consumer,5050,2900,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
485015,2006,Dodge,Caravan,SXT,minivan,automatic,1d4gp45r26b500654,fl,1.9,82636.0,black,gray,autonation chevrolet coral gables,2650,1100,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
485016,2006,Chrysler,PT Cruiser,Base,wagon,automatic,3a4fy48b06t236816,ny,1.9,107162.0,silver,gray,santander consumer,2050,800,Wed Jun 03 2015 03:20:00 GMT-0700 (PDT)
485017,2006,Dodge,Grand Caravan,SE,minivan,automatic,1d4gp24r46b719640,tx,2.9,80380.0,blue,beige,"vpsi, inc",2800,3100,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
485018,2006,Chrysler,PT Cruiser,Base,wagon,automatic,3a4fy48b86t293135,tx,3.6,124752.0,blue,gray,dt credit corporation,1375,900,Tue Jun 16 2015 04:00:00 GMT-0700 (PDT)
485019,2006,Chrysler,Town and Country,LX,minivan,automatic,2a4gp44r46r730870,tx,2.1,63839.0,black,gray,wheels exchange llc,4175,5400,Wed Jun 03 2015 03:15:00 GMT-0700 (PDT)
485020,2006,Dodge,Dakota,SLT,quad cab,automatic,1d7hw48n36s521242,mo,2.9,83094.0,silver,gray,exeter finance corp,9575,8600,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
485021,2006,Dodge,Magnum,SE,wagon,automatic,2d4fv47t66h114496,fl,2.0,134695.0,silver,gray,autonation chevrolet south clearwater,2950,1300,Tue Jun 02 2015 09:00:00 GMT-0700 (PDT)
485022,2006,Chrysler,Town and Country,LX,minivan,automatic,2a4gp44r46r666121,tn,2.1,166087.0,silver,gray,hertz remarketing,1675,1800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
485023,2006,Dodge,Charger,SE,sedan,automatic,2b3ka43g86h512682,mn,4.0,119974.0,white,black,wells fargo dealer services,4825,7300,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
485024,2006,Chrysler,PT Cruiser,Base,wagon,automatic,3a4fy48b26t365821,tx,2.2,79584.0,white,gray,santander consumer,2600,2700,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
485025,2006,Chrysler,Sebring,Touring,convertible,automatic,1c3el55r96n109686,ca,2.5,68782.0,red,gray,james family auto sales,2550,4500,Thu May 28 2015 05:00:00 GMT-0700 (PDT)
485026,2006,Dodge,Ram Pickup 1500,SLT,quad cab,automatic,1d7hu18286s655903,mn,2.1,86468.0,black,gray,wells fargo dealer services,12750,9900,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
485027,2015,BMW,X1,xDrive35i,suv,automatic,wbavm5c53fvv94266,nj,4.9,6289.0,white,black,bmw na manheim new jersey,32700,36750,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485028,2015,BMW,X5,xDrive35i,suv,automatic,5uxkr0c50f0k68642,nj,4.9,6349.0,black,black,bmw north america greer,52300,58000,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485029,2015,BMW,Altima,650i xDrive,sedan,automatic,wba6b4c57fd760847,nj,4.9,5566.0,white,black,bmw na manheim new jersey,78000,80000,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485030,2015,BMW,X3,xDrive35i,suv,automatic,5uxwx7c59f0k33789,nj,4.7,5664.0,white,black,bmw north america greer,51600,53000,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485031,2015,BMW,5 Series,550i,sedan,automatic,wbakn9c52fd961042,nj,4.9,8831.0,gray,black,bmw north america greer,61000,61000,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485032,2015,BMW,Altima,650i xDrive,sedan,automatic,wba6b4c58fd760615,nj,4.5,5824.0,white,black,bmw na manheim new jersey,78000,79500,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485033,2015,BMW,X1,xDrive28i,suv,automatic,wbavl1c56fvy29075,nj,4.9,9174.0,—,black,bmw na manheim new jersey,32600,33750,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
485034,2015,BMW,X3,xDrive35i,suv,automatic,5uxwx7c55f0k34163,nj,4.9,5717.0,brown,black,bmw north america greer,44300,49500,Tue Jun 02 2015 07:00:00 GMT-0700 (PDT)
