num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
485999,2014,Nissan,Juke,SV,hatchback,automatic,jn8af5mr4et354588,tx,4.9,2050.0,gray,black,nissan-infiniti lt,17150,17800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486000,2014,Nissan,Maxima,3.5 SV,sedan,automatic,1n4aa5ap5ec472944,tx,4.2,6692.0,white,black,nissan motor acceptance corporation,24900,23000,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486001,2014,Nissan,Maxima,3.5 S,sedan,automatic,1n4aa5ap5ec436395,nj,1.0,28638.0,blue,black,enterprise vehicle exchange / tra / rental / tulsa,16450,8000,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
486002,2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3apxec120165,ca,2.3,39560.0,white,black,enterprise vehicle exchange/orange,13700,13000,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
486003,2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap8ec291321,il,1.9,25328.0,—,black,nissan-infiniti lt,14950,13800,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
486004,2014,Nissan,Juke,S,hatchback,automatic,jn8af5mr9et356904,tx,3.8,11602.0,blue,black,nissan motor acceptance corporation,15200,15200,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486005,2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap5ec187143,tn,2.6,34142.0,—,black,avis corporation,13100,12700,Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)
486006,2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap6en370880,il,4.1,12737.0,white,black,nissan north america inc.,19150,17100,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
486007,2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap7en375473,mn,3.5,46623.0,red,black,hertz car exchange inc/oklahoma city,12550,12300,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
486008,2014,Nissan,Sentra,S,sedan,automatic,3n1ab7ap7ey210548,ca,3.6,30257.0,silver,black,avis corporation,10750,10600,Tue Jun 02 2015 05:45:00 GMT-0700 (PDT)
486009,2014,Nissan,Sentra,FE+ SV,sedan,automatic,1n4ab7ap4en850071,ga,4.1,39633.0,black,black,avis corporation,10900,11300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
486010,2014,Nissan,Sentra,FE+ S,sedan,automatic,3n1ab7ap0ey233881,fl,4.4,10211.0,silver,black,regional acceptance corporation / greenville,12350,13200,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT)
486011,2014,Nissan,Quest,SV,minivan,automatic,jn8ae2kp0e9100750,md,4.2,30998.0,white,gray,avis corporation,19750,19700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
486012,2014,Nissan,Rogue,SV,suv,automatic,5n1at2mv3ec788349,pa,4.7,19223.0,gold,tan,nissan north america inc.,24300,23700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
486013,2014,Nissan,Rogue Select,S,suv,automatic,jn8as5mt8ew605487,tx,4.1,32700.0,gray,beige,nissan motor acceptance corporation,14200,13200,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486014,2014,Nissan,Pathfinder,SL,suv,automatic,5n1ar2mn1ec600989,tx,4.4,24991.0,white,beige,nissan motor acceptance corporation,25700,25600,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486015,2014,Nissan,Rogue Select,S,suv,automatic,jn8as5mv6ew202187,il,4.0,9103.0,gray,gray,nissan motor acceptance corporation,15900,16000,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
486016,2014,Nissan,Pathfinder,SV,suv,automatic,5n1ar2mnxec640536,fl,2.5,33714.0,gray,black,florida auto financial group,20600,19200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
486017,2014,Nissan,Sentra,SV,sedan,automatic,1n4ab7ap8en853233,fl,2.7,23029.0,gray,black,florida auto financial group,11750,10700,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
486018,2014,Nissan,Rogue,SL,suv,automatic,5n1at2mv0ec776238,wi,4.3,59981.0,black,black,wheels exchange llc,22700,19300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
486019,2014,Nissan,Pathfinder,SL,suv,automatic,5n1ar2mm4ec638935,pa,4.9,13435.0,white,black,nissan north america inc.,26800,23400,Fri Jun 19 2015 02:00:00 GMT-0700 (PDT)
486020,2014,Nissan,Pathfinder,SL,suv,automatic,5n1ar2mm4ec652186,pa,4.4,25244.0,gray,black,nissan north america inc.,25400,23600,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
486021,2014,Nissan,Murano,SV,suv,automatic,jn8az1muxew406552,il,2.5,9641.0,brown,tan,nissan north america inc.,21300,18200,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
486022,2014,Nissan,Rogue Select,S,suv,automatic,jn8as5mt7ew620935,tx,4.8,1777.0,gray,black,nissan motor acceptance corporation,16100,16400,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486023,2014,Nissan,Sentra,S,sedan,automatic,3n1ab7ap3el634581,tx,4.6,5918.0,—,black,nissan motor acceptance corporation,12200,13000,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486024,2014,Nissan,Sentra,FE+ S,sedan,automatic,3n1ab7ap3el679391,tx,3.8,5626.0,—,black,nissan motor acceptance corporation,12550,12800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
486025,2014,Nissan,Sentra,SR,sedan,automatic,3n1ab7ap7el624751,tx,3.5,11323.0,—,black,nissan motor acceptance corporation,11900,11800,Tue Jun 02 2015 03:30:00 GMT-0700 (PDT)
