num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
486999,2012,Ford,Taurus,SEL,sedan,automatic,1fahp2ew6cg121155,nc,3.6,47816.0,black,black,wheels exchange llc,14250,13500,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
487000,2012,Honda,Accord,EX-L,sedan,automatic,1hgcp2f8xca066055,pa,3.7,50706.0,black,beige,"ahfc/honda lease trust/hvt, inc. eot",13750,13900,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487001,2012,Honda,Accord,EX-L,sedan,automatic,1hgcp2f85ca146007,pa,2.9,41933.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",14150,14000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487002,2012,GMC,Terrain,SLT-2,suv,automatic,2gkflxek4c6273110,co,3.2,27452.0,blue,beige,lease plan usa,21200,20900,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
487003,2012,GMC,Terrain,SLE-2,suv,automatic,2gkflse53c6302853,ca,4.2,36355.0,black,black,high bid trading co inc,17900,16900,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
487004,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f3xca155791,pa,4.0,25005.0,blue,gray,"ahfc/honda lease trust/hvt, inc. eot",12150,13600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487005,2012,Honda,Accord,EX-L,sedan,automatic,1hgcp2f81ca165816,pa,3.3,31640.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",14650,14700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487006,2012,Ford,Taurus,SEL,sedan,automatic,1fahp2ew7cg109712,nc,4.1,42865.0,blue,tan,wheels exchange llc,14600,13400,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
487007,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f36ca197603,pa,4.2,33082.0,gray,black,"ahfc/honda lease trust/hvt, inc. eot",11800,13000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487008,2012,Honda,Accord,EX-L,sedan,automatic,1hgcp2f88ca140363,pa,4.3,47694.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",13900,14000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487009,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f33ca180225,pa,3.2,30155.0,silver,black,"ahfc/honda lease trust/hvt, inc. eot",11900,12000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487010,2012,GMC,Terrain,SLE-2,suv,automatic,2gkflse53c6254917,co,5.0,30211.0,silver,black,ally,18350,17500,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
487011,2012,Honda,Accord,LX,sedan,automatic,1hgcp2f32ca131260,pa,4.3,36103.0,brown,beige,"ahfc/honda lease trust/hvt, inc. eot",11650,12700,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487012,2012,Honda,Accord,EX,sedan,automatic,1hgcp2f70ca162557,pa,3.1,17748.0,silver,gray,"ahfc/honda lease trust/hvt, inc. eot",13550,13100,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487013,2012,Honda,Civic,LX,sedan,automatic,2hgfb2f53ch562690,pa,3.7,28981.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",10850,11000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487014,2012,Honda,Accord,SE,sedan,automatic,1hgcp2f62ca122164,pa,3.3,25951.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",12950,11500,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT)
487015,2012,Honda,Accord,SE,sedan,automatic,1hgcp2f67ca097357,pa,3.0,31203.0,black,black,"ahfc/honda lease trust/hvt, inc. eot",12800,12400,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487016,2012,Honda,Civic,LX,sedan,automatic,19xfb2f53ce357140,pa,3.0,34558.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",10600,11000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487017,2012,Honda,Civic,EX,sedan,automatic,19xfb2f81ce338869,pa,3.7,28969.0,black,gray,"ahfc/honda lease trust/hvt, inc. eot",11800,12200,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487018,2012,Honda,Civic,LX,sedan,automatic,2hgfb2f50ch576742,pa,2.9,36504.0,gray,beige,"ahfc/honda lease trust/hvt, inc. eot",10500,10800,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487019,2012,Honda,Civic,HF,sedan,automatic,2hgfb2f69ch321516,pa,3.6,60424.0,gray,gray,"ahfc/honda lease trust/hvt, inc. eot",9975,9000,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
487020,2012,Honda,Civic,LX,sedan,automatic,19xfb2f56ce377169,pa,3.1,36988.0,gray,beige,"ahfc/honda lease trust/hvt, inc. eot",10500,10600,Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)
