num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
487999,2004,Nissan,Sentra,1.8,sedan,manual,3n1cb51d14l890722,pa,4.5,90386.0,white,gray,melvin g rhoades auto sales llc,2350,2700,Fri May 29 2015 02:15:00 GMT-0700 (PDT)
488000,2004,Toyota,4Runner,SR5,suv,automatic,jtebu14r748016968,pa,2.9,158651.0,silver,gray,r hollenshead auto sales inc,6275,5500,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
488001,2004,Toyota,Tundra,SR5,double cab,automatic,5tbet34114s453010,or,3.3,87606.0,gray,gray,dick hannah subaru,10100,10800,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
488002,2004,Saturn,VUE,Base,suv,automatic,5gzcz53474s881108,md,2.1,149807.0,red,gray,gateway subaru llc,1650,1000,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
488003,2004,Toyota,Sequoia,SR5,suv,automatic,5tdbt44a44s208508,nc,3.6,225399.0,white,gray,fred anderson kia,2925,4400,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
488004,2004,Toyota,Camry,LE,sedan,automatic,4t1be32k84u278777,nc,1.9,131423.0,red,beige,fred anderson kia,3725,2200,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
488005,2004,Volkswagen,Jetta,GLI 1.8T,sedan,manual,3vwse69m64m010535,nj,2.0,95454.0,silver,black,remarketing by ge/nextgear capital,3275,3200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
488006,2004,Nissan,Titan,SE,king cab,automatic,1n6aa06b74n555866,pa,1.9,122191.0,silver,gray,r hollenshead auto sales inc,7625,6000,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
488007,2004,Volkswagen,Passat,GLS 1.8T 4Motion,wagon,automatic,wvwvd63b04e179501,mn,2.3,95287.0,gray,black,luther white bear acura,2375,3500,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
488008,2003,Acura,MDX,Touring,suv,automatic,2hnyd18643h508343,nv,3.2,89242.0,beige,brown,sti remarketing,4750,8700,Fri May 29 2015 04:45:00 GMT-0700 (PDT)
488009,2003,Dodge,Durango,Sport,suv,automatic,1d4hr38n43f503738,ca,3.0,122002.0,gray,black,aaero sweet corporation,1325,1400,Fri May 29 2015 08:00:00 GMT-0700 (PDT)
488010,2003,Ford,Altima,Base,Sedan,automatic,1fmyu931x3ke17923,il,1.9,174377.0,black,gray,gateway financial services,1725,500,Thu Jun 11 2015 07:00:00 GMT-0700 (PDT)
488011,2003,Chevrolet,Suburban,1500 LS,suv,automatic,3gnfk16z33g208915,nj,3.3,130896.0,black,gray,remarketing by ge/nextgear capital,4625,4600,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
488012,2003,Ford,Escape,XLS Popular,suv,automatic,1fmyu02113kd75977,fl,2.0,180013.0,silver,gray,credit acceptance corp/vrs/southfield,1225,300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
488013,2003,Honda,Civic,LX,sedan,automatic,2hges16583h509540,ca,1.9,134380.0,black,gray,high bid trading co inc,2325,2350,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
488014,2003,Lexus,ES 300,Base,sedan,automatic,jthbf30gx36017328,ca,3.6,79507.0,gold,tan,high bid trading co inc,5950,7100,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
488015,2003,Infiniti,G35,Base,sedan,automatic,jnkcv51e63m319310,tx,2.0,143275.0,silver,gray,meridian remarketing,3600,2500,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
488016,2003,Lexus,LS 430,Base,sedan,automatic,jthbn30f530102008,ca,2.5,125672.0,blue,beige,high bid trading co inc,8100,7500,Wed Jun 03 2015 05:15:00 GMT-0700 (PDT)
488017,2003,Honda,Civic,Hybrid,sedan,automatic,jhmes96653s012443,ca,2.7,128096.0,blue,beige,high bid trading co inc,1800,1700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
488018,2003,Ford,Explorer,XLT,suv,automatic,1fmdu63k33uc27505,ga,4.1,172209.0,red,gray,five star hyundai of warner robins,1775,2400,Fri May 29 2015 04:00:00 GMT-0700 (PDT)
488019,2003,Infiniti,G35,Base,coupe,automatic,jnkcv54e43m226278,nj,2.5,98288.0,silver,black,remarketing by ge/nextgear capital,5775,7200,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
488020,2003,Infiniti,I35,Base,sedan,automatic,jnkda31a63t115646,mn,3.7,52192.0,gray,black,santander consumer,4025,6000,Thu Jun 04 2015 03:45:00 GMT-0700 (PDT)
488021,2003,Ford,Explorer,XLT,suv,automatic,1fmzu73k73uc15773,pa,2.0,213501.0,black,black,purple heart,950,300,Tue Jun 02 2015 06:01:00 GMT-0700 (PDT)
488022,2003,Honda,Civic,LX,sedan,automatic,2hges16553h550434,nj,1.9,112796.0,blue,gray,sharlene realty llc,2625,2400,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
