num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
489999,2007,Ford,F-150,XLT,supercrew,automatic,1ftrw14w57kc69507,pr,2.6,119156.0,red,gray,oriental bank,12050,8700,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
490000,2007,Ford,Focus,ZX4 SE,sedan,automatic,1fafp34n27w127181,fl,1.9,142393.0,white,beige,credit acceptance corp/vrs/southfield,2025,1400,Thu Jun 04 2015 10:00:00 GMT-0700 (PDT)
490001,2007,GMC,Yukon,SLE,suv,automatic,1gkfk13077j135765,fl,1.9,152906.0,silver,gray,autonation nissan brandon,11750,8800,Tue Jun 02 2015 09:00:00 GMT-0700 (PDT)
490002,2007,Honda,Accord,LX,sedan,automatic,1hgcm56497a198169,nc,1.9,142806.0,silver,gray,c&f finance company,4475,4500,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
490003,2007,Honda,Accord,EX-L V-6,sedan,automatic,1hgcm66507a011982,fl,3.2,105311.0,white,tan,nicholas financial inc/clearwater,7175,7400,Thu Jun 04 2015 08:00:00 GMT-0700 (PDT)
490004,2007,Kia,Rio,LX,sedan,automatic,knade123476193032,pr,2.8,117417.0,white,beige,oriental bank,2425,3800,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
490005,2007,Hyundai,Azera,SE,sedan,automatic,kmhfc46f57a178894,ms,2.0,92504.0,beige,tan,santander consumer,5825,4400,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
490006,2007,Lexus,ES 350,Base,sedan,automatic,jthbj46g172095621,ga,1.9,172371.0,white,beige,nalley lexus smyrna,6700,8000,Tue Jun 02 2015 06:00:00 GMT-0700 (PDT)
490007,2007,Jeep,Patriot,Sport,suv,automatic,1j8ff28w57d395608,pa,4.0,104006.0,green,gray,bergeys chrysler jeep dodge,5000,5900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
490008,2007,Jeep,Commander,Sport,suv,automatic,1j8hg48p47c654265,il,2.6,92820.0,red,beige,wells fargo dealer services,8400,9600,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
490009,2007,Jeep,Grand Cherokee,Laredo,suv,automatic,1j8gr48k27c509221,oh,3.8,54612.0,blue,gray,pauley motor car co preowned vehicles llc,10400,11900,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
490010,2007,Kia,Sorento,EX,suv,automatic,kndjd736775696161,nc,1.9,103795.0,black,gray,rick hendrick toyota scion,5450,5300,Mon Jun 01 2015 02:15:00 GMT-0700 (PDT)
