num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
490999,2013,Chevrolet,Malibu,LTZ,sedan,automatic,1g11h5sa4df275706,fl,3.1,51371.0,white,black,the hertz corporation,12800,12800,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491000,2013,Chevrolet,Impala,LTZ,sedan,automatic,2g1wc5e30d1248074,tx,3.5,52257.0,silver,black,the hertz corporation,10800,10800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491001,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce06dr332238,tx,3.9,58256.0,white,black,the hertz corporation,30500,32500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491002,2013,Chevrolet,Tahoe,LT,suv,automatic,1gnskbe02dr247276,tx,3.7,55163.0,silver,—,the hertz corporation,26900,26600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491003,2013,Chevrolet,Sonic,LTZ,hatchback,automatic,1g1je6sh1d4151920,fl,2.9,49638.0,silver,black,the hertz corporation,8550,8500,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491004,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh1d4185162,mi,3.5,50592.0,silver,black,the hertz corporation,8000,7900,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491005,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbbxdn714763,il,2.6,50518.0,gold,gray,dtg operations inc,9725,9600,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
491006,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sg3d4207370,mi,4.3,51120.0,white,black,the hertz corporation,7975,8500,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491007,2013,Chrysler,200,LX,sedan,automatic,1c3ccbab0dn685680,wi,2.5,42313.0,black,black,capital one auto finance,10000,9600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491008,2013,Chevrolet,Traverse,LS,suv,automatic,1gnkrfed2dj107250,mi,2.4,28276.0,gray,gray,gm financial leasing,23300,19200,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
491009,2013,Chevrolet,Spark,2LT,hatchback,automatic,kl8cf6s97dc585022,tx,4.2,52867.0,silver,gray,the hertz corporation,7375,7600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491010,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh6d4212095,mi,4.2,47013.0,red,black,the hertz corporation,8125,9200,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491011,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb9dn763078,il,3.1,39055.0,gray,black,"ec sales,llc",10400,10500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
491012,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce09dr316535,mi,3.4,51466.0,white,black,the hertz corporation,32200,32400,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491013,2013,Chevrolet,Traverse,LS,suv,automatic,1gnkrfed9dj150807,mo,3.9,58686.0,gray,gray,lease plan usa,16050,16400,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT)
491014,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce07dr298035,fl,4.3,59774.0,silver,black,the hertz corporation,30100,31000,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491015,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb6dn573576,il,4.1,7993.0,red,—,wells fargo dealer services,11600,12500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
491016,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh0d4177053,nj,2.9,49610.0,white,black,the hertz corporation,8050,7600,Wed Jun 10 2015 02:30:00 GMT-0700 (PDT)
491017,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6shxd4175073,wi,3.6,49182.0,white,gray,the hertz corporation,8075,8300,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491018,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sg4d4192359,mi,2.3,53469.0,silver,black,the hertz corporation,7800,6500,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
491019,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh7d4215684,fl,3.5,52805.0,white,black,the hertz corporation,7900,8000,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491020,2013,Chevrolet,Spark,1LT,hatchback,automatic,kl8cd6s93dc534350,tx,4.2,52853.0,blue,black,the hertz corporation,7375,7600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491021,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh9d4138123,tx,3.9,55486.0,silver,black,the hertz corporation,7850,9000,Wed Jun 10 2015 03:05:00 GMT-0700 (PDT)
491022,2013,Chevrolet,Traverse,LT,suv,automatic,1gnkvgkd3dj190550,il,3.4,49613.0,silver,gray,the hertz corporation,23600,23000,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491023,2013,Chevrolet,Tahoe,LT,suv,automatic,1gnskbe07dr352668,nj,4.3,52449.0,silver,black,the hertz corporation,27400,27800,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
491024,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh0d4221018,mi,3.6,51576.0,silver,black,the hertz corporation,7975,7800,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491025,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb0dn639314,fl,3.4,52730.0,gray,black,dtg operations inc,9625,9700,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491026,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce01dr374249,az,2.9,50969.0,silver,black,the hertz corporation,32300,31900,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
491027,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sg0d4223004,az,3.1,54216.0,red,black,the hertz corporation,7900,7900,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
491028,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh7d4203938,fl,4.0,55817.0,silver,black,the hertz corporation,7825,8200,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491029,2013,Chevrolet,Sonic,LT,hatchback,automatic,1g1jc6sg4d4231855,il,2.8,47218.0,red,black,the hertz corporation,8075,7900,Thu Jun 11 2015 03:30:00 GMT-0700 (PDT)
491030,2013,Chevrolet,Spark,1LT,hatchback,automatic,kl8cd6s99dc532764,tx,3.3,55466.0,silver,gray,the hertz corporation,7625,7401,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
491031,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5shxd4191333,mi,2.8,45246.0,red,black,the hertz corporation,8175,8200,Thu Jun 04 2015 03:30:00 GMT-0700 (PDT)
491032,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb8dn639206,fl,3.9,51577.0,red,black,dtg operations inc,9700,9700,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491033,2013,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh8d4177530,tx,2.9,48433.0,gray,black,the hertz corporation,8075,8500,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
491034,2013,Chevrolet,Tahoe,LTZ,suv,automatic,1gnskce04dr318239,az,4.0,55514.0,white,black,the hertz corporation,31200,31250,Thu Jun 04 2015 05:30:00 GMT-0700 (PDT)
491035,2013,Chevrolet,Sonic,LTZ,hatchback,automatic,1g1je6sh7d4145068,fl,3.6,51537.0,silver,black,the hertz corporation,8475,8600,Wed Jun 03 2015 02:40:00 GMT-0700 (PDT)
491036,2013,Chrysler,200,Touring,sedan,automatic,1c3ccbbb7dn762981,il,3.8,41437.0,red,black,"ec sales,llc",10250,10500,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
491037,2013,Chevrolet,Sonic,LTZ,sedan,automatic,1g1je5sh6d4176547,tx,2.8,51126.0,blue,gray,the hertz corporation,8425,8900,Wed Jun 10 2015 03:00:00 GMT-0700 (PDT)
491038,2013,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bg3dr657952,tx,4.2,63256.0,black,gray,the hertz corporation,13200,13600,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
491039,2013,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bgxdr541325,nj,4.2,19574.0,white,black,chrysler capital,18500,19500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
