num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
494999,2007,Honda,Pilot,LX,suv,automatic,5fnyf28167b031226,sc,3.8,183998.0,beige,brown,hendrick honda of charleston,4925,4500,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
495000,2007,Honda,Accord,EX-L V-6,coupe,automatic,1hgcm82647a004270,md,3.4,124962.0,black,black,jim coleman honda,5400,5200,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
495001,2007,Honda,Accord,Special Edition,sedan,automatic,1hgcm56367a212035,nc,3.6,109866.0,silver,black,capital ford lincoln of rocky mount,6050,7300,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
495002,2007,Lexus,RX 350,Base,suv,automatic,2t2hk31u77c031449,ca,4.2,147503.0,blue,beige,motor city lexus of bakersfield,9600,9300,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
495003,2007,Lexus,IS 250,Base,sedan,automatic,jthbk262475046501,ca,2.8,180875.0,white,beige,lexus of stevens creek,6625,7700,Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)
495004,2007,Ford,Altima,Base,Sedan,automatic,wdbrf52h37f916036,ca,3.8,101468.0,black,black,skyhigh remarketing inc,7100,9000,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
495005,2007,Mercury,Mariner Hybrid,Base,suv,automatic,4m2cu39h27kj04302,sc,3.5,116651.0,black,beige,charleston automotive company,5700,5200,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
495006,2007,Nissan,Altima,3.5 SE,sedan,automatic,1n4bl21e37n434535,az,2.8,111701.0,black,gray,remarketing by ge/flagship credit acceptance,5925,5900,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
495007,2007,Nissan,Versa,1.8 S,hatchback,automatic,3n1bc13e97l423298,fl,3.5,132388.0,gray,black,napletons nissan,2775,3800,Tue Jun 02 2015 10:30:00 GMT-0700 (PDT)
495008,2007,Nissan,Titan,XE,king cab,automatic,1n6aa06a17n212837,az,1.9,247269.0,gray,gray,cash time title loans,3150,2500,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
495009,2007,Toyota,Prius,Base,hatchback,automatic,jtdkb20u177607012,md,3.8,178778.0,gold,beige,annapolis subaru inc,3500,3800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
495010,2007,Toyota,Highlander,Base,suv,automatic,jtegd21a770158072,md,2.9,125870.0,silver,gray,autonation honda dulles,6475,5500,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
495011,2007,Toyota,Camry,LE,sedan,automatic,4t1be46kx7u058299,ca,4.0,79949.0,silver,gray,aaero sweet corporation,7075,8850,Wed Jun 03 2015 05:00:00 GMT-0700 (PDT)
495012,2014,Chevrolet,Sonic,LT,sedan,automatic,1g1jc5sh8e4128684,va,2.6,18220.0,silver,black,c&f finance company,10450,9500,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
495013,2014,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bg8er382919,tn,4.4,13825.0,blue,gray,ars/ford-lincoln dealer program,20500,21900,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
495014,2014,Chrysler,200,LX,sedan,automatic,1c3ccbab7en123986,ca,3.7,37049.0,red,black,enterprise vehicle exchange/orange,10500,10100,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
495015,2014,Chrysler,Town and Country,Touring,minivan,automatic,2c4rc1bg8er359771,tn,4.9,8000.0,gray,gray,ars/ford-lincoln dealer program,21000,23500,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
495016,2014,Dodge,Charger,SE,sedan,automatic,2c3cdxbg6eh239581,tn,2.4,14031.0,gray,gray,ars/ford-lincoln dealer program,17000,17000,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
495017,2014,Dodge,Charger,SE,sedan,automatic,2c3cdxbgxeh217146,va,4.2,14060.0,white,tan,c&f finance company,17000,17400,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
