num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
496999,2012,Toyota,Highlander,SE,suv,automatic,5tdbk3eh5cs134166,nj,4.2,24592.0,green,tan,all american ford/subaru,25300,25900,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)
497000,2012,Toyota,Corolla,S,sedan,automatic,2t1bu4ee6cc868071,ca,2.6,51438.0,gray,gray,m and m auto sales,10850,9900,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)
497001,2012,Toyota,Corolla,S,sedan,automatic,2t1bu4ee1cc841148,mn,3.7,39364.0,gray,black,tenvoorde ford inc,11450,11900,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
497002,2012,Toyota,FJ Cruiser,Base,suv,automatic,jtezu4bf3ck012152,pr,4.3,52480.0,green,black,scotiabank de puerto rico,24600,24000,Thu Jun 04 2015 05:00:00 GMT-0700 (PDT)
497003,2012,Toyota,Prius v,Three,wagon,automatic,jtdzn3eu8c3099546,ga,2.0,182623.0,silver,gray,enterprise fleet management exchange,10600,6400,Tue Jun 02 2015 06:10:00 GMT-0700 (PDT)
497004,2012,Toyota,Sienna,Base 7-Passenger,minivan,automatic,5tdzk3dc4cs228060,tx,2.2,121022.0,silver,beige,primeritus remarketing/new concepts leasi,11250,8800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
497005,2012,Toyota,RAV4,Base,suv,automatic,2t3zf4dv8cw125699,fl,4.7,19352.0,blue,gray,deluca toyota,15150,13800,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
497006,2012,Toyota,RAV4,Base,suv,automatic,2t3zf4dvxcw148952,fl,3.6,47262.0,gray,gray,santander consumer,13800,14100,Thu Jun 04 2015 02:35:00 GMT-0700 (PDT)
497007,2012,Toyota,Sienna,LE 8-Passenger,minivan,automatic,5tdkk3dc0cs239123,fl,3.7,44560.0,gray,gray,ciscon llc,16700,17000,Tue Jun 09 2015 02:15:00 GMT-0700 (PDT)
497008,2012,Toyota,Sienna,LE 8-Passenger,minivan,automatic,5tdkk3dc9cs201745,fl,3.2,52415.0,red,gray,ciscon llc,16700,13000,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
497009,2012,Scion,xD,Base,hatchback,automatic,jtkku4b49c1021893,tx,3.8,31229.0,gray,—,santander consumer,10200,10800,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
497010,2012,Volkswagen,Passat,S PZEV,sedan,automatic,1vwap7a32cc054823,fl,2.9,77127.0,white,black,santander consumer,8000,8500,Wed Jun 03 2015 02:05:00 GMT-0700 (PDT)
497011,2012,Volkswagen,Passat,SE PZEV,sedan,automatic,1vwbp7a39cc090898,ca,1.0,29630.0,—,black,vw credit,11950,8000,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
497012,2012,Volkswagen,Jetta,SE PZEV,sedan,automatic,3vwdp7aj1cm370028,ma,4.4,112790.0,white,gray,bmw gallery,7000,5300,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
497013,2012,Volkswagen,Tiguan,SEL 4Motion,suv,automatic,wvgbv7ax5cw503969,co,3.7,95427.0,white,black,emich volkswagen,18200,12500,Wed Jun 03 2015 04:45:00 GMT-0700 (PDT)
497014,2012,Volkswagen,Touareg,VR6 Lux,suv,automatic,wvgff9bp8cd005107,co,3.9,41097.0,brown,brown,autonation ford littleton,29000,26100,Tue Jun 02 2015 05:00:00 GMT-0700 (PDT)
497015,2011,Audi,A4,2.0T Premium,sedan,automatic,wauefafl5bn027189,ga,2.2,58875.0,silver,black,cox fleet/wheels,15200,14200,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
