num_id,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
497999,2014,Ford,Escape,SE,suv,automatic,1fmcu0gx9euc38185,fl,4.9,14240.0,red,gray,lease plan advantage,17500,16700,Wed Jun 03 2015 08:10:00 GMT-0700 (PDT)
498000,2014,Ford,Escape,SE,suv,automatic,1fmcu0gx6euc31176,fl,4.6,43353.0,silver,gray,lease plan advantage,14900,13900,Wed Jun 03 2015 08:10:00 GMT-0700 (PDT)
498001,2014,Ford,Explorer,Limited,suv,automatic,1fm5k7f81egc13751,il,3.6,21356.0,gray,gray,tdaf remarketing,27800,27900,Tue Jun 02 2015 03:00:00 GMT-0700 (PDT)
498002,2014,Ford,F-150,FX4,supercrew,automatic,1ftfw1ef5ekf48311,mi,4.2,16247.0,silver,gray,northway ford lincoln,29400,29400,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
498003,2014,Ford,F-150,XLT,supercab,automatic,1ftfx1cf6efc13129,ga,4.8,21048.0,gold,beige,td auto finance,22800,22800,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT)
498004,2014,Ford,F-150,FX4,supercrew,automatic,1ftfw1et0efb89173,mi,2.9,13340.0,black,black,automobiles paille inc,36200,33900,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
498005,2014,Ford,F-150,XLT,supercrew,automatic,1ftfw1ef4efb18939,mi,4.7,15876.0,gray,gray,automobiles paille inc,29300,29500,Thu Jun 04 2015 02:30:00 GMT-0700 (PDT)
498006,2014,Ford,F-250 Super Duty,XL,crew cab,automatic,1ft7w2b65eeb58810,fl,3.4,11125.0,white,gray,tdaf remarketing,28400,28200,Tue Jun 02 2015 02:00:00 GMT-0700 (PDT)
498007,2014,Ford,Fiesta,SE,hatchback,automatic,3fadp4ej4em108184,tx,4.2,33887.0,gray,black,avis corporation,14050,15000,Wed Jun 17 2015 04:00:00 GMT-0700 (PDT)
498008,2014,Ford,F-250 Super Duty,XLT,crew cab,automatic,1ft7w2bt9eea31211,tn,4.5,17806.0,—,beige,remarketing by ge/suntrust bank,36900,35800,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
498009,2014,Ford,Fiesta,SE,sedan,automatic,3fadp4bjxem191477,ga,4.0,32597.0,gray,beige,young motors llc,9325,8200,Thu Jun 11 2015 02:45:00 GMT-0700 (PDT)
498010,2014,Ford,Focus,SE,hatchback,automatic,1fadp3k24el191060,fl,4.8,14019.0,gray,black,subaru of pembroke pines,12650,12000,Wed Jun 03 2015 02:35:00 GMT-0700 (PDT)
498011,2014,Ford,Fusion,SE,sedan,automatic,3fa6p0h98er277680,fl,3.7,9612.0,silver,black,lease plan/ray chevrolet,16300,15200,Wed Jun 17 2015 08:10:00 GMT-0700 (PDT)
498012,2014,Ford,Fusion,SE,sedan,automatic,1fa6p0h77e5392269,mi,4.2,2722.0,white,black,"ford motor credit company,llc",15000,15400,Thu Jun 04 2015 02:00:00 GMT-0700 (PDT)
498013,2014,Ford,Fusion,SE,sedan,automatic,1fa6p0hd9e5389105,fl,3.6,29233.0,—,black,lease plan usa,14550,13800,Wed Jun 03 2015 10:15:00 GMT-0700 (PDT)
